Relative Humidity and Temperature Data
TSI Model RHT3000
Date, Time, RH, Temp
04/12/2023, 10:48:38, 79.8, 22.7, 
04/12/2023, 10:48:39, 79.8, 22.7, 
04/12/2023, 10:48:40, 79.8, 22.7, 
04/12/2023, 10:48:41, 79.8, 22.7, 
04/12/2023, 10:48:42, 79.8, 22.7, 
04/12/2023, 10:48:43, 79.8, 22.7, 
04/12/2023, 10:48:44, 79.8, 22.7, 
04/12/2023, 10:48:45, 79.8, 22.7, 
04/12/2023, 10:48:46, 79.8, 22.7, 
04/12/2023, 10:48:47, 79.8, 22.7, 
04/12/2023, 10:48:48, 79.8, 22.7, 
04/12/2023, 10:48:49, 79.8, 22.7, 
04/12/2023, 10:48:50, 79.8, 22.7, 
04/12/2023, 10:48:51, 79.7, 22.7, 
04/12/2023, 10:48:52, 79.7, 22.7, 
04/12/2023, 10:48:53, 79.7, 22.7, 
04/12/2023, 10:48:54, 79.7, 22.7, 
04/12/2023, 10:48:55, 79.7, 22.7, 
04/12/2023, 10:48:56, 79.7, 22.7, 
04/12/2023, 10:48:57, 79.7, 22.7, 
04/12/2023, 10:48:58, 79.6, 22.7, 
04/12/2023, 10:48:59, 79.6, 22.7, 
04/12/2023, 10:49:00, 79.6, 22.7, 
04/12/2023, 10:49:01, 79.6, 22.7, 
04/12/2023, 10:49:02, 79.6, 22.7, 
04/12/2023, 10:49:03, 79.6, 22.7, 
04/12/2023, 10:49:04, 79.6, 22.7, 
04/12/2023, 10:49:05, 79.6, 22.7, 
04/12/2023, 10:49:06, 79.6, 22.7, 
04/12/2023, 10:49:07, 79.5, 22.7, 
04/12/2023, 10:49:08, 79.5, 22.7, 
04/12/2023, 10:49:09, 79.5, 22.7, 
04/12/2023, 10:49:10, 79.5, 22.7, 
04/12/2023, 10:49:11, 79.5, 22.7, 
04/12/2023, 10:49:12, 79.5, 22.7, 
04/12/2023, 10:49:13, 79.5, 22.7, 
04/12/2023, 10:49:14, 79.5, 22.7, 
04/12/2023, 10:49:15, 79.5, 22.7, 
04/12/2023, 10:49:16, 79.5, 22.7, 
04/12/2023, 10:49:17, 79.5, 22.7, 
04/12/2023, 10:49:18, 79.5, 22.7, 
04/12/2023, 10:49:19, 79.5, 22.7, 
04/12/2023, 10:49:20, 79.5, 22.7, 
04/12/2023, 10:49:21, 79.5, 22.7, 
04/12/2023, 10:49:22, 79.5, 22.7, 
04/12/2023, 10:49:23, 79.5, 22.7, 
04/12/2023, 10:49:24, 79.5, 22.7, 
04/12/2023, 10:49:25, 79.5, 22.7, 
04/12/2023, 10:49:26, 79.5, 22.7, 
04/12/2023, 10:49:27, 79.5, 22.8, 
04/12/2023, 10:49:28, 79.5, 22.7, 
04/12/2023, 10:49:29, 79.5, 22.7, 
04/12/2023, 10:49:30, 79.5, 22.7, 
04/12/2023, 10:49:31, 79.5, 22.7, 
04/12/2023, 10:49:32, 79.5, 22.7, 
04/12/2023, 10:49:33, 79.5, 22.7, 
04/12/2023, 10:49:34, 79.5, 22.7, 
04/12/2023, 10:49:35, 79.5, 22.7, 
04/12/2023, 10:49:36, 79.5, 22.7, 
04/12/2023, 10:49:37, 79.5, 22.7, 
04/12/2023, 10:49:38, 79.5, 22.7, 
04/12/2023, 10:49:39, 79.5, 22.7, 
04/12/2023, 10:49:40, 79.5, 22.7, 
04/12/2023, 10:49:41, 79.5, 22.7, 
04/12/2023, 10:49:42, 79.5, 22.8, 
04/12/2023, 10:49:43, 79.5, 22.7, 
04/12/2023, 10:49:44, 79.5, 22.7, 
04/12/2023, 10:49:45, 79.5, 22.7, 
04/12/2023, 10:49:46, 79.5, 22.7, 
04/12/2023, 10:49:47, 79.5, 22.7, 
04/12/2023, 10:49:48, 79.5, 22.7, 
04/12/2023, 10:49:49, 79.5, 22.7, 
04/12/2023, 10:49:50, 79.5, 22.7, 
04/12/2023, 10:49:51, 79.5, 22.7, 
04/12/2023, 10:49:52, 79.5, 22.7, 
04/12/2023, 10:49:53, 79.5, 22.8, 
04/12/2023, 10:49:54, 79.5, 22.7, 
04/12/2023, 10:49:56, 79.5, 22.7, 
04/12/2023, 10:49:57, 79.5, 22.7, 
04/12/2023, 10:49:58, 79.5, 22.7, 
04/12/2023, 10:49:59, 79.5, 22.7, 
04/12/2023, 10:50:00, 79.5, 22.7, 
04/12/2023, 10:50:01, 79.5, 22.7, 
04/12/2023, 10:50:02, 79.5, 22.7, 
04/12/2023, 10:50:03, 79.5, 22.7, 
04/12/2023, 10:50:04, 79.5, 22.7, 
04/12/2023, 10:50:05, 79.5, 22.7, 
04/12/2023, 10:50:06, 79.5, 22.7, 
04/12/2023, 10:50:07, 79.5, 22.7, 
04/12/2023, 10:50:08, 79.5, 22.7, 
04/12/2023, 10:50:09, 79.5, 22.7, 
04/12/2023, 10:50:10, 79.5, 22.7, 
04/12/2023, 10:50:11, 79.5, 22.7, 
04/12/2023, 10:50:12, 79.5, 22.7, 
04/12/2023, 10:50:13, 79.5, 22.7, 
04/12/2023, 10:50:14, 79.5, 22.7, 
04/12/2023, 10:50:15, 79.5, 22.7, 
04/12/2023, 10:50:16, 79.5, 22.7, 
04/12/2023, 10:50:17, 79.5, 22.8, 
04/12/2023, 10:50:18, 79.5, 22.8, 
04/12/2023, 10:50:19, 79.5, 22.7, 
04/12/2023, 10:50:20, 79.5, 22.7, 
04/12/2023, 10:50:21, 79.5, 22.8, 
04/12/2023, 10:50:22, 79.5, 22.8, 
04/12/2023, 10:50:23, 79.5, 22.7, 
04/12/2023, 10:50:24, 79.5, 22.8, 
04/12/2023, 10:50:25, 79.5, 22.8, 
04/12/2023, 10:50:26, 79.5, 22.8, 
04/12/2023, 10:50:27, 79.5, 22.8, 
04/12/2023, 10:50:28, 79.5, 22.8, 
04/12/2023, 10:50:29, 79.5, 22.8, 
04/12/2023, 10:50:30, 79.5, 22.8, 
04/12/2023, 10:50:31, 79.5, 22.7, 
04/12/2023, 10:50:32, 79.4, 22.8, 
04/12/2023, 10:50:33, 79.4, 22.8, 
04/12/2023, 10:50:34, 79.4, 22.8, 
04/12/2023, 10:50:35, 79.4, 22.8, 
04/12/2023, 10:50:36, 79.4, 22.8, 
04/12/2023, 10:50:37, 79.4, 22.8, 
04/12/2023, 10:50:38, 79.4, 22.8, 
04/12/2023, 10:50:39, 79.4, 22.8, 
04/12/2023, 10:50:40, 79.4, 22.8, 
04/12/2023, 10:50:41, 79.4, 22.8, 
04/12/2023, 10:50:42, 79.4, 22.8, 
04/12/2023, 10:50:43, 79.4, 22.8, 
04/12/2023, 10:50:44, 79.4, 22.8, 
04/12/2023, 10:50:45, 79.4, 22.8, 
04/12/2023, 10:50:46, 79.4, 22.7, 
04/12/2023, 10:50:47, 79.4, 22.7, 
04/12/2023, 10:50:48, 79.4, 22.7, 
04/12/2023, 10:50:49, 79.4, 22.7, 
04/12/2023, 10:50:50, 79.4, 22.7, 
04/12/2023, 10:50:51, 79.4, 22.7, 
04/12/2023, 10:50:52, 79.4, 22.8, 
04/12/2023, 10:50:53, 79.4, 22.8, 
04/12/2023, 10:50:54, 79.4, 22.8, 
04/12/2023, 10:50:55, 79.4, 22.8, 
04/12/2023, 10:50:56, 79.4, 22.8, 
04/12/2023, 10:50:57, 79.4, 22.8, 
04/12/2023, 10:50:58, 79.4, 22.8, 
04/12/2023, 10:50:59, 79.4, 22.8, 
04/12/2023, 10:51:00, 79.4, 22.8, 
04/12/2023, 10:51:01, 79.4, 22.8, 
04/12/2023, 10:51:02, 79.4, 22.8, 
04/12/2023, 10:51:03, 79.4, 22.8, 
04/12/2023, 10:51:04, 79.4, 22.8, 
04/12/2023, 10:51:05, 79.4, 22.8, 
04/12/2023, 10:51:06, 79.4, 22.8, 
04/12/2023, 10:51:07, 79.4, 22.8, 
04/12/2023, 10:51:08, 79.4, 22.8, 
04/12/2023, 10:51:09, 79.4, 22.8, 
04/12/2023, 10:51:10, 79.4, 22.8, 
04/12/2023, 10:51:11, 79.4, 22.8, 
04/12/2023, 10:51:12, 79.3, 22.8, 
04/12/2023, 10:51:13, 79.3, 22.8, 
04/12/2023, 10:51:14, 79.3, 22.8, 
04/12/2023, 10:51:15, 79.3, 22.8, 
04/12/2023, 10:51:16, 79.3, 22.8, 
04/12/2023, 10:51:17, 79.3, 22.8, 
04/12/2023, 10:51:18, 79.3, 22.8, 
04/12/2023, 10:51:19, 79.3, 22.8, 
04/12/2023, 10:51:20, 79.3, 22.8, 
04/12/2023, 10:51:21, 79.4, 22.8, 
04/12/2023, 10:51:22, 79.4, 22.8, 
04/12/2023, 10:51:23, 79.4, 22.8, 
04/12/2023, 10:51:24, 79.4, 22.8, 
04/12/2023, 10:51:25, 79.4, 22.8, 
04/12/2023, 10:51:26, 79.4, 22.8, 
04/12/2023, 10:51:27, 79.4, 22.8, 
04/12/2023, 10:51:28, 79.4, 22.8, 
04/12/2023, 10:51:29, 79.4, 22.8, 
04/12/2023, 10:51:30, 79.4, 22.8, 
04/12/2023, 10:51:31, 79.4, 22.8, 
04/12/2023, 10:51:32, 79.4, 22.8, 
04/12/2023, 10:51:33, 79.4, 22.8, 
04/12/2023, 10:51:34, 79.4, 22.8, 
04/12/2023, 10:51:35, 79.4, 22.8, 
04/12/2023, 10:51:36, 79.4, 22.8, 
04/12/2023, 10:51:37, 79.4, 22.8, 
04/12/2023, 10:51:38, 79.4, 22.8, 
04/12/2023, 10:51:39, 79.4, 22.7, 
04/12/2023, 10:51:41, 79.4, 22.7, 
04/12/2023, 10:51:42, 79.4, 22.7, 
04/12/2023, 10:51:43, 79.4, 22.8, 
04/12/2023, 10:51:44, 79.4, 22.8, 
04/12/2023, 10:51:45, 79.4, 22.8, 
04/12/2023, 10:51:46, 79.4, 22.8, 
04/12/2023, 10:51:47, 79.4, 22.8, 
04/12/2023, 10:51:48, 79.4, 22.8, 
04/12/2023, 10:51:49, 79.4, 22.8, 
04/12/2023, 10:51:50, 79.4, 22.8, 
04/12/2023, 10:51:51, 79.4, 22.8, 
04/12/2023, 10:51:52, 79.4, 22.8, 
04/12/2023, 10:51:53, 79.4, 22.8, 
04/12/2023, 10:51:54, 79.4, 22.8, 
04/12/2023, 10:51:55, 79.4, 22.8, 
04/12/2023, 10:51:56, 79.4, 22.8, 
04/12/2023, 10:51:57, 79.4, 22.8, 
04/12/2023, 10:51:58, 79.4, 22.8, 
04/12/2023, 10:51:59, 79.4, 22.8, 
04/12/2023, 10:52:00, 79.4, 22.8, 
04/12/2023, 10:52:01, 79.4, 22.8, 
04/12/2023, 10:52:02, 79.4, 22.8, 
04/12/2023, 10:52:03, 79.4, 22.8, 
04/12/2023, 10:52:04, 79.4, 22.8, 
04/12/2023, 10:52:05, 79.4, 22.8, 
04/12/2023, 10:52:06, 79.4, 22.8, 
04/12/2023, 10:52:07, 79.4, 22.8, 
04/12/2023, 10:52:08, 79.4, 22.8, 
04/12/2023, 10:52:09, 79.4, 22.8, 
04/12/2023, 10:52:10, 79.4, 22.8, 
04/12/2023, 10:52:11, 79.4, 22.8, 
04/12/2023, 10:52:12, 79.4, 22.8, 
04/12/2023, 10:52:13, 79.4, 22.8, 
04/12/2023, 10:52:14, 79.4, 22.8, 
04/12/2023, 10:52:15, 79.4, 22.8, 
04/12/2023, 10:52:16, 79.4, 22.8, 
04/12/2023, 10:52:17, 79.4, 22.8, 
04/12/2023, 10:52:18, 79.4, 22.8, 
04/12/2023, 10:52:19, 79.4, 22.8, 
04/12/2023, 10:52:20, 79.4, 22.8, 
04/12/2023, 10:52:21, 79.4, 22.8, 
04/12/2023, 10:52:22, 79.4, 22.8, 
04/12/2023, 10:52:23, 79.4, 22.8, 
04/12/2023, 10:52:24, 79.4, 22.8, 
04/12/2023, 10:52:25, 79.4, 22.8, 
04/12/2023, 10:52:26, 79.4, 22.8, 
04/12/2023, 10:52:27, 79.4, 22.8, 
04/12/2023, 10:52:28, 79.4, 22.8, 
04/12/2023, 10:52:29, 79.4, 22.8, 
04/12/2023, 10:52:30, 79.4, 22.8, 
04/12/2023, 10:52:31, 79.4, 22.8, 
04/12/2023, 10:52:32, 79.4, 22.8, 
04/12/2023, 10:52:33, 79.4, 22.8, 
04/12/2023, 10:52:34, 79.4, 22.8, 
04/12/2023, 10:52:35, 79.4, 22.8, 
04/12/2023, 10:52:36, 79.4, 22.8, 
04/12/2023, 10:52:37, 79.4, 22.8, 
04/12/2023, 10:52:38, 79.4, 22.8, 
04/12/2023, 10:52:39, 79.4, 22.8, 
04/12/2023, 10:52:40, 79.4, 22.8, 
04/12/2023, 10:52:41, 79.4, 22.8, 
04/12/2023, 10:52:42, 79.4, 22.8, 
04/12/2023, 10:52:43, 79.4, 22.8, 
04/12/2023, 10:52:44, 79.4, 22.8, 
04/12/2023, 10:52:45, 79.4, 22.8, 
04/12/2023, 10:52:46, 79.4, 22.8, 
04/12/2023, 10:52:47, 79.4, 22.8, 
04/12/2023, 10:52:48, 79.4, 22.8, 
04/12/2023, 10:52:49, 79.4, 22.8, 
04/12/2023, 10:52:50, 79.4, 22.8, 
04/12/2023, 10:52:51, 79.4, 22.8, 
04/12/2023, 10:52:52, 79.4, 22.8, 
04/12/2023, 10:52:53, 79.4, 22.8, 
04/12/2023, 10:52:54, 79.4, 22.8, 
04/12/2023, 10:52:55, 79.4, 22.8, 
04/12/2023, 10:52:56, 79.4, 22.8, 
04/12/2023, 10:52:57, 79.4, 22.8, 
04/12/2023, 10:52:58, 79.4, 22.8, 
04/12/2023, 10:52:59, 79.4, 22.8, 
04/12/2023, 10:53:00, 79.4, 22.8, 
04/12/2023, 10:53:01, 79.4, 22.8, 
04/12/2023, 10:53:02, 79.4, 22.8, 
04/12/2023, 10:53:03, 79.4, 22.8, 
04/12/2023, 10:53:04, 79.4, 22.8, 
04/12/2023, 10:53:05, 79.4, 22.8, 
04/12/2023, 10:53:06, 79.4, 22.8, 
04/12/2023, 10:53:07, 79.4, 22.8, 
04/12/2023, 10:53:08, 79.4, 22.8, 
04/12/2023, 10:53:09, 79.4, 22.8, 
04/12/2023, 10:53:10, 79.4, 22.8, 
04/12/2023, 10:53:11, 79.4, 22.8, 
04/12/2023, 10:53:12, 79.4, 22.8, 
04/12/2023, 10:53:13, 79.4, 22.8, 
04/12/2023, 10:53:14, 79.5, 22.8, 
04/12/2023, 10:53:15, 79.5, 22.8, 
04/12/2023, 10:53:16, 79.4, 22.8, 
04/12/2023, 10:53:17, 79.4, 22.8, 
04/12/2023, 10:53:18, 79.5, 22.8, 
04/12/2023, 10:53:19, 79.5, 22.8, 
04/12/2023, 10:53:20, 79.5, 22.8, 
04/12/2023, 10:53:21, 79.4, 22.8, 
04/12/2023, 10:53:22, 79.5, 22.8, 
04/12/2023, 10:53:23, 79.5, 22.8, 
04/12/2023, 10:53:24, 79.5, 22.8, 
04/12/2023, 10:53:25, 79.5, 22.8, 
04/12/2023, 10:53:26, 79.5, 22.8, 
04/12/2023, 10:53:27, 79.5, 22.8, 
04/12/2023, 10:53:28, 79.5, 22.8, 
04/12/2023, 10:53:29, 79.5, 22.8, 
04/12/2023, 10:53:30, 79.5, 22.8, 
04/12/2023, 10:53:31, 79.5, 22.8, 
04/12/2023, 10:53:32, 79.5, 22.8, 
04/12/2023, 10:53:34, 79.5, 22.8, 
04/12/2023, 10:53:35, 79.5, 22.8, 
04/12/2023, 10:53:36, 79.5, 22.8, 
04/12/2023, 10:53:37, 79.5, 22.8, 
04/12/2023, 10:53:38, 79.5, 22.8, 
