Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230124_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
 24.1,0.000,8.894,0.000,75225.890,28425.020,13441.900,7360.774,4131.415,1783.222,1316.817,709.222,495.343,386.923,357.156,175.322,109.164,88.847,21.352,57.937,62.073,32.003,39.519,27.124,4.399,0.052,7.234,13.424,1.490,14.784,9.910,15.609,9.496,3.489,0.000,3.818,10.739,4.663,0.000,0.000,0.000,5.432,0.000,7.110,0.000,0.000,0.000,0.000,0.000,5.830,5.184,5.601,6.042,0.000,0.000,0.000,0.000,5.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.775
 25.0,0.000,8.217,0.000,81480.872,31382.103,15929.102,8212.158,4839.208,2782.891,1747.375,1192.119,635.890,597.530,236.440,164.961,125.806,97.670,88.278,73.607,54.462,23.086,39.061,19.961,34.837,15.949,22.912,9.902,0.000,13.705,6.991,7.176,2.339,10.634,0.000,15.705,9.346,0.000,11.040,0.000,0.000,10.445,4.568,0.000,10.826,0.000,0.000,4.844,4.969,4.864,5.247,0.000,0.000,5.767,0.000,0.000,0.000,5.227,5.609,0.000,0.000,0.000,0.000,0.000,0.000,5.491
 25.9,7.935,0.000,165421.181,83609.063,35366.536,18016.899,9850.623,6089.434,3239.167,2219.258,1348.060,913.005,648.776,475.602,277.761,165.657,168.966,92.530,89.985,45.838,44.208,5.543,43.840,67.387,23.678,16.534,26.690,8.512,0.000,9.745,10.136,28.335,2.948,8.217,7.523,7.302,8.378,0.000,9.071,20.794,30.990,4.663,9.377,0.000,4.123,4.015,3.954,0.000,0.000,0.000,4.079,4.146,4.968,0.000,5.013,0.000,5.061,0.000,0.000,0.000,9.965,0.000,0.000,5.417,0.000
 26.9,0.000,15.327,435542.149,88771.278,39598.524,20543.684,11865.971,6860.506,4131.477,2450.621,1522.704,1259.558,701.109,596.548,364.241,301.025,238.443,191.323,98.509,42.448,108.525,58.985,48.012,74.441,21.307,39.161,37.948,5.908,7.486,27.173,9.355,23.518,18.236,14.312,14.745,0.827,5.322,3.016,14.488,0.000,5.667,9.097,0.000,8.007,8.007,3.702,0.000,0.000,3.675,0.000,3.171,0.000,9.117,4.918,0.000,0.000,0.000,0.000,0.000,4.935,0.000,0.000,0.000,0.000,4.809
 27.9,7.380,21.991,779332.884,93782.687,43243.758,23806.744,12915.876,8118.559,5008.788,2750.737,1970.335,1385.641,884.797,555.909,387.416,305.714,186.518,186.187,194.757,192.758,52.264,59.583,89.179,38.080,49.573,45.871,55.952,46.818,22.746,2.062,20.673,18.783,6.135,7.161,28.400,15.256,23.846,27.068,10.784,11.845,0.000,0.000,6.027,6.287,0.000,8.198,1.522,3.127,0.000,5.009,0.000,2.501,4.170,2.154,0.000,5.004,0.000,0.000,0.000,4.430,0.000,0.000,0.000,0.000,4.772
 28.9,0.000,28.232,1825272.585,102102.004,47933.354,26754.423,15732.390,9388.344,6050.523,3628.717,2304.410,1675.209,1159.925,870.460,526.572,500.647,355.141,223.685,281.388,173.686,152.095,145.479,80.968,90.065,68.091,38.410,76.529,33.461,39.683,37.219,5.552,31.647,28.305,27.254,0.000,27.304,8.800,13.248,18.844,10.462,8.760,10.939,16.564,15.729,5.541,8.892,15.631,6.166,3.675,8.094,0.000,0.000,0.000,2.751,0.000,0.000,0.000,0.000,2.901,4.081,17.482,11.885,8.017,0.000,0.000
 30.0,0.000,6.804,2887640.114,109281.554,52178.000,29619.863,17249.092,11104.749,7135.451,4239.124,2963.432,2254.534,1527.844,1047.625,656.435,648.262,471.195,382.032,288.312,230.698,148.563,158.501,85.274,129.132,46.951,167.810,68.160,61.007,81.612,39.981,35.964,42.311,27.932,19.418,23.058,38.222,17.018,13.697,31.531,43.273,22.109,6.502,31.012,2.886,17.848,1.192,6.466,9.808,6.192,7.982,1.705,9.665,12.833,0.331,11.483,0.000,1.023,22.709,0.000,0.000,0.000,16.479,0.000,2.713,0.000
 31.1,12.503,6.511,3447464.214,117170.123,58169.016,34259.634,19931.544,12287.665,8450.538,5181.441,3702.691,2720.246,1852.663,1343.420,1002.557,763.088,682.770,438.163,413.769,317.227,333.386,165.704,117.016,198.386,137.296,115.343,42.707,132.393,71.350,85.794,51.678,53.129,66.259,42.586,44.345,58.667,9.266,44.694,10.112,43.471,34.601,6.914,31.365,4.335,34.805,21.583,17.451,20.499,0.155,23.946,1.197,20.179,9.133,3.559,10.476,12.885,1.646,4.977,9.553,6.409,7.127,3.779,8.851,5.781,6.717
 32.2,6.075,6.246,3457936.052,122862.906,62233.963,36778.220,22833.899,14925.221,9991.169,6898.905,4196.186,3228.505,2335.597,1738.103,1287.220,920.740,719.451,550.949,553.499,398.617,227.042,354.496,286.056,200.098,121.223,138.136,145.989,90.968,74.603,100.984,75.515,35.012,82.657,75.316,29.084,33.951,63.425,39.761,56.279,26.212,24.771,9.054,22.193,22.426,31.741,15.474,24.622,6.460,7.775,11.121,10.380,15.790,4.578,13.709,12.740,0.122,6.096,12.019,18.573,14.432,5.003,7.817,4.253,5.740,1.295
 33.4,5.942,6.044,2998822.385,134131.812,69049.864,41310.049,26455.784,17099.893,11454.420,7807.090,5436.052,3960.603,3105.253,2185.347,1528.527,1239.222,990.202,862.606,496.984,518.673,438.331,371.490,359.478,192.392,309.478,163.580,178.648,119.599,95.810,149.628,130.105,93.349,22.038,64.338,50.346,63.755,54.832,42.333,9.106,34.300,45.575,51.169,22.407,34.874,20.018,12.087,13.277,20.370,37.423,21.687,27.275,1.796,10.848,8.107,25.659,5.261,31.753,21.036,0.971,10.295,6.700,0.622,23.891,0.000,0.000
