Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230124_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
 24.1,0.000,0.139,0.000,1175.405,444.141,210.030,115.012,64.553,27.863,20.575,11.082,7.740,6.046,5.581,2.739,1.706,1.388,0.334,0.905,0.970,0.500,0.617,0.424,0.069,0.001,0.113,0.210,0.023,0.231,0.155,0.244,0.148,0.055,0.000,0.060,0.168,0.073,0.000,0.000,0.000,0.085,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.091,0.081,0.088,0.094,0.000,0.000,0.000,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090
 25.0,0.000,0.128,0.000,1273.139,490.345,248.892,128.315,75.613,43.483,27.303,18.627,9.936,9.336,3.694,2.578,1.966,1.526,1.379,1.150,0.851,0.361,0.610,0.312,0.544,0.249,0.358,0.155,0.000,0.214,0.109,0.112,0.037,0.166,0.000,0.245,0.146,0.000,0.172,0.000,0.000,0.163,0.071,0.000,0.169,0.000,0.000,0.076,0.078,0.076,0.082,0.000,0.000,0.090,0.000,0.000,0.000,0.082,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.086
 25.9,0.124,0.000,2584.706,1306.392,552.602,281.514,153.916,95.147,50.612,34.676,21.063,14.266,10.137,7.431,4.340,2.588,2.640,1.446,1.406,0.716,0.691,0.087,0.685,1.053,0.370,0.258,0.417,0.133,0.000,0.152,0.158,0.443,0.046,0.128,0.118,0.114,0.131,0.000,0.142,0.325,0.484,0.073,0.147,0.000,0.064,0.063,0.062,0.000,0.000,0.000,0.064,0.065,0.078,0.000,0.078,0.000,0.079,0.000,0.000,0.000,0.156,0.000,0.000,0.085,0.000
 26.9,0.000,0.239,6805.346,1387.051,618.727,320.995,185.406,107.195,64.554,38.291,23.792,19.681,10.955,9.321,5.691,4.704,3.726,2.989,1.539,0.663,1.696,0.922,0.750,1.163,0.333,0.612,0.593,0.092,0.117,0.425,0.146,0.367,0.285,0.224,0.230,0.013,0.083,0.047,0.226,0.000,0.089,0.142,0.000,0.125,0.125,0.058,0.000,0.000,0.057,0.000,0.050,0.000,0.142,0.077,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.075
 27.9,0.115,0.344,12177.076,1465.354,675.684,371.980,201.811,126.852,78.262,42.980,30.786,21.651,13.825,8.686,6.053,4.777,2.914,2.909,3.043,3.012,0.817,0.931,1.393,0.595,0.775,0.717,0.874,0.732,0.355,0.032,0.323,0.293,0.096,0.112,0.444,0.238,0.373,0.423,0.169,0.185,0.000,0.000,0.094,0.098,0.000,0.128,0.024,0.049,0.000,0.078,0.000,0.039,0.065,0.034,0.000,0.078,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.075
 28.9,0.000,0.441,28519.884,1595.344,748.959,418.038,245.819,146.693,94.539,56.699,36.006,26.175,18.124,13.601,8.228,7.823,5.549,3.495,4.397,2.714,2.376,2.273,1.265,1.407,1.064,0.600,1.196,0.523,0.620,0.582,0.087,0.494,0.442,0.426,0.000,0.427,0.137,0.207,0.294,0.163,0.137,0.171,0.259,0.246,0.087,0.139,0.244,0.096,0.057,0.126,0.000,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.045,0.064,0.273,0.186,0.125,0.000,0.000
 30.0,0.000,0.106,45119.377,1707.524,815.281,462.810,269.517,173.512,111.491,66.236,46.304,35.227,23.873,16.369,10.257,10.129,7.362,5.969,4.505,3.605,2.321,2.477,1.332,2.018,0.734,2.622,1.065,0.953,1.275,0.625,0.562,0.661,0.436,0.303,0.360,0.597,0.266,0.214,0.493,0.676,0.345,0.102,0.485,0.045,0.279,0.019,0.101,0.153,0.097,0.125,0.027,0.151,0.201,0.005,0.179,0.000,0.016,0.355,0.000,0.000,0.000,0.257,0.000,0.042,0.000
 31.1,0.195,0.102,53866.628,1830.783,908.891,535.307,311.430,191.995,132.040,80.960,57.855,42.504,28.948,20.991,15.665,11.923,10.668,6.846,6.465,4.957,5.209,2.589,1.828,3.100,2.145,1.802,0.667,2.069,1.115,1.341,0.807,0.830,1.035,0.665,0.693,0.917,0.145,0.698,0.158,0.679,0.541,0.108,0.490,0.068,0.544,0.337,0.273,0.320,0.002,0.374,0.019,0.315,0.143,0.056,0.164,0.201,0.026,0.078,0.149,0.100,0.111,0.059,0.138,0.090,0.105
 32.2,0.095,0.098,54030.251,1919.733,972.406,574.660,356.780,233.207,156.112,107.795,65.565,50.445,36.494,27.158,20.113,14.387,11.241,8.609,8.648,6.228,3.548,5.539,4.470,3.127,1.894,2.158,2.281,1.421,1.166,1.578,1.180,0.547,1.292,1.177,0.454,0.530,0.991,0.621,0.879,0.410,0.387,0.141,0.347,0.350,0.496,0.242,0.385,0.101,0.121,0.174,0.162,0.247,0.072,0.214,0.199,0.002,0.095,0.188,0.290,0.226,0.078,0.122,0.066,0.090,0.020
 33.4,0.093,0.094,46856.600,2095.810,1078.904,645.470,413.372,267.186,178.975,121.986,84.938,61.884,48.520,34.146,23.883,19.363,15.472,13.478,7.765,8.104,6.849,5.805,5.617,3.006,4.836,2.556,2.791,1.869,1.497,2.338,2.033,1.459,0.344,1.005,0.787,0.996,0.857,0.661,0.142,0.536,0.712,0.800,0.350,0.545,0.313,0.189,0.207,0.318,0.585,0.339,0.426,0.028,0.170,0.127,0.401,0.082,0.496,0.329,0.015,0.161,0.105,0.010,0.373,0.000,0.000
