Start Time	16:09:00	16:12:00	16:15:01	16:18:00	16:21:01	16:24:00	16:27:01	16:30:00	16:33:00	16:36:00	16:39:00	16:42:00	16:45:00	16:48:00	16:51:00	16:54:00	16:57:00	17:00:00	17:03:00	17:06:00	17:09:00	17:12:00	17:15:00	17:18:00	17:21:00	17:24:00	17:27:00	17:30:00	17:33:00	17:36:00	17:39:00	17:42:00	17:45:00	17:48:00	17:51:00	17:54:00	17:57:00	18:00:00	18:03:00	18:06:00	18:09:00	18:12:00	18:15:00	18:18:00	18:21:00	18:24:00	18:27:00	18:30:00	18:33:00	18:36:00	18:39:00	18:42:00	18:45:00	18:48:00	18:51:00	18:54:00	18:57:00	19:00:00	19:03:00	19:06:00	19:09:00	19:12:00	19:15:00	19:18:00	19:21:00	19:24:00	19:27:00	19:30:00	19:33:00	19:36:00	19:39:00	19:42:00	19:45:00	19:48:00
Diameter Midpoint
 32.2	0	0	35445	21195.9	12707.3	9669.22	7420.66	6426.42	4436.82	3653.86	2755.84	2457.13	1990.19	1531.55	1484.68	1319.97	1142.38	929.738	928.877	559.013	547.435	525.5	520.459	424.237	290.127	423.282	346.261	439.238	143.969	227.609	127.533	272.938	258.244	98.4146	173.072	85.5751	146.364	86.1614	139.541	109.932	61.6032	19.5744	45.6475	11.0331	21.9209	6.99655	28.7905	54.5236	79.2912	83.4661	24.6253	59.5584	16.4389	14.2685	82.54	27.1903	27.702	0	17.5299	1.0673	14.9555	18.4399	31.7216	30.1092	19.602	33.0813	7.33346	35.0206	18.9291	16.2897	9.5309	14.4524	9.39138	5.57
 33.4	0	0	37975.1	23234.7	13692.9	11752.3	7953.94	6885.44	4826.48	4407.04	3551.25	2651.23	2365.38	2356.76	1792.31	1492.66	1539.88	991.454	980.745	1041.74	674.626	687.917	634.783	886.913	437.92	387.248	217.526	341.449	325.258	319.106	234.88	263.908	246.839	97.509	84.0905	72.4138	112.939	128.761	105.044	151.701	114.569	74.1533	86.0256	28.9785	26.6769	91.5957	62.1126	18.7114	109.125	51.0139	36.9153	18.0508	35.2952	27.0153	29.6607	10.1315	42.9755	67.1631	0	45.3032	27.6258	13.0136	3.67549	17.2704	30.1255	1.96382	3.69136	5.88132	42.2305	25.7551	0	17.9604	3.43343	44.9415
 34.6	0	0	40530.3	24399	15475.5	13416	9254.69	7849.95	6714.23	5284.78	4635.56	3560.36	2897.88	2576.11	2261	1708.41	1733.45	1504.65	1038.67	1138.52	1077.18	829.246	902.686	779.514	519.564	359.875	649.23	546.645	382.285	301.015	274.77	255.813	270.673	151.047	193.965	193.439	231.248	85.6217	162.889	105.156	31.5666	133.842	138.34	125.059	51.9973	92.104	145.607	55.0478	72.7212	0	40.8982	44.5154	40.7587	8.90038	42.574	1.72488	38.5789	89.5346	7.61865	45.696	9.68486	45.382	2.11567	38.234	59.0164	10.9592	1.55072	58.8207	74.3213	28.9269	63.7606	15.8771	9.27634	2.47446
 35.9	0	0	44400.1	27049.1	17145.1	13898.2	11219.3	8116.97	7096.35	5624.64	4549.2	4203.94	3345.47	3250.93	2553.87	2705.7	1868.83	1634.33	1454.3	1537.17	1056.64	1168.59	974.392	969.9	869.029	714.246	672.356	715.364	435.203	519.158	401.002	615.285	201.489	294.359	227.423	149.794	208.28	226.873	243.997	178.945	87.6149	95.1382	50.6837	83.8528	99.537	118.829	115.199	90.3935	104.713	88.8371	43.0606	119.806	40.6754	54.8887	72.8839	20.3537	13.1862	3.01107	12.9715	50.1318	61.2013	29.6102	19.6985	43.5765	23.1809	20.4336	36.7614	57.6353	34.4208	24.714	0.153574	16.5013	14.9651	28.9905
 37.2	0	0	44635.4	29350.1	18358.1	16309.8	12469.6	10690.2	8250.81	6845.61	6008.49	5053.23	4396.95	4171.24	3218.38	2963.97	2676.31	1826.12	1915.66	1428.34	1747.92	1247.74	1159.95	858.52	1053.42	889.445	737.089	664.976	604.864	714.402	485.928	469.807	299.892	358.007	391.213	511.597	262.684	259.8	167.313	144.821	169.309	122.866	235.538	133.813	155.755	136.903	173.644	32.8865	128.222	118.129	25.2025	87.9873	49.0698	67.3703	87.2751	82.4321	80.5122	94.6909	76.6134	61.4796	59.8299	39.846	52.7047	43.9433	58.4091	45.1453	38.8264	34.9222	49.3579	2.11986	0	41.5471	11.1823	13.8039
 38.5	0	4207.77	47304	30738.2	20604.7	16645.7	14434	11365.2	8819	8147.56	6922.93	5673.55	5325.03	4548.72	3751.71	3555.91	3262.99	2326.95	1783.47	1722.47	1887.04	1621.39	1287.29	1248.83	1123.02	984.846	814.786	952.529	684.245	856.704	658.414	584.716	430.196	574.473	445.464	300.122	317.154	288.772	328.97	243.772	179.205	230.119	191.227	202.107	102.975	147.417	169.66	74.6555	108.334	65.0295	127.578	164.85	98.7766	105.845	71.4258	77.2391	63.9104	80.4027	86.7081	59.0359	195.772	19.602	70.7072	72.0131	14.7632	34.5047	8.96912	7.60278	69.1802	58.6356	21.4572	64.4845	0	64.1086
 40.0	0	23926.5	51807.9	33565.2	22469.9	18279.7	15187.9	12958.4	11556.8	9377.28	7637.63	6847.47	5489.44	5294.55	4607.67	4299.71	3845.34	2977.8	2593.04	2392.6	1910.74	1977.6	1695.49	1525.8	1237.13	1060.82	1054.85	919.5	766.806	701.557	854.108	718.257	537.055	369.714	554.486	627.977	334.083	449.984	345.041	225.852	291.838	185.579	303.153	207.562	109.672	317.914	218.96	130.148	185.031	160.191	121.253	142.302	166.736	130.314	151.61	72.7251	122.49	98.9355	123.977	90.3415	88.7491	138.645	34.3966	49.6568	60.128	7.74624	27.5542	76.9235	45.775	72.0211	0.666152	14.4099	51.4489	17.6321
 41.4	0	36078.2	51679	35310.9	25384.9	23029.3	17287	14241.7	12269.4	11131.9	9128.75	7832.99	6703.92	5694.56	5467.66	4663.48	4213.31	3407.53	2916.74	3089.48	2638.94	2250.65	1778.48	1978.36	1708.54	1319.63	1245.92	1253.26	1022.08	981.646	922.835	827.343	663.837	678.839	604.047	584.422	567.751	446.847	464.985	448.541	580.122	330.105	211.608	255.288	183.204	271.01	278.924	265.744	211.569	188.85	164.149	102.933	130.973	106.28	83.9166	221.693	92.2023	106.507	159.929	71.2016	25.9285	68.3029	89.3682	32.222	64.7258	30.7415	5.13186	35.0848	16.3136	44.154	100.511	36.8733	83.5914	64.7225
 42.9	0	60880.1	54058	39290	25397.4	24654.8	19783	16623.4	13789.5	12527	10418.5	8544.75	7887.02	7394.68	6133.27	5460.26	5101.5	4425.87	3532.48	3237.56	3074.61	2701.62	2148.35	2059.14	1898.37	1817.18	1750	1725.69	1212.1	1269.98	1000.08	918.476	1029.26	460.774	745.124	565.334	599.585	657.751	530.585	507.564	451.81	404.851	332.278	284.667	559.304	440.778	351.069	229.973	239.913	337.628	251.479	181.909	168.491	151.069	136.371	169.939	279.92	162.857	147.459	94.8757	123.023	150.001	70.418	112.568	71.2602	85.6367	79.9056	69.1683	72.4477	7.12492	31.8903	45.172	38.4782	65.3879
 44.5	0	50454.6	54432.7	38783.7	27918.9	26025.2	22333.3	18507.3	15696.7	14521.5	12261.6	11060.9	9553.41	8158.04	7306.75	5991.48	5225.13	4723.61	4386.34	3867.15	3698.84	2708.89	3071.89	2377.59	2721.48	1890.59	2229.63	1936.39	1522.19	1509.73	1588.91	788.042	921.521	801.585	859.83	866.71	634.084	579.625	610.925	510.583	393.406	541.028	443.134	443.277	483.037	456.749	293.305	252.932	376.767	373.948	241.417	164.713	160.126	211.023	164.612	284.645	160.115	99.1161	178.938	162.733	138.208	165.103	146.264	180.125	117.343	121.548	95.2215	65.6082	102.046	55.8645	32.1603	119.542	59.1191	68.9017
 46.1	0	49303.1	56815.5	41671.8	32134.2	28819.6	24789.5	19928.5	18043.3	14852.4	14505.7	11867.5	11176.9	9291.61	8602.34	7224.55	6801.98	5106.24	5155.07	4645.29	4225.26	3669.93	3158.75	3094.73	2802.49	2416.59	2419.34	1883.68	2109.9	1713.78	1361.49	1382.04	1023.11	944.23	978.518	856.872	862.603	834.954	756.006	749.883	687.418	644.928	632.754	553.136	592.274	523.514	465.214	423.468	458.865	363.904	244.054	340.506	330.1	408.87	241.082	220.961	211.724	267.706	147.352	236.248	231.172	127.343	121.07	169.701	121.228	80.6537	99.6887	45.3986	135.725	69.0785	54.7607	90.9517	68.8563	14.4419
