Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\COMP_Water_SMPS_100nm700nm_20230523.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23
Start Time,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01,13:04:00,13:07:00
Diameter Midpoint
310.6,1031.95,1153.14,1385.27,1180.47,1078.58,260.859,240.949,933.037,969.801,1058.72,1035.16,1036.62
322.0,1257.65,1227.82,1331.79,1372.83,1351.13,144.851,282.437,1091.62,693.768,1149.12,1224.27,998.416
333.8,1274.03,1515.23,602.164,1186.11,1341.74,208.47,175.691,1166.25,960.147,1131.78,1257.59,1083.39
346.0,1067.41,1024.46,1258.4,1077,842.39,111.21,240.817,831.709,1007.81,857.641,941.751,760.98
358.7,887.612,1186,1128.64,1158.51,961.621,213.09,185.85,1153.17,1035.87,602.776,670.919,833.423
371.8,1161.92,955.605,1543.96,1245.04,932.719,61.7453,150.225,988.111,912.013,574.171,1054.47,812.331
385.4,1195.8,836.771,1670.23,1101.53,1151.56,89.7596,87.2661,927.436,803.251,765.966,944.124,807.118
399.5,1097.81,974.697,1549.58,1493.62,904.482,100.178,94.8341,1010.49,1342.83,1055.94,939.096,942.957
414.2,2643.77,2566.27,3265.55,2855.51,2745.95,108.72,91.8147,2577.86,1937.99,2123.4,2310.59,1882.32
429.4,3398.44,3634.69,4044.23,3713.54,3298.98,80.3213,68.2915,3036.34,2782.65,2854.2,2574.67,2579.26
445.1,3496.36,3568.34,4273.4,3601.54,3467.39,111.611,94.6837,3011.13,2429.12,3174.47,2817.05,2773.07
461.4,3752.18,3648.82,4351.77,3563.13,3334.95,30.5124,22.7958,3222.02,2416.77,3178.18,2918.94,2766.54
478.3,3698.69,3601.65,4190.85,3946.1,3187.08,51.2886,46.5313,3171.55,2562.18,3450.53,2791.26,2720.47
495.8,3627.17,3705.05,4170.08,3697.59,3632.74,57.732,26.0933,3553.55,2715.25,3181.49,3013.86,2759.19
514.0,3874.6,3570.24,4463.52,3867.96,3411.27,48.536,29.5631,3282.77,2453.94,3394.61,3290.31,2850.26
532.8,4212.93,3784.29,4556.92,4140.47,3579,28.7505,32.5844,3225.14,2737.91,3326.92,3036.03,3101.16
552.3,3501.35,3527.8,4452.81,4333.54,3271.74,37.2715,8.26507,3214.55,2674.75,3410.97,3179.71,2760.78
572.5,4069.16,3668.6,5691.25,3958.86,3316.01,16.5749,16.9035,3052.41,2570.8,3276.27,3104.74,2813.59
593.5,4136.76,3701.57,4687.61,4089.65,3474.24,8.58027,0,3568.24,2608.36,3276.57,3041.31,3101.32
615.3,0,0,0,0,0,0,0,0,0,0,0,0
637.8,0,0,0,0,0,0,0,0,0,0,0,0
661.2,0,0,0,0,0,0,0,0,0,0,0,0
685.4,0,0,0,0,0,0,0,0,0,0,0,0
710.5,0,0,0,0,0,0,0,0,0,0,0,0
Scan Up Time(s),155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time(s),10,10,10,10,10,10,10,10,10,10,10,10
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1
