Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023
Start Time,12:34:02,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00
Sample Temp (C),22.7,22.6,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
Sample Pressure (kPa),74.7,80.5,80.5,80.5,80.5,80.6,80.3,80.3,80.5,80.5,80.6,80.5
Relative Humidity (%),24.9,25.2,26.5,27.5,27.0,26.4,26.4,27.8,28.8,27.1,25.5,24.3
Mean Free Path (m),9.11474e-008,8.45439e-008,8.45802e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.47909e-008,8.47909e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.45802e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005
Diameter Midpoint (nm)
 76.4,470.533,15472.218,14906.737,11300.913,11534.823,13894.133,219.727,130.848,11892.441,12650.049,11229.160,11617.620
 79.1,561.819,26675.784,28058.619,23460.740,22725.158,23782.066,251.377,138.864,21981.147,22283.356,20372.716,23401.769
 82.0,567.887,47326.445,53167.007,45592.242,45517.440,42927.282,219.172,264.313,42504.957,45132.730,42931.249,41313.462
 85.1,643.486,90499.597,101939.998,93723.520,89380.135,86795.936,271.799,296.412,82061.354,81324.556,82772.035,75289.618
 88.2,600.450,151446.790,170484.460,158505.794,167428.905,150640.847,275.660,246.191,139673.395,138735.905,135009.728,133173.012
 91.4,635.505,231779.514,250216.013,242145.531,244541.572,221597.371,202.369,262.051,213981.913,214305.258,214454.566,207861.063
 94.7,558.853,311975.799,334425.048,323692.423,324368.605,302556.495,227.615,633.591,287455.401,281957.070,287874.166,280008.564
 98.2,547.790,391300.939,412111.581,398144.203,402049.646,380005.387,303.221,964.750,364456.477,354550.408,358507.488,357246.676
101.8,457.589,456538.298,473932.100,455229.227,458622.014,436306.393,240.903,1112.867,419969.282,406913.429,406291.768,412596.112
105.5,333.044,464916.628,479906.380,466550.070,479788.722,454065.521,192.462,1107.044,432503.690,421176.099,425602.614,430383.388
109.4,277.337,405430.056,414460.939,416414.087,427047.799,403098.929,268.226,864.903,384502.676,379210.294,381163.087,384246.036
113.4,346.681,304027.049,312718.954,318335.973,332850.959,307099.423,252.045,568.732,298052.073,294797.646,295716.482,295317.862
117.6,268.052,202363.738,209219.340,216194.968,228130.620,213881.608,227.581,442.748,205636.564,203603.374,203673.393,200106.032
121.9,386.073,113708.960,116514.237,125688.730,134487.752,129694.024,222.799,330.188,121954.113,119625.506,121538.961,118229.329
126.3,398.618,61637.040,63439.933,70289.077,74486.724,75494.952,213.645,220.006,68822.753,69538.546,67676.851,66216.388
131.0,90.312,42916.130,44918.751,50117.614,52526.701,56021.958,258.101,268.234,47245.355,52549.696,46993.982,47811.497
135.8,0.000,42000.528,42329.839,45785.918,47726.288,52469.403,274.262,239.021,43430.441,48429.861,43434.136,45070.366
140.7,0.000,41829.746,41935.853,43930.777,45702.018,50848.937,243.280,292.970,42177.153,48879.570,42797.390,44401.691
145.9,0.000,38457.902,37485.356,39017.731,41215.050,46602.284,269.184,199.970,37866.604,46058.398,38616.098,40058.880
151.2,0.000,31208.185,30539.571,32252.252,34459.443,38542.639,174.952,196.874,31299.274,38969.428,33456.908,33633.549
156.8,0.000,23184.997,23465.621,24516.534,26275.969,29819.683,270.175,155.342,24294.043,30119.399,25594.072,25326.577
162.5,0.000,16429.035,16763.212,16622.104,18378.445,21559.219,260.258,84.760,18304.116,21320.578,18790.142,18487.282
168.5,48.256,10167.510,10482.453,10763.167,12158.067,14417.617,254.205,88.332,12554.757,14391.338,12812.473,12651.517
174.7,159.969,6845.525,7517.228,7684.182,8203.800,10081.345,355.553,78.231,8711.896,10542.722,9110.942,9363.840
181.1,220.754,5286.090,5788.813,5734.150,6150.003,7506.036,300.976,49.523,6628.990,7687.177,6656.131,6906.605
187.7,137.068,3878.121,4312.799,4454.393,4462.405,5457.417,292.603,8.019,5117.314,5820.119,5261.352,5297.977
194.6,308.627,2596.601,3065.083,2778.197,3259.368,3921.450,369.285,0.000,3343.240,3830.722,3603.147,3742.459
201.7,1068.556,1729.735,1997.475,1878.327,2081.888,2610.534,342.505,0.000,2200.253,2744.310,2410.362,2456.484
209.1,1813.313,1200.552,1397.538,1230.285,1411.288,1589.620,310.318,0.000,1535.608,1922.188,1660.214,1725.729
216.7,2165.701,830.351,987.723,823.284,976.608,1047.485,368.083,5.954,1075.556,1298.071,1200.537,1251.178
224.7,1754.155,514.482,675.625,554.680,675.033,666.633,383.439,0.000,713.970,905.800,751.237,853.230
232.9,1539.212,341.825,503.653,408.198,510.617,463.879,384.605,0.000,494.772,657.018,611.124,595.118
241.4,1172.110,253.600,289.227,294.091,280.646,394.168,430.424,34.048,337.689,474.716,364.406,390.966
250.3,817.390,155.928,167.858,133.335,141.792,349.042,391.917,58.427,217.329,265.234,191.077,260.653
259.5,619.270,132.819,147.509,121.140,127.252,353.232,423.434,11.802,124.217,208.958,179.140,163.272
269.0,552.808,96.045,48.457,84.792,74.985,374.773,452.300,77.906,66.259,118.485,128.660,92.364
278.8,380.912,93.391,15.998,75.604,52.838,379.367,330.907,29.536,64.117,84.205,92.029,92.402
289.0,255.588,9.199,27.555,32.816,57.466,357.876,374.735,33.441,38.130,88.713,70.436,85.817
299.6,185.853,8.117,58.462,8.580,29.092,355.128,330.691,43.739,25.394,57.883,32.903,77.673
310.6,251.499,126.171,104.166,72.994,76.719,352.148,335.979,77.500,51.100,113.639,56.543,70.443
322.0,203.745,93.828,65.241,41.326,46.086,313.512,365.193,79.617,78.818,105.305,88.323,77.085
333.8,201.885,67.525,89.912,31.268,54.808,300.371,308.322,51.975,78.712,67.757,65.752,46.702
346.0,138.309,15.276,38.634,40.325,35.882,247.317,283.611,31.568,47.229,69.373,54.451,58.001
358.7,168.419,65.961,23.476,53.351,46.953,278.697,256.269,18.499,62.430,34.437,54.719,57.761
371.8,55.971,25.145,24.357,32.527,17.001,279.545,219.966,40.596,20.216,23.109,38.961,32.775
