Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230516_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Date,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00,10:57:00,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00
Diameter Midpoint
 49.6,0,0,139310,246112,177050,139627,112054,92260.4,75265.3,66370.8,56224.8,46941.2,39945,36293.9,31528.3,27614,24607.1,21595.7,19613.1,17543.1,15902.6,14698.1,13263.5,12216.6,11103,10103.7,9489.36,8525.57,8051.31,7259.12,6724,5993.51,5752.26,5623.09,5019.15,4903.15,4474.96,4147.2
 51.4,0,0,196334,267192,197202,155149,124092,103981,87185.8,73836,62858.3,53263.7,47545.9,40776.3,36458.2,32296.4,27963,26025.5,23408,20779.1,18837.4,17063.1,15752.2,13914.6,12929.9,12150.7,11474.6,10491.4,10055.9,9041.17,8819.44,8039.73,7118.42,6816.47,5726.64,5563.75,5376.79,4792.93
 53.3,0,0,277267,290142,218752,173589,140581,120632,99449.9,85025.3,71937.3,62508.7,54474.4,48552.2,42985.2,38019.3,34849.5,30684.7,27770.8,25444.2,22607.6,20354.6,19126,18094.1,16384.9,15032.7,13373.9,12333.9,11904.4,11345.1,10312.2,9251.37,8847.06,8208.89,7512.35,7123.25,6500.38,6617.16
 55.2,7.18168,0,318000,315938,242297,192500,156820,131865,111988,96967.3,83417,72833.3,63595.3,55243.5,50879.3,43675.3,39600,36654.9,31424.9,30327.2,26608.5,23918.9,23188.1,20697.6,18792.4,17932.6,16524.1,15581.8,14124.2,13234,13087.7,11781.3,10826.4,9648.59,8632.31,8621.47,8413.46,7846.44
 57.3,0,0,373575,345255,266871,215242,175330,149829,124865,110971,94792.4,83129.4,74930.2,64686.2,58764.3,51890,46031.9,41912.4,39054.6,34442.8,32142.4,29123.5,26639.7,24933.1,23031.9,20868,20234.4,18185.2,17710,16668.8,15204.9,13702.7,13312.6,12574.6,11528.7,10520.4,9830.2,9843.55
 59.4,0,0,502417,377572,291652,237629,198560,165708,144201,125013,107822,93210.4,83053,73992.8,66970.6,59651.2,54330.9,48846.5,44555.3,40561.6,37687.3,33659.1,30984.2,29200.7,27526.4,25098.8,22993.9,21992.9,20604.5,19074.4,17646.7,17490.4,15844.2,14505.4,13439.5,12493.3,12020.7,11088.4
 61.5,0,0,636823,420781,319012,262069,217528,185974,158698,141209,120989,107658,97681,85859.8,76013.1,67790.1,60142.1,56835.3,51182.8,46335.3,43501.3,40197.7,37918.5,33926.2,31702.1,30090.5,27807.2,26128.8,24095.5,23624.5,20874.9,19303.3,18692.4,17963.1,16557,14950.8,14576.9,14286.2
 63.8,0,0,679933,455656,351093,286283,244368,209424,175999,158062,135661,122943,111049,99355.3,86971.4,79096,72004.5,65746,59484.4,55003.8,50960.2,46630.2,42344,39841.1,37385.3,34173.8,32555.1,29548.6,28200.9,26245.3,24314.2,23190.3,21496.8,20740.1,19271.8,18429.1,17442.7,16019.9
 66.1,0,0,690191,500513,386223,316094,266215,229358,200078,176824,152497,137001,124054,110461,98836,90206.1,81744.7,75990.4,69359.1,62887.7,57594.4,53285.9,49138.1,46449.8,42869.2,39665.1,37678.8,35565.3,33647,31566.3,28706.5,27804.9,24801.1,24411,22701.8,20991.5,20622.9,18869.9
 68.5,0,0,750625,546608,424921,344096,295915,255003,222224,198347,171066,154304,137411,125501,112840,104414,95925.4,85734,78548.4,72055.7,67045.3,60511.2,57033.1,53544.5,50160.7,45892.7,43559.2,40681.5,38350.1,36058.7,33726.2,32298.7,29444.2,29170.8,27023.8,24872.3,23991.1,22511.2
