Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_20230418.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
 25.0,0.000,0.000,240633.512,105649.929,55436.724,30204.975,17476.048,11150.871,7426.435,5067.970,3715.411,2597.172,1787.560,1507.813,1088.121,951.794,879.856,671.677,512.780,498.743,317.134,320.087,213.836,238.070,238.499,75.363,118.413,78.175,115.818,109.039,94.033,86.344,69.799,112.560,66.302,37.621,62.429,54.188,64.662,81.072,26.884,14.813,27.864,26.672,48.474,30.732,34.003,53.395,25.115,16.101,23.210,20.157,4.432,13.799,7.548,5.297,62.687,8.197,8.587,14.609,22.549,9.639,16.065,24.030,0.000,3.719,31.726,3.442,4.447,17.399,0.000,10.623,4.529,11.749
 25.9,0.000,0.000,254650.450,118892.574,61715.027,34877.998,21820.156,14193.134,8695.081,6527.219,4740.477,3806.218,2508.268,1974.542,1617.931,1269.357,996.827,886.903,638.597,582.281,718.309,369.339,382.482,261.936,350.241,230.167,210.535,181.358,152.014,102.632,148.303,49.680,128.510,137.322,60.029,50.238,111.434,75.121,87.046,56.961,67.171,64.164,71.148,27.310,64.941,49.188,52.916,31.528,62.442,32.779,33.094,15.478,33.837,33.777,0.000,30.128,17.596,8.943,0.000,0.000,5.992,0.226,6.182,6.459,26.110,7.087,22.737,0.000,8.588,1.868,8.442,22.910,2.070,16.889
 26.9,0.000,0.000,273500.374,131770.186,71963.587,40349.994,25209.515,16550.169,11232.662,7828.384,5684.441,4423.950,3389.995,2516.316,2004.840,1579.510,1308.328,1179.687,879.417,768.382,641.556,411.515,595.866,454.176,373.209,315.428,293.884,211.820,163.186,120.347,161.665,134.318,98.778,145.822,144.014,112.042,95.226,78.549,89.171,97.130,61.217,77.355,59.797,85.072,58.060,97.264,63.613,34.622,19.345,52.342,60.661,53.638,59.782,29.748,48.046,61.081,27.496,1.985,18.033,58.248,34.099,28.479,10.453,18.460,17.626,14.450,3.674,17.231,26.961,11.131,13.876,19.965,20.413,15.674
 27.9,0.000,0.000,291735.217,146307.280,81092.557,46560.618,29526.664,19270.525,13082.003,9893.459,6980.408,5589.986,4268.316,3157.791,2666.585,2117.677,1770.582,1298.026,1055.613,990.588,780.880,709.337,764.489,544.522,478.386,379.349,444.113,385.872,384.183,332.780,182.310,219.812,217.813,188.049,188.887,140.319,144.117,116.239,192.756,187.013,136.956,59.510,107.319,118.462,94.778,52.208,39.539,44.093,103.181,69.610,53.125,23.805,24.115,57.189,65.499,24.075,67.826,66.328,37.763,55.823,13.783,35.413,55.443,16.382,26.368,0.000,51.927,9.090,15.715,9.078,21.645,21.779,42.503,11.313
 28.9,0.000,0.000,314147.845,158328.442,91129.589,53171.546,35087.926,22461.258,16934.392,11354.179,9011.463,6259.612,4680.689,3941.514,2941.013,2486.142,2264.735,1851.736,1446.146,1108.215,1021.465,858.328,914.503,636.040,529.170,473.279,508.845,424.236,406.564,331.081,345.079,367.695,236.348,278.731,298.011,104.686,114.547,162.213,172.630,155.062,139.554,125.709,162.337,145.648,123.563,44.701,154.098,102.658,53.183,122.220,118.538,72.417,121.913,55.087,63.696,31.858,43.243,14.975,49.630,16.659,41.580,69.806,48.530,32.499,41.469,31.475,44.301,22.253,6.633,10.671,30.495,20.833,21.328,12.653
 30.0,0.000,0.000,343138.039,176411.243,103677.089,63956.677,39901.961,27471.128,19778.534,13694.364,11233.671,7662.597,5983.046,5076.393,3958.101,3352.023,2501.303,2458.982,1909.554,1638.339,1524.119,1337.687,1133.506,947.003,834.765,863.712,673.833,521.161,571.382,584.953,368.898,456.206,393.200,321.859,320.116,330.930,255.756,187.536,261.956,197.604,180.438,205.795,164.379,129.437,183.019,151.392,86.399,177.395,106.916,88.094,80.070,105.809,104.910,72.813,129.349,76.494,69.214,47.152,82.223,60.897,40.301,50.157,79.815,63.257,71.143,45.951,55.375,54.775,7.913,42.597,42.371,47.326,36.141,22.377
 31.1,0.000,0.000,369820.080,194725.542,115339.494,72034.907,46555.106,32771.915,22736.419,17430.315,12578.516,9742.810,7616.634,6343.630,5199.423,4301.972,3780.248,2964.561,2704.657,1981.450,1808.827,1754.260,1305.317,1286.326,1179.898,1026.365,719.484,867.481,680.160,655.036,584.340,496.229,466.927,341.337,395.650,215.866,278.130,203.473,343.928,208.710,281.531,253.956,222.863,267.684,212.895,227.717,211.841,162.213,186.009,152.535,138.972,147.865,107.121,70.174,101.321,74.305,108.518,82.676,86.072,88.981,120.019,57.317,43.247,60.667,106.705,52.032,63.752,34.886,75.960,57.708,27.290,71.017,38.763,31.897
 32.2,0.000,0.000,387938.212,210311.443,127550.037,80954.827,53451.489,38950.208,27486.426,20212.446,16375.310,12122.976,8888.742,7594.644,6347.514,5355.721,4487.020,3475.522,3204.197,2604.716,2342.898,2137.699,1822.514,1484.647,1322.701,1240.901,1233.151,1087.073,865.970,921.252,786.620,614.673,648.453,602.275,426.365,454.323,369.705,319.964,431.034,399.334,305.602,298.840,286.486,327.349,287.598,177.467,159.833,273.715,167.704,219.638,178.079,185.901,166.870,119.470,106.298,170.807,134.742,109.786,107.659,103.453,121.891,166.952,109.268,46.073,106.836,73.508,91.460,47.366,30.763,50.615,68.719,57.203,32.606,58.579
 33.4,0.000,0.000,417266.341,233883.425,143149.126,93669.243,63895.628,45672.171,31958.643,24589.204,18491.588,14113.370,11502.786,10447.429,7749.030,6296.125,5525.311,4376.425,4192.399,2875.659,3023.971,2662.808,2140.042,1962.791,1749.437,1613.638,1190.885,1274.117,1220.529,965.641,1060.382,919.828,806.061,675.207,649.191,692.389,505.243,465.871,517.890,488.872,487.708,476.941,459.448,360.755,338.442,246.400,345.230,292.752,249.163,312.237,229.994,229.367,173.056,197.018,134.157,150.438,164.637,145.108,86.340,154.296,137.512,91.430,109.054,122.306,79.705,128.165,81.899,158.097,135.667,96.160,81.757,49.732,80.509,59.411
 34.6,0.000,0.000,446819.489,253194.804,158151.198,103801.847,72139.086,52056.787,37111.476,28120.492,22194.291,17544.175,12810.241,11682.811,8894.573,8098.885,6475.112,5742.197,4962.156,3953.178,3853.838,3044.018,2756.694,2555.680,2507.160,1825.802,1762.928,1622.046,1450.159,1196.958,1363.702,1055.756,1035.535,896.636,773.146,858.610,786.582,791.934,771.502,582.865,530.679,530.974,433.920,412.901,439.699,465.077,430.655,212.685,281.353,234.392,281.320,293.194,232.451,247.531,225.804,264.057,237.837,208.645,174.415,149.955,180.556,107.576,120.480,151.787,132.583,164.834,94.934,117.262,107.730,104.756,113.606,58.320,87.312,139.566
