Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 25.0,27.031,33.674,27.026,27.035,33.803,53.839,6.754,6.643,60.849,33.808,6.762,40.483,23.898,13.490,6.758,26.989,40.576,13.494,13.494,13.490,6.655,20.237,6.747,13.497,13.494,13.497,20.245,84992.877,186077.948,73857.589,35094.434,17720.813,9717.972,5051.771,2944.606,1834.073,1056.508,640.390,454.108,243.933,220.457,132.100,81.004,75.829,70.266,52.804,28.053,32.069,22.485,11.020,5.574,10.984,13.185
 25.9,6.301,32.132,44.982,25.586,12.859,19.275,6.301,12.851,25.718,12.859,25.718,6.416,9.444,0.000,6.430,12.832,6.430,6.416,6.416,25.664,6.388,0.000,12.832,19.251,12.832,6.417,12.719,204149.088,184483.751,76753.791,37535.742,19559.172,10704.313,5717.931,3323.408,2018.668,1290.692,658.830,577.002,423.574,196.162,187.378,147.794,142.513,79.766,39.298,51.877,26.357,18.592,48.734,31.810,38.000,27.445
 26.9,43.044,24.674,30.700,18.504,12.342,12.337,24.538,12.337,6.171,12.342,18.511,18.473,6.197,24.495,18.515,6.158,12.343,6.158,6.029,0.000,0.000,0.000,6.158,12.317,6.021,6.159,6.158,271154.649,185201.064,81019.496,40049.067,21171.823,11834.942,6392.291,3771.039,2847.855,1551.281,1175.413,813.798,465.916,325.373,248.085,207.648,138.290,85.018,126.752,78.670,53.144,45.176,25.859,0.000,12.773,16.883
 27.9,23.543,43.108,17.508,17.653,17.664,11.763,17.658,11.772,0.000,11.776,5.745,11.751,35.363,11.747,5.889,6.216,5.889,0.000,0.000,5.876,11.751,0.000,0.000,5.876,0.198,0.000,11.753,349296.871,182122.060,81461.218,44000.372,23017.498,13555.733,7913.344,4703.932,3132.183,1842.026,1317.512,835.925,589.922,482.816,446.702,333.159,178.313,90.681,91.033,94.353,88.463,33.636,16.617,46.828,17.695,17.081
 28.9,16.877,15.047,11.101,5.469,5.628,5.333,5.626,11.252,0.000,16.884,11.256,5.616,5.654,5.474,11.257,16.515,0.000,0.000,0.000,5.616,11.224,11.232,0.000,5.617,10.907,0.000,5.610,433769.359,183046.192,86315.998,46454.573,24868.305,15149.921,8850.369,5561.744,3467.835,2585.988,1527.371,1097.013,656.499,687.577,386.847,358.201,282.239,214.438,127.704,161.143,73.377,70.020,50.631,33.951,61.896,44.028
 30.0,5.393,5.607,10.853,5.279,10.859,5.417,5.417,0.000,0.000,5.429,10.859,0.000,0.000,0.000,5.430,5.251,5.430,5.418,10.836,21.672,16.087,5.395,5.418,0.000,0.000,0.000,0.000,596429.783,183698.654,89284.145,49207.463,28187.630,16277.386,9971.388,6186.122,4101.063,2667.175,1734.907,1235.856,1019.837,673.493,527.893,386.190,338.744,295.382,191.308,150.575,97.192,124.666,107.900,64.458,64.157,155.837
 31.1,4.728,20.470,10.394,10.395,5.199,5.050,10.248,15.593,0.000,10.366,0.000,5.173,0.000,0.000,0.000,20.594,0.000,5.188,0.000,0.000,5.032,4.875,10.377,0.000,5.188,5.189,5.189,741836.216,180802.972,90758.098,52191.263,29920.228,18299.866,11773.352,7575.951,4764.911,3405.086,2157.108,1480.340,1233.226,1186.976,632.489,643.316,419.818,352.183,292.672,156.914,197.558,158.415,97.915,101.234,66.038,89.943
 32.2,0.000,0.000,0.000,0.000,0.000,4.990,0.000,9.979,4.843,4.659,0.000,0.000,11.456,4.981,0.000,0.000,0.000,0.000,4.830,4.981,0.000,4.981,4.981,0.000,0.000,0.000,4.982,834604.108,178031.623,94999.714,54492.450,32489.664,19560.222,13032.638,8750.827,5843.610,3682.811,2564.312,2039.367,1473.980,1088.209,798.954,763.338,454.220,478.180,257.874,209.707,210.969,204.362,179.230,130.198,97.136,108.288
 33.4,4.831,0.000,14.464,4.632,9.335,0.000,4.659,9.636,0.000,0.000,9.482,9.644,3.346,4.822,9.666,0.000,0.000,0.000,4.822,0.000,0.000,0.000,4.822,4.823,9.644,0.000,0.000,828570.479,176242.940,97621.952,57361.616,35284.336,22091.063,14300.030,9762.997,6548.355,4681.594,3263.728,2604.625,1749.174,1571.075,1125.252,813.944,495.179,584.328,522.690,371.473,348.823,295.053,202.432,223.021,116.335,166.483
 34.6,4.649,4.649,4.479,0.000,4.651,0.000,4.649,0.000,4.651,0.000,0.000,0.000,4.599,4.641,4.651,0.000,0.000,0.000,0.000,4.641,0.000,4.641,0.000,0.000,0.000,0.000,0.000,745226.510,171181.189,98615.428,59300.986,37513.042,23994.449,15261.323,10989.335,7288.421,5111.251,3696.665,2896.734,2357.788,1729.767,1022.057,1025.406,692.427,642.599,562.104,421.730,463.091,311.110,239.221,233.832,186.333,123.008
 35.9,0.000,4.480,0.000,0.000,0.000,8.960,0.000,4.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.566,0.000,0.000,0.000,0.000,0.000,0.000,619823.217,172589.918,99997.632,62991.242,39638.699,25685.918,17222.308,11543.400,8702.912,5880.834,4439.315,3203.206,2363.272,2027.573,1428.670,1172.398,841.329,789.471,512.988,569.373,417.386,323.763,257.446,256.556,285.759,187.224
 37.2,4.350,0.000,0.000,4.207,0.000,0.000,4.350,0.000,0.000,0.000,0.000,0.000,4.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.879,0.000,0.000,0.000,0.000,0.000,3.971,493681.541,172455.553,102904.653,65058.583,42703.565,27873.364,19121.048,13567.837,9461.944,6683.952,5317.430,3933.455,3054.010,2363.185,1861.201,1424.358,989.431,695.181,863.004,625.234,554.042,373.883,379.728,322.517,304.137,239.443
 38.5,4.145,0.000,4.200,0.000,0.000,0.000,4.145,0.000,0.000,0.000,0.000,0.000,0.000,4.193,0.000,0.000,0.000,0.000,3.991,0.000,0.000,0.000,0.000,0.000,4.193,0.000,0.000,420454.683,170833.269,105387.851,67060.255,44927.385,29260.193,20881.517,15011.488,10716.620,7882.175,5811.311,4440.477,3568.990,2541.590,2212.769,1648.644,1269.909,1072.734,1069.781,803.912,701.847,528.095,596.371,356.012,296.894,326.594
