Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
414.2,0.000,3.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2106.977,1813.979,2091.655,2399.132,2704.343,3089.880,3544.582,3779.270,4132.978,4420.592,4870.961,5233.555,5526.100,6109.193,6095.720,6323.246,6680.768,6875.760,6949.974,7228.802,6971.001,7108.429,6983.358,6979.616,7303.129,7442.600
429.4,6.277,0.000,0.000,0.000,6.278,3.139,0.000,0.000,0.000,2.823,0.000,0.000,0.000,3.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.133,0.000,1306.378,1076.818,1337.580,1525.007,1637.095,1946.755,2179.421,2408.494,2570.790,3101.175,3185.140,3312.351,3668.803,3901.771,4111.086,4382.585,4475.553,4543.578,4801.806,4689.596,5070.449,4913.839,4934.969,5378.891,4999.074,5120.488
445.1,12.769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.193,3.186,0.000,0.000,0.000,0.000,0.000,0.000,3.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,698.584,647.673,646.672,848.616,975.349,1129.791,1399.494,1486.215,1634.716,1715.096,1846.900,1919.391,2276.326,2559.198,2629.208,2930.415,2996.302,3221.557,3067.511,3422.349,3400.622,3544.198,3398.183,3539.307,3591.552,3804.233
461.4,6.495,0.000,0.000,3.248,0.000,0.000,0.000,3.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,430.591,407.413,367.842,541.264,570.885,692.129,760.669,918.054,1027.917,1124.402,1223.319,1329.824,1561.280,1623.953,1854.885,1828.555,1916.305,2069.724,2233.305,2235.524,2150.796,2281.089,2407.165,2483.820,2545.079,2387.779
478.3,6.611,0.000,3.305,0.000,0.000,0.000,6.611,0.000,0.000,0.000,3.306,0.000,0.000,0.000,0.000,3.299,0.000,2.574,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,251.132,283.211,287.279,305.768,352.055,393.765,452.810,461.656,514.148,764.161,743.831,863.275,971.508,1092.941,1180.640,1278.924,1307.810,1311.503,1462.665,1585.421,1493.613,1679.195,1519.860,1655.230,1571.255,1766.103
495.8,3.344,0.000,3.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.169,0.000,0.000,0.000,0.000,0.000,0.000,0.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,178.996,137.481,196.030,211.421,196.091,219.277,273.087,315.440,288.070,334.049,422.904,442.958,529.262,633.191,670.429,887.285,762.564,828.020,908.190,986.067,999.615,1061.970,1028.544,1123.830,1156.074,1109.405
514.0,6.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,131.169,122.303,106.693,135.069,96.923,150.190,168.568,124.884,188.723,208.745,222.804,290.092,322.653,361.901,445.717,456.863,486.986,508.992,499.889,585.518,558.780,661.231,775.751,709.566,711.422,702.318
532.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94.607,74.278,77.134,59.976,66.754,73.022,71.978,105.076,116.016,97.759,139.465,146.746,233.663,230.425,263.113,253.886,257.729,295.882,387.503,280.259,409.974,414.414,413.230,366.015,456.369,489.470
552.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.529,0.000,0.000,0.000,3.529,0.000,0.000,0.000,0.000,0.000,77.640,67.875,60.743,57.847,46.838,56.699,66.368,85.486,54.049,83.746,121.893,75.467,254.680,102.526,153.060,148.757,157.401,177.614,183.805,175.990,265.584,264.394,266.710,324.144,267.990,280.973
572.5,3.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,70.379,41.933,64.527,53.643,25.257,39.741,39.174,38.473,55.105,22.320,33.587,83.634,96.262,74.181,82.526,102.386,163.760,98.323,106.075,132.907,133.867,94.484,167.527,144.854,147.627,189.578
593.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.719,56.133,52.724,67.871,36.981,18.300,32.470,35.281,38.379,35.929,27.221,54.224,52.781,40.991,73.240,76.455,55.566,61.768,90.505,74.054,57.420,88.199,77.380,101.489,120.210,117.578
615.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.382,18.710,41.416,26.520,33.956,18.670,47.849,25.196,17.798,24.593,6.943,30.486,34.851,13.940,20.872,41.620,41.476,47.566,32.599,41.211,54.420,58.902,59.428,68.434,55.601,68.378
637.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.093,15.278,30.744,34.803,30.808,22.868,18.785,3.674,14.533,10.758,19.369,18.292,19.479,10.672,21.304,31.861,3.455,31.211,25.910,31.548,42.892,45.975,17.665,23.441,39.327,31.898
661.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61.450,34.851,46.755,31.365,31.235,11.592,15.236,22.350,22.103,21.815,34.250,14.313,12.710,14.426,14.400,17.946,17.516,31.644,21.179,31.986,14.258,25.099,25.075,16.233,17.804,17.481
685.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,49.689,19.778,35.820,8.010,7.976,23.684,14.909,37.380,7.526,18.570,3.670,3.655,11.052,3.684,11.032,3.667,7.157,7.184,7.211,14.521,18.206,25.639,3.659,18.258,18.186,24.999
710.5,11.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.211,36.114,20.187,40.628,16.183,12.013,32.241,12.260,13.448,15.070,7.446,7.416,14.949,18.686,14.922,3.719,3.630,0.000,10.973,22.098,3.693,7.431,3.712,7.409,40.588,7.246
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.979,0.976,0.979,0.978,0.979,0.978,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.980,0.976,0.973,0.970,0.972,0.977,0.984,0.995,1.00,1.01,1.03,1.03,1.02,1.02,1.02,1.03,1.05,1.05,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.05
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),11.02,11.01,11.02,11.01,11.00,11.01,11.01,11.01,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,10.99,10.99,11.00,11.00,11.01,11.01,11.01,10.99,10.99,10.98,11.01,11.01,11.00,11.00,11.00,11.00,11.00,11.00,10.99
High Voltage (V),9245.79,9246.42,9244.82,9246.42,9244.06,9246.42,9246.42,9246.42,9244.06,9244.06,9244.06,9245.65,9245.34,9246.28,9245.34,9245.65,9245.34,9245.65,9245.34,9245.34,9245.34,9245.34,9245.34,9246.93,9245.34,9246.93,9246.93,9246.93,9246.62,9246.28,9247.22,9248.17,9247.54,9245.97,9239.82,9236.39,9234.53,9230.52,9225.26,9224.04,9226.48,9224.11,9223.50,9220.21,9213.42,9214.63,9215.83,9217.95,9218.86,9220.69,9218.79,9218.19,9214.60
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
tf (s),6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.25,6.25,6.25,6.24,6.23,6.21,6.20,6.18,6.16,6.16,6.17,6.17,6.17,6.16,6.13,6.13,6.14,6.15,6.15,6.16,6.16,6.16,6.15,6.12
D50 (nm),732.8,732.8,732.7,732.8,732.7,732.8,732.8,732.8,732.7,732.7,732.7,732.3,733.6,732.3,732.8,732.3,732.8,732.3,732.3,732.3,732.3,732.3,732.3,732.4,732.3,732.4,732.4,732.0,733.7,734.9,736.2,735.3,733.2,730.3,725.5,723.1,717.9,713.1,711.5,714.6,714.6,713.7,712.6,702.8,704.4,705.9,708.6,709.8,712.1,711.7,710.9,709.3,702.0
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),19.010,18.557,19.530,19.134,18.964,19.028,18.831,18.861,19.041,19.007,18.622,19.576,19.284,19.402,20.784,19.684,18.796,18.358,19.278,20.644,19.462,19.005,18.398,19.244,19.152,18.622,19.603,100.881,117.170,131.025,139.453,145.600,150.695,154.496,157.963,160.924,164.245,166.534,169.108,171.735,173.451,175.124,177.013,178.783,180.508,182.036,183.112,183.714,185.361,186.241,187.271,188.743,190.161
Mean (nm),45.902,30.276,39.325,34.158,32.941,32.578,32.733,30.881,27.884,31.146,36.521,31.896,32.930,36.115,35.437,35.218,33.479,37.992,35.400,41.656,41.711,42.634,32.446,40.370,43.159,40.410,33.324,107.849,120.520,133.785,142.499,149.109,154.373,158.675,162.274,165.560,168.898,171.411,174.124,176.966,178.656,180.707,182.796,184.794,186.239,187.983,189.203,190.077,191.719,192.705,194.055,195.355,196.847
Geo. Mean (nm),24.520,22.044,24.660,23.560,23.084,23.280,22.735,22.273,21.844,22.543,23.513,23.357,23.449,24.068,24.292,24.531,23.744,23.769,23.450,26.698,26.419,26.009,23.209,25.063,26.842,24.681,24.642,88.779,96.478,113.398,124.404,132.514,138.704,143.717,147.622,151.293,154.846,157.475,160.330,163.199,164.971,167.053,169.210,171.181,172.605,174.238,175.497,176.374,177.983,178.970,180.363,181.599,183.006
Mode (nm),18.106,16.253,16.253,18.106,16.253,17.466,17.466,16.849,16.253,16.253,18.106,20.169,16.253,16.849,18.106,16.253,17.466,17.466,16.253,18.106,16.849,18.769,18.106,17.466,16.253,16.253,18.106,130.975,162.531,162.531,168.485,168.485,168.485,181.056,181.056,181.056,181.056,181.056,187.688,187.688,181.056,187.688,187.688,194.564,187.688,194.564,194.564,187.688,194.564,201.691,201.691,201.691,201.691
Geo. Std. Dev.,2.172,1.761,2.047,1.877,1.852,1.835,1.830,1.780,1.668,1.782,1.955,1.802,1.858,1.953,1.870,1.908,1.897,2.034,1.926,2.090,2.132,2.147,1.843,2.088,2.193,2.128,1.840,1.915,2.089,1.882,1.764,1.689,1.642,1.606,1.586,1.566,1.552,1.542,1.532,1.525,1.519,1.514,1.507,1.504,1.503,1.502,1.499,1.497,1.495,1.493,1.489,1.488,1.488
Total Conc. (#/cm³),2.868495e+001,2.892153e+001,2.572900e+001,2.189114e+001,2.142952e+001,2.146176e+001,2.199408e+001,2.152271e+001,2.112126e+001,1.898008e+001,1.621824e+001,1.619621e+001,1.584064e+001,1.408046e+001,1.173804e+001,1.287791e+001,1.434845e+001,1.159444e+001,1.209904e+001,9.319720e+000,9.730869e+000,7.702003e+000,9.170950e+000,7.528349e+000,6.378005e+000,1.025491e+001,9.372980e+000,6.737275e+005,4.210343e+005,3.293360e+005,2.794150e+005,2.422390e+005,2.126976e+005,1.898234e+005,1.674586e+005,1.515887e+005,1.376854e+005,1.245166e+005,1.156968e+005,1.081638e+005,1.007913e+005,9.359631e+004,8.743240e+004,8.041605e+004,7.593579e+004,7.165077e+004,6.779307e+004,6.380750e+004,6.040883e+004,5.719283e+004,5.408171e+004,5.161351e+004,4.792031e+004
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
