Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:01,18:18:01,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Sample Temp (C),22.3,22.2,22.2,22.2,22.1,22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.1,22.1,22.1,22.1,22.1
Sample Pressure (kPa),80.1,80.1,80.1,80.1,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.1,80.1,80.1,80.1,80.1,80.0,80.1,80.0,79.9,80.0,80.0
Relative Humidity (%),28.8,26.0,23.7,21.8,20.2,18.9,17.7,16.7,15.9,15.2,14.6,14.0,13.6,13.2,12.8,12.5,12.3,12.0,11.8,11.6,11.5,14.6,20.7
Mean Free Path (m),8.48565e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.46777e-008,8.46777e-008,8.46777e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.48528e-008,8.47834e-008,8.48894e-008,8.49956e-008,8.48894e-008,8.48894e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005
Diameter Midpoint (nm)
156.8,3.461,0.000,142429.397,406897.800,378538.276,346235.592,332020.215,317356.167,298277.335,280810.712,267090.788,250473.662,238238.852,225179.082,217467.318,200446.099,192427.250,184161.857,179701.088,168990.243,182050.418,188264.242,183794.428
162.5,3.995,3.846,137202.360,405996.308,375135.494,343206.294,330147.858,314192.926,297349.848,280828.407,268438.810,251061.271,241524.894,229870.162,219650.867,207653.114,194552.286,189641.399,183027.116,172715.592,186951.299,192400.583,188876.114
168.5,0.000,1.541,139381.269,400662.396,365066.365,339445.132,324595.753,311879.804,297241.595,282948.640,266187.089,250344.938,240579.056,229200.356,220286.780,209830.542,198487.141,192300.740,187794.001,175828.042,189904.784,196974.106,194539.016
174.7,0.000,1.952,157063.790,391582.996,352724.901,332625.276,317873.725,305556.883,289979.227,278731.100,261730.227,248453.870,239075.547,230824.131,220157.872,210231.325,200697.354,192906.790,187956.061,177790.780,193047.608,197788.927,201156.298
181.1,0.000,2.115,192810.076,371702.384,339907.183,322729.321,312261.883,293991.669,283085.911,270911.239,255134.777,243123.511,233511.930,227226.448,216022.845,207790.064,198241.188,191267.321,184566.558,176223.005,193305.528,200087.420,200347.335
187.7,0.000,2.092,220682.980,351121.894,329176.470,310539.557,298131.555,284918.538,272536.275,260792.764,246489.399,237945.943,228484.581,218692.264,213178.682,204013.806,194930.388,187543.151,184524.714,174420.752,190435.893,197431.976,198803.414
194.6,0.000,0.000,231166.336,331067.057,306472.600,290962.683,283080.368,270679.002,259574.499,245834.620,238476.407,223783.171,220363.486,209109.783,203787.292,197781.558,188922.160,181086.333,177031.677,170298.256,185316.616,193662.079,196886.147
201.7,0.787,7.759,226621.893,307428.084,285461.769,271634.135,264990.208,252950.953,242156.234,233355.511,224378.902,212129.796,207773.284,200081.844,191816.313,188159.092,179106.896,174363.643,171277.624,162515.059,179624.590,188966.791,190602.837
209.1,3.417,0.000,215746.942,279256.650,265437.599,253375.858,242838.532,234680.771,224827.336,217324.019,208736.571,199058.579,193684.899,187550.566,182479.466,176019.924,167164.484,164930.533,161265.189,154326.978,169528.348,181738.239,183883.381
216.7,0.659,1.166,204859.267,250558.559,240882.701,230219.343,221913.031,214243.194,206236.139,198566.541,191114.566,184204.662,178964.608,174062.538,170558.001,164378.298,157898.550,154517.223,151042.032,145440.398,158086.422,171228.343,173793.252
224.7,1.854,1.854,203506.416,225740.323,216048.227,207101.197,201901.615,193600.936,184671.401,179208.504,174715.896,168113.949,164747.660,158379.556,155848.612,152741.142,145568.617,143107.158,140287.786,133663.300,147481.801,158823.767,161120.905
232.9,4.339,0.000,207675.877,198581.863,190994.655,181673.868,180103.943,172095.419,163999.121,160117.582,155977.352,150165.080,148133.816,143823.032,141062.853,136296.629,132029.357,131317.723,127526.746,121115.531,136588.930,146336.900,148716.145
241.4,0.821,0.000,204417.684,170190.586,166464.323,161290.206,156554.476,150634.313,143603.555,143683.010,137267.301,133917.048,130649.231,126811.657,124699.123,123035.309,117393.007,116537.761,113713.125,108554.195,122274.935,133181.984,133981.822
250.3,0.000,2.211,191702.862,145317.813,141076.735,138656.814,133022.633,130482.551,123662.803,123285.545,119472.909,116925.314,113193.131,111484.084,109506.855,107016.436,103021.672,102652.810,99505.031,94628.711,108048.192,119175.221,120538.029
259.5,0.000,0.000,170413.236,122997.937,120817.485,119663.420,115568.013,111247.802,105885.324,105628.170,102988.680,99883.941,96815.400,95551.849,94298.841,92298.811,89161.020,89433.705,87030.890,83993.850,94817.396,105685.362,107585.834
269.0,0.000,0.000,142092.032,101636.972,101682.876,98971.327,94482.813,92805.096,88752.917,87616.273,85092.908,83581.306,82762.218,80488.824,79282.530,79078.419,74989.243,75239.948,73935.961,71322.857,82318.271,90057.756,94026.452
278.8,0.000,0.000,116004.457,83072.797,83469.464,80183.258,77497.046,77010.089,72638.459,71720.139,70504.495,68301.868,68162.808,66334.891,65628.698,65218.043,62995.488,62867.839,61840.543,59129.651,68929.604,76431.721,78669.509
289.0,1.687,4.623,91183.203,66122.611,66088.276,63102.955,61521.084,61512.882,59180.438,57311.347,57528.765,55491.602,55242.656,53265.800,53729.846,52724.861,50907.288,51665.746,50670.307,49197.548,56802.910,63794.936,65817.779
299.6,0.000,0.000,69286.039,51924.507,52231.271,49771.885,47391.482,48208.042,46845.449,45442.021,44576.446,43783.097,43846.744,42477.112,42144.294,42220.224,40777.611,41256.111,40203.315,39283.494,45929.011,51605.357,53982.641
310.6,0.000,0.000,50937.393,39493.201,40051.057,38115.970,36958.644,37281.563,36280.615,35340.852,34969.764,34145.089,33226.745,33756.631,32969.854,33333.046,31758.887,32572.303,31502.748,31358.657,37323.216,40992.268,43559.665
322.0,0.000,2.401,38468.013,29757.141,30509.527,28927.968,28177.376,28196.363,27238.367,26634.236,26860.242,26077.453,25305.578,25518.926,25330.421,25639.091,24358.005,24977.814,24100.007,24132.690,28813.729,32410.595,34317.355
333.8,2.424,0.000,28133.584,22386.507,23303.987,21744.353,20979.062,20661.248,19768.621,20242.949,20004.151,19237.168,18954.219,18647.261,19205.988,19270.692,17786.570,18441.402,18283.783,18148.361,21527.846,24605.090,26097.498
346.0,0.000,0.000,20899.193,15901.543,16654.759,15954.359,15298.354,14835.760,14521.865,14027.444,14380.377,14100.086,13739.642,13654.837,13748.692,13862.342,13409.440,13616.222,13384.744,13234.875,15766.602,18295.253,19905.008
358.7,2.498,2.498,15555.380,11692.300,12068.713,11258.859,10933.859,10699.121,9768.996,10250.456,10266.522,10007.822,9726.799,9763.852,9783.999,9634.612,9427.584,9592.158,9283.970,9275.449,11405.318,13591.852,14377.781
371.8,0.000,0.000,11384.820,8129.091,8493.332,7711.062,7294.748,7271.701,6716.507,7127.112,6917.634,6949.808,6854.303,6828.976,6597.088,6736.722,6589.952,6552.822,6592.362,6295.262,8160.120,9436.839,10233.431
385.4,0.000,0.000,8082.204,5367.555,5771.444,5437.147,4897.616,4871.640,4210.427,5038.118,4643.881,4642.057,4686.173,4695.777,4304.232,4590.135,4356.187,4445.328,4494.232,4202.284,5175.092,6812.448,7178.228
