Relative Humidity (%),32.1,38.0,42.7,46.4,49.5,52.2,54.7,56.7,58.5,60.0,61.3,62.3,63.2,63.9,64.5,65.0,65.6,66.1
Mean Free Path (m),8.42487e-008,8.43536e-008,8.43536e-008,8.43901e-008,8.43901e-008,8.44265e-008,8.44629e-008,8.45358e-008,8.46087e-008,8.46816e-008,8.47545e-008,8.47909e-008,8.47909e-008,8.47545e-008,8.47545e-008,8.47180e-008,8.46816e-008,8.47872e-008
Gas Viscosity (Pa*s),1.82528e-005,1.82528e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82767e-005,1.82863e-005,1.82958e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.82958e-005,1.82958e-005
Diameter Midpoint (nm)
126.3,7.743,0.836,1.070,6.703,1283974.548,1042481.391,923003.719,818033.425,737699.430,654904.210,594897.671,527019.092,475581.660,430752.201,393263.038,354725.304,323420.519,294894.668
131.0,4.115,8.807,4.335,6.900,1329611.164,1072142.080,955083.654,850928.110,764920.426,678519.362,626392.881,549609.720,503665.957,458185.099,412359.366,377607.873,344116.669,313028.941
135.8,0.000,2.112,8.189,0.000,1353854.183,1093714.301,977447.964,873096.142,790585.448,701785.362,646930.086,572238.884,524736.424,475848.227,433872.380,397376.707,365478.732,332493.438
140.7,3.954,11.718,5.622,5.772,1343436.785,1104346.327,998857.115,895253.069,805878.453,726270.061,663025.358,593902.157,545143.709,496728.565,451195.186,412961.059,375034.790,345809.635
145.9,5.782,4.356,0.000,4.294,1335626.653,1107805.098,1004246.116,909527.549,815522.629,738109.161,672392.449,612025.616,558836.625,507374.146,469306.675,423807.909,386398.884,359076.326
151.2,2.330,3.837,10.950,4.034,1317723.726,1101422.389,1002968.744,911927.534,821149.088,749730.142,687238.819,626838.008,575640.561,518341.328,481132.595,441117.682,401775.155,372017.843
156.8,4.728,8.116,5.971,14.499,1288099.476,1088973.899,993425.888,911256.687,820949.745,753008.895,691923.572,633149.704,579973.369,528280.457,491194.676,447943.583,410255.996,380874.376
162.5,6.358,7.122,14.448,0.000,1255878.587,1064012.473,976229.378,900887.317,820691.500,746661.914,693494.662,635199.146,579788.113,532980.223,491615.930,451352.876,418523.266,383465.027
168.5,8.313,0.000,8.886,9.245,1209717.263,1035540.716,951289.353,888255.344,810948.003,739778.989,684249.807,628639.838,578887.820,535860.283,490696.212,449724.517,420337.771,386934.136
174.7,11.662,1.199,1.882,4.695,1151552.397,995397.282,921996.884,854373.102,790046.899,723665.150,670654.543,617660.111,574754.148,532447.957,490187.495,448879.572,416545.544,384423.394
181.1,2.758,6.946,6.830,4.494,1087901.572,946204.417,883094.801,820633.564,762397.288,705868.377,654773.912,605264.481,555963.308,518063.088,480926.188,445602.032,410897.859,380061.791
187.7,6.296,0.655,5.092,11.904,1012383.870,890465.905,835973.055,778792.593,725870.990,678359.995,629839.947,582575.974,540439.136,503566.352,466402.315,433096.598,401711.011,372033.210
194.6,11.085,3.874,3.261,4.900,928563.660,822324.553,782782.937,730917.430,684724.048,637001.938,594988.632,553226.052,517582.243,481220.548,446893.623,415590.800,386249.394,360417.511
201.7,0.000,0.915,0.000,7.406,837648.331,754362.727,719555.123,680282.959,640023.610,598195.159,561725.924,523000.407,487474.089,452556.952,426054.673,392770.825,367218.165,346023.946
209.1,0.000,4.292,2.482,0.000,744237.987,681802.332,651237.561,619757.503,587792.478,549790.098,517539.389,481990.278,453015.461,425068.201,394931.901,368184.886,346755.589,324525.927
216.7,2.386,7.504,4.494,2.496,662619.246,605668.629,583538.929,554790.474,531964.941,498884.181,474082.761,442319.565,415387.544,390865.775,365964.867,341679.989,320960.195,301735.784
224.7,0.000,2.521,0.000,7.548,576697.785,531946.423,516054.053,493058.664,471818.203,444103.451,424894.026,400418.512,373481.979,353776.140,332957.977,311994.619,294436.942,276371.208
232.9,0.518,7.625,7.175,10.136,495286.038,459854.401,448339.529,425853.868,413309.365,392987.105,376261.322,353251.084,330612.780,314735.180,297830.607,278441.960,264576.523,249479.236
241.4,0.000,5.125,5.125,3.515,415967.549,391108.868,384932.169,363139.774,354484.475,341623.565,324836.583,307606.569,290517.211,276155.909,263646.893,246573.419,235891.998,219737.751
250.3,1.446,0.000,0.000,5.158,341928.073,325819.885,323379.949,307616.021,299218.189,290460.769,276037.700,264487.980,249543.380,238118.822,226703.997,213684.100,203704.162,191886.627
259.5,0.000,0.000,0.000,5.226,278631.081,267065.875,266555.676,256774.906,248784.327,242771.874,231991.704,223248.260,213240.171,200772.445,192924.059,183646.010,174642.471,164957.160
269.0,0.000,0.000,1.042,0.000,221066.707,217305.081,214051.798,206674.670,202658.340,198275.793,190122.573,183354.429,174589.288,165557.991,160184.757,152241.094,144558.211,138610.611
278.8,0.000,2.664,0.745,0.000,172845.442,168886.939,167751.329,165260.248,159586.621,157735.052,152965.381,146298.701,140702.344,135459.545,129467.913,124664.769,118618.609,113606.538
289.0,0.000,0.000,0.000,5.392,132954.165,132261.899,132592.178,129123.552,125065.051,124040.336,121201.703,117141.041,112311.081,107407.653,103156.635,99612.190,95418.321,90923.636
299.6,0.000,4.076,5.452,0.000,100415.408,100738.966,99580.150,98003.904,95911.409,95938.829,93908.454,89969.871,87097.351,83141.664,80336.844,78235.542,75237.600,70116.716
310.6,0.000,1.395,0.000,0.000,74721.128,75628.201,73895.071,73978.014,72755.086,71836.928,70390.101,68299.103,67544.071,63658.273,61710.649,58217.394,58042.654,54538.726
322.0,5.621,2.805,5.610,0.000,53932.370,53968.567,54129.958,53867.785,53273.300,52067.635,52272.442,51003.685,49225.790,46679.650,46176.261,44443.862,42952.799,41373.059
333.8,5.675,2.832,0.000,0.000,37815.094,38232.655,38411.811,39400.158,38061.076,37749.956,36977.679,36470.657,34805.696,33864.217,33541.746,32302.286,31677.526,29942.372
346.0,0.000,0.000,0.000,0.000,26262.869,26221.897,27532.976,27480.216,27366.578,26377.934,25598.741,25734.681,24600.805,24485.470,23695.100,22645.279,22091.780,20937.660
358.7,0.000,0.000,1.126,0.000,18384.963,18120.443,19032.159,19372.093,19261.852,18644.209,17423.380,17924.675,16894.278,16650.742,16599.415,15037.602,15816.750,14312.571
