Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_MRH_20230522_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Diameter Midpoint
 55.2,0,0,2.17815e+006,285194,210339,181408,161031,145440,129576,111763,101636,87403.2,80365,72683.9,66814.3,61369.3,57012.1,50843,46559.4,42677,41844.1,36753.7,34242.7
 57.3,0,0,1.70641e+006,301137,224938,195910,174620,160854,141186,126944,113563,100734,90647.3,82446.6,75829.9,68788.6,62641.8,58269.9,54783.7,49989.3,47332.6,42946.3,40697.7
 59.4,6.84993,0,1.31288e+006,327387,244612,217578,193587,176104,156033,138384,129002,114580,103787,93978.6,85669.4,79404.4,74426.4,68860.7,62379.8,57785,54557.7,49862.4,46340
 61.5,0,0,1.07529e+006,348543,268165,238683,210509,190584,172952,152707,139938,127801,116721,104581,95986.8,89319.6,83237.4,77261.7,71393.2,64972.5,62684.9,57096.2,54974.6
 63.8,0,5.83578,987936,377290,285048,258322,230625,211398,187963,171180,155280,142885,129606,118644,109906,102541,94201.9,87941.5,81907.3,77502.4,72476.4,64685.3,61636.2
 66.1,0,0,1.03824e+006,394133,314203,275202,251097,228392,205861,184839,168524,159184,143567,131145,123414,114899,106979,95744.2,92197.3,84311,79545.4,73415.4,69302.3
 68.5,0,0,1.06369e+006,419203,336080,299431,276207,246286,225202,207363,189921,172782,157568,148191,135665,128949,120380,109973,103037,94439.3,89732.1,84961,79220.3
 71.0,0,0,998906,428862,346630,305991,281995,251320,234374,213699,196086,180565,166165,157156,142277,133482,125335,115780,109405,103255,94085.4,89697.8,84379.7
 73.7,0,0,964512,452994,366276,323460,299496,269379,246779,225769,210893,192690,178508,166867,154877,147139,133977,124852,117139,110728,102161,95382,90665.8
 76.4,5.17477,0,1.02688e+006,475509,385103,348054,316944,290104,267873,241062,223394,210414,193900,179352,168678,158061,147367,140597,128209,122551,113579,109230,104117
 79.1,0,0,1.15348e+006,494473,406000,368525,338220,306777,285671,265119,242031,228964,208481,190769,181498,173544,161861,156245,143891,133923,125337,119592,111070
 82.0,0,0,1.17701e+006,503361,427429,389140,362073,327698,307823,282778,260663,240846,228114,212358,197917,187597,174923,167886,157078,145788,137970,129914,120751
 85.1,0,0,934775,502618,447679,400892,373944,347372,322517,299545,278068,261573,240246,227724,210962,201177,186514,179389,165850,158575,150436,143544,133719
 88.2,0,0,631424,505780,470056,421865,394244,363716,344015,317690,295843,278167,254504,244313,228536,213817,199229,192336,181663,169712,162315,156055,143907
 91.4,4.94117,0,383576,519549,486294,436096,409900,384734,359705,335841,309102,295178,269477,258662,241268,226353,215418,203122,191291,186370,172227,165221,156181
 94.7,0,5.61637,227509,530959,505794,457877,425849,400093,378782,351257,330142,308125,289501,273426,250538,240727,232189,217626,205919,194631,183969,176245,166590
 98.2,4.80514,0,159009,543733,509228,469524,441295,414304,392360,368317,346579,326391,302335,286699,269660,253895,242302,233734,214971,208029,198223,189175,177082
101.8,0,0,227565,551657,523231,486124,462141,428528,406110,377873,358102,337613,315709,301499,280951,267156,256843,243774,228522,220968,211229,202072,191031
105.5,0,0,313844,569872,534466,500091,472224,443336,419115,397978,368702,353503,331865,312053,296683,278773,265824,256002,238661,229726,219927,212543,197896
109.4,0,0,251144,586625,538164,502821,478706,453455,433489,410286,383240,358926,344286,324412,305147,288233,277128,265634,249903,239216,227392,217337,206395
113.4,3.97924,0,133978,602291,547944,510473,486978,458989,438562,415286,387547,369945,348321,334837,316347,299422,286975,277278,263743,246351,239058,226818,218087
117.6,0,0,102494,596000,548094,510383,493387,465800,447017,418812,396024,376668,359568,342079,323300,305159,295259,277900,271621,253114,245474,231062,226888
121.9,0,5.34025,119709,600081,550224,511326,495097,473372,454665,422879,406292,384946,366900,348976,332147,317147,299529,288514,278781,259810,251864,241950,232689
126.3,0,3.7985,131759,604585,545534,513898,498345,471155,453644,430507,408242,383372,373268,353897,338091,321628,305592,296230,286408,269306,259194,246410,236886
131.0,5.2273,0,169562,597316,541219,513155,495278,467926,453669,428804,406929,391989,375148,359314,343563,329667,312731,301449,289185,273551,263317,251370,241922
135.8,0,0,284179,589545,530346,506795,490343,466153,448873,428712,404700,387702,376423,355930,341771,331108,313250,302170,292715,279210,270953,256069,246955
140.7,5.34796,0,411766,570874,526150,502464,482922,461126,445116,422906,407452,389497,372603,355929,345478,329708,318704,304293,297527,281510,274009,258759,252508
145.9,0,0,443298,553747,512203,488658,472377,451958,435145,418728,402856,382970,372508,353517,342308,329327,316285,303979,296689,285377,275058,261107,254952
151.2,0,4.74,418515,529946,494357,469134,459551,441752,424295,405781,393896,375872,363826,349453,339236,326264,313930,302258,290488,283694,271419,259624,252860
156.8,0,5.00012,393238,503738,480137,454105,443395,427968,413725,395311,380261,364447,355496,343499,332796,319241,309308,296651,290281,278641,267221,254486,251081
162.5,5.37699,0,379372,475346,457866,436524,426139,410841,396189,381111,370522,358782,341603,332800,325526,312416,300479,289164,282400,269314,260191,253535,246631
168.5,0,0,425200,443395,431143,410342,405804,390655,373698,366785,357153,341294,330460,318934,312648,301103,292288,281678,275855,264266,253570,244827,242669
174.7,5.43262,0,515444,416009,403227,390376,382065,370749,357819,346671,339176,322621,318116,305821,304837,289611,280042,271483,266246,255685,247485,238046,234133
181.1,0,0,570227,383789,373080,365347,356718,346766,335363,328666,319665,310040,302752,290605,287386,278694,268692,261123,253739,245105,236607,231232,224121
187.7,16.4737,0,561041,351019,347656,336146,331883,324096,312640,304894,298504,290949,279618,271902,270926,260784,253919,247014,241604,232056,226116,216589,211543
194.6,0,4.42891,501774,316880,312618,304835,304583,297150,287165,278261,273530,270318,263644,255936,249209,241180,235774,227378,224483,218560,212417,203618,198532
201.7,0,0,424908,281908,281040,274023,273146,268099,263606,259070,252616,245311,240432,236615,231671,224223,218940,211106,210088,203031,192160,189851,185710
209.1,0,0,359983,248986,251452,244138,245654,242511,238295,233128,228895,222454,218530,214600,207332,204787,199452,192981,191602,184756,180593,174685,171901
216.7,0,0,293925,219361,221142,217039,214261,215846,209209,208277,203472,201029,195579,193913,190053,185217,178713,173819,173686,169591,162294,160116,155132
224.7,0,0,231932,186447,192304,189547,189830,187250,187310,182549,181999,179177,175611,171522,170139,164328,160929,156314,155764,149491,145777,143235,143217
232.9,0,0,188617,159501,165061,165114,164745,162687,161810,159605,157026,157399,153519,150387,147623,144506,141861,137825,136860,133755,129220,125671,126279
241.4,0,0,167753,136413,140555,142312,140617,140687,141151,136929,136960,136198,132690,131166,128828,127321,124791,122150,118711,117972,113670,112330,110117
250.3,0,0,150248,114995,118149,119555,118937,118184,117073,116759,116746,115458,114015,111105,111679,107896,106586,105043,101721,103782,100201,96595.5,94579.4
259.5,0,0,131754,93398.3,97059.7,97927.4,98219,98997.3,99160.3,96000.4,98246.3,95968.3,95979.9,94831.9,94028.8,90515.1,89974.5,87843.1,87911.7,87821.8,85652.2,81261.3,82359.5
269.0,0,0,112328,75966.1,78521.4,79552.4,80913.9,81648.4,80361.3,80782,80926.4,81737.6,80762.9,78703.2,79444.1,74984,75519.7,74347.2,72355.8,72346.5,70796.1,67571.6,68147.2
278.8,0,0,92430.5,60218.5,64120.4,64334.7,63915.1,64382.2,65862.9,64878.8,67036,66582.1,65421.3,64197.1,64411.2,63222.1,61360.5,60267.5,61534,59764,57309.6,56436.5,55934.4
289.0,0,0,72292.4,47228,50395.2,51489.8,52044.1,52376.7,52759.4,53819.7,53257.4,53128.2,52697.8,50794,52313.1,51534.5,49887.9,49774.4,49209.6,48830.1,46666.2,46106,44930.2
299.6,0,0,54140.4,36595.8,39727.4,39870.1,41390.7,41311.7,41145.4,41072.7,41467.6,41753.4,42701.2,40634,42157.2,40482.7,39130.6,39596,38156.3,38871.2,36986.7,37400.1,36889.5
310.6,0,0,38434.5,28646.5,29285.2,30947.1,31048.8,31795.6,32027.5,32446.9,31438.4,31520.4,33097.2,32250.2,33080.6,31468.8,30911.1,30067,30724.6,31632.6,29474.8,29395.3,28868
