Relative Humidity (%),18.3,16.9,15.7,14.7,13.9,13.2,12.5,12.0,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.4,9.2,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.7
Mean Free Path (m),8.49661e-008,8.49661e-008,8.49661e-008,8.49661e-008,8.50026e-008,8.49661e-008,8.48966e-008,8.50026e-008,8.50026e-008,8.51089e-008,8.51089e-008,8.51788e-008,8.51788e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.54998e-008,8.56073e-008,8.55705e-008,8.56783e-008,8.56783e-008,8.56783e-008,8.57863e-008,8.57863e-008,8.57863e-008,8.58946e-008,8.58946e-008,8.58946e-008,8.58946e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005
Diameter Midpoint (nm)
 37.2,0.000,0.000,0.000,79361.753,47938.349,32795.947,24428.817,18575.574,12962.619,10509.129,8437.545,6319.332,5545.586,3948.925,3332.809,2884.680,2061.283,1837.731,1535.649,1336.056,1298.133,994.017,909.125,916.171,864.962,724.531,653.565,604.309,504.365
 38.5,0.000,0.000,0.000,85072.391,52258.012,36746.705,28709.894,20632.538,15393.476,12447.606,9852.786,7448.004,6154.196,4965.019,4303.415,3617.656,2937.849,2307.566,2104.599,1813.986,1474.201,1312.133,1035.583,954.318,1175.722,988.669,843.510,745.947,748.262
 40.0,0.000,0.000,0.000,93234.766,58375.991,41006.574,31233.740,23992.359,18454.774,14050.926,11756.759,8465.859,7516.997,5971.761,5030.986,4092.949,3318.527,2935.848,2561.803,2178.148,1676.666,1639.780,1279.998,1103.580,1403.730,1110.479,989.133,841.914,799.154
 41.4,0.000,0.000,0.000,101940.674,65089.002,46032.281,36042.243,27246.926,21054.823,16353.053,13690.580,10890.508,8893.717,7096.716,6167.325,4668.928,4072.457,3453.115,3123.202,2595.255,2220.364,1996.597,1697.365,1348.853,1538.777,1388.219,1400.759,1014.096,1127.566
 42.9,0.000,0.000,0.000,110566.055,70117.145,50157.470,40328.779,31650.575,23665.259,18887.441,15340.936,12536.393,10012.722,8577.465,6834.222,5824.683,4677.553,4154.086,3492.674,2837.271,2672.917,2285.712,1930.090,1736.622,2142.812,1836.092,1569.559,1450.330,1172.739
 44.5,0.000,0.000,0.000,118527.978,78248.935,57637.097,44557.612,35361.664,27008.181,21408.175,17653.705,14473.699,11444.706,10134.529,7929.273,6796.552,5970.348,4987.669,4280.332,3621.902,3058.435,3049.043,2346.200,2107.496,2793.368,2132.454,1826.156,1846.146,1561.154
 46.1,0.000,0.000,0.000,128538.124,84433.952,62523.144,51037.175,39869.396,32141.204,25087.870,19959.788,16753.005,13578.396,11693.780,9415.937,8045.073,7197.084,5887.267,4897.963,4344.608,3828.799,3757.871,2985.328,2626.158,3076.945,2660.525,2287.347,2176.062,1987.623
 47.8,0.000,0.000,0.000,134631.870,92937.095,70931.318,56217.337,44542.460,35631.996,28489.391,23948.468,19798.839,16508.572,14118.945,11228.520,9690.642,8478.156,7407.597,6232.815,5259.454,4933.007,4405.209,3706.670,3305.408,3592.113,3367.916,3017.671,2799.890,2646.300
 49.6,0.000,0.000,0.000,144602.195,102278.221,78492.161,63005.345,51205.016,41299.279,34105.403,27747.486,23277.706,19453.094,16967.522,14348.801,11613.006,10518.649,9141.236,7529.059,6961.966,6011.673,5771.075,4698.711,4400.979,4747.932,4317.356,4270.965,3731.413,3329.987
 51.4,0.000,0.000,0.000,156984.776,113472.438,87752.899,71060.392,58831.298,46583.252,39288.768,31534.237,27855.408,22888.888,18589.409,17103.111,14492.466,12673.513,10499.534,9453.165,8094.638,7321.678,6785.945,5856.738,5246.685,5879.193,5311.441,5071.804,4644.395,4188.212
