Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230514_ozonecheck_nodryercomp.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23
Start Time,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Diameter Midpoint
478.3,145.85,183.883,184.379,173.117,204.646,228.42,180.377,238.17
495.8,122.949,87.2094,160.289,183.343,116.153,98.6446,105.251,102.934
514.0,67.1569,61.6858,86.9453,69.3685,63.8973,64.2454,127.795,53.3071
532.8,53.1888,48.8766,25.8504,57.3758,57.3758,65.1688,25.1444,37.2497
552.3,12.1549,0,33.3817,25.1166,41.3254,33.0603,41.3254,20.42
572.5,12.5699,21.0217,16.5749,29.1448,0,8.45177,8.45177,8.45177
593.5,12.9797,4.39948,8.58027,12.9797,0,0,0,0
615.3,0,0,0,0,0,0,0,0
637.8,0,0,0,0,0,0,0,0
661.2,0,0,0,0,0,0,0,0
685.4,0,0,0,0,0,0,0,0
710.5,0,0,0,0,0,0,0,0
Scan Up Time(s),155,155,155,155,155,155,155,155
Retrace Time(s),10,10,10,10,10,10,10,10
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228
High Voltage,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79
Lower Size(nm),15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394
Density(g/cc),1,1,1,1,1,1,1,1
Title,,,,,,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
tf(s),5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527
D50(nm),593.091,593.091,593.091,593.091,593.091,593.091,593.091,593.091
Median(nm),133.794,134.826,135.582,135.921,136.982,137.014,137.65,138.555
Mean(nm),143.247,144.3,144.957,145.437,146.534,146.813,147.179,148.01
Geo. Mean(nm),130.291,131.312,131.923,132.407,133.456,133.735,134.058,134.861
Mode(nm),145.902,145.902,145.902,145.902,145.902,140.746,156.788,151.247
Geo. Std. Dev.,1.56097,1.55927,1.5591,1.55695,1.55578,1.55494,1.5554,1.5545
Total Concentration(#/cm³),51041.4,48448.7,45859.1,43526,41571.1,39613.3,37488.7,35485.4
Comment,,,,,,,,
