Relative Humidity (%),28.1,25.3,23.1,21.1,19.5,18.1,17.0,15.9,15.1,14.3,13.7,13.1,12.6,12.2,11.8,11.4,11.1,10.9,10.6,10.4,10.2,10.1,9.9,12.4,18.7,24.7,30.1
Mean Free Path (m),8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.46087e-008,8.45722e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.47142e-008,8.46087e-008,8.47142e-008,8.47142e-008,8.47142e-008,8.47142e-008
Gas Viscosity (Pa*s),1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 57.3,0.000,0.000,578231.242,142334.772,111260.467,93851.541,81813.860,70257.131,61749.670,56135.277,50558.474,44215.416,40403.883,37068.773,32735.428,30079.037,27813.526,25679.673,22270.559,20538.152,19107.503,16948.958,20251.306,19788.099,18025.257,17316.340,15657.198
 59.4,0.000,0.000,460427.554,152493.906,118265.280,101361.404,90557.859,76484.681,67872.581,63915.928,55909.071,49648.469,45368.381,41416.529,37548.730,33758.596,31839.174,28821.650,26238.920,24029.332,22480.597,20004.294,23260.476,22539.271,21050.060,19709.429,17968.043
 61.5,0.000,0.000,369267.984,160723.516,126730.861,110819.743,96071.166,84052.202,75349.506,68174.797,61820.209,54572.998,50183.597,46586.354,41631.598,37319.233,35156.705,32298.535,30100.069,28240.854,25672.476,23457.410,27153.125,26141.846,24701.480,22840.348,22546.618
 63.8,0.000,0.000,306468.023,175995.357,135466.371,122110.811,107141.590,91522.016,82307.113,75693.303,69559.560,61313.772,57032.431,52140.370,47098.004,43795.555,41220.555,36965.977,34480.339,31147.387,28836.632,27585.272,30991.845,29449.716,27746.158,26843.164,25168.171
 66.1,0.000,0.000,261621.189,187102.487,147390.709,131730.290,115152.929,100803.408,89344.295,84468.654,77367.281,67917.245,62046.075,57778.637,52256.888,49570.573,46068.032,41055.390,38613.028,35690.831,33186.276,30318.871,34916.377,33080.768,31913.203,30457.372,29631.544
 68.5,0.000,0.000,232536.145,197312.180,160555.934,141656.650,122571.287,110855.257,98185.876,90647.307,84471.914,74163.509,68618.232,62576.182,58912.645,55204.110,50979.211,45739.898,43712.674,39154.576,36803.618,35251.225,40159.854,37938.721,36306.626,35318.063,32898.178
 71.0,0.000,0.000,204481.280,199139.815,160528.297,143444.685,128266.059,112222.844,101151.943,92016.840,83727.117,76373.384,71236.849,65952.440,58767.702,56913.043,52396.957,47773.179,43730.541,40449.018,37467.900,34716.568,40905.842,38598.902,36039.718,35487.544,34506.855
 73.7,0.000,0.000,173501.360,201430.270,168730.065,144593.745,128146.174,115754.094,103389.009,96819.499,86518.121,79406.850,72589.709,65851.490,59739.285,57466.118,53142.317,48304.780,46623.102,41935.923,38256.957,35258.036,41299.381,38829.427,38341.094,36701.859,35375.333
 76.4,4.291,3.962,147643.193,207267.448,177353.673,154988.313,136230.702,122854.972,112752.100,102665.398,95337.946,84257.580,80764.511,72814.445,65783.605,62809.028,57409.524,52789.450,50655.258,46457.073,43551.093,40515.212,45833.026,44644.146,41073.364,40449.198,38781.871
 79.1,4.031,0.617,123118.512,213744.631,187823.711,162721.957,148568.426,133811.524,120776.912,111399.775,101299.995,93219.933,87652.012,78751.206,72838.909,67711.216,63059.481,58790.471,54452.622,51087.742,48184.685,44850.326,50128.413,48131.746,47709.507,45656.726,42438.351
