Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Diameter Midpoint
 51.4,0,0,0,406106,295790,240986,197465,164657,141976,124149,103716,90191.9,79704.5,71201.4,64484.3,56976.9,50967.6,47338.6,43203,38492.8,34246.4,32331.8,29406,26183.7,24407.4,22755.9,20590.5,19161.6,18164.6
 53.3,0,0,0,431301,318597,256806,213992,177951,155036,133863,116689,101018,88430.9,81097.7,70680.5,64332.9,56711.7,51388.5,48141.8,42157.6,39865.1,36172.2,33322,30343.4,27342.2,27016.7,24370.6,22844.8,21094.4
 55.2,0,0,376037,455914,339429,274698,224952,194620,168698,147745,127573,110234,100379,90022.8,78736.2,71114.4,65162.7,57284.8,51111.3,48060.8,45422.4,40564.6,38060.3,33949.2,32451.5,30298.9,27192.7,25259.4,23785.8
 57.3,0,0,1.27586e+006,487089,355997,293359,246306,209796,179648,158554,140479,119960,106766,98988.5,87802.4,77209.2,72039.4,65041.5,59626.8,53051.2,51372.6,46201.6,41133.9,39009.4,37099.2,33913.9,31302.8,29042.9,26513.7
 59.4,0,0,2.3721e+006,509322,380351,318011,263004,225336,195692,173000,152607,133922,118722,107144,96282,86350.4,80086.8,72190.3,65126.5,60808.7,55375.3,50064.6,47218.1,44148,40786.9,38942.3,34878.2,32151.7,29836.3
 61.5,0,0,3.39784e+006,535179,400631,332573,286923,243947,211163,186117,162718,145221,129598,116320,105270,94658,85831.5,82575.2,74242.6,66525.1,61448,56255.3,53067.5,49801.7,45413.3,43486.6,39923.4,37290.5,34198
 63.8,0,0,4.59259e+006,558474,420345,352107,298337,253920,227156,200878,177941,155541,139551,127437,116287,103371,96963.6,86306.8,81587.7,73374.8,69689.2,63170.2,57280.1,53920.3,50948.8,49355.5,45326.3,40966.7,39581.6
 66.1,0,0,4.93977e+006,587679,444049,368151,316832,269823,237753,213937,188707,167012,152703,138863,124637,113886,105490,93941.1,90006.3,81711.6,74980.5,68319.2,63705,57439.4,55359.5,50738,48651.8,46091.5,42681.1
 68.5,0,0,4.61354e+006,612619,461829,389121,337334,289511,252229,224940,204126,179422,160649,147038,134657,122534,113457,103510,96463.8,86866.6,82530,75757.2,69624.6,64258.9,60868.3,57464.2,53675.6,50182.3,46478.2
 71.0,0,0,4.47085e+006,614995,469467,398311,347914,297021,262250,233922,210772,187595,168635,150967,140257,127586,118900,109256,99965.5,93078,82868.1,78263.4,72835.9,68868,65515.3,59909.2,57028.3,52976.4,49644.5
