Start Time,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00,13:48:00,13:51:00,13:54:00,13:57:01,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00
Diameter Midpoint
 51.4,0,0,0,0,0,0,0,4.62962,0,0,7.16003,0,0,0,0,0,0,0,0,0,7.54647,0,0,0,7.28986,7.21706,0,513074,381160,284108,217960,170866,136159,109507,91196.1,74767.7,64545.4,55210,48191.1,40777.1,35064.6,29967.8,26395.1,23295.2,21574.1,20453.7,18128.2,15302.9,14648.5,13355,12481.6,10904.1
 53.3,0,0,0,7.0625,0,0,14.7193,0,0,0,14.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607988,397717,301426,230777,185017,149165,120116,100685,83991,70319.3,62797,52930.3,46881.4,39827.2,35662.1,31740.9,28259.3,26105.4,22523.1,20251.4,19502,16382.7,15792,13686.9,13060.1
 55.2,7.18168,0,7.18168,0,0,14.1672,0,0,0,0,14.0129,0,0,0,6.91767,0,7.18168,0,0,0,7.18168,0,0,0,0,0,0,666191,419115,317728,249093,195762,157535,134460,109103,93702.3,80052.7,68308.8,58372.8,52456.7,45170.1,40142.3,37654.1,32561.2,30084.6,25694.8,23508.9,22130.1,19418.9,17770.5,15680.1,14300.6
 57.3,35.0597,7.01194,6.70836,13.6011,6.82119,0,0,6.74239,0,7.01194,0,0,7.01194,0,0,7.01194,6.66532,0,0,0,0,0,21.0358,0,0,6.49384,6.00187,767959,439394,328993,265076,214590,171819,145882,123806,102960,86833.8,77655.1,67043.8,58786.2,52434,46605,41051.7,37936.5,33800.4,30639.5,27211.8,25757.2,22516.3,20703.3,19232.3,17528.3
 59.4,0,6.84993,5.6738,0,6.33707,0,5.72004,0,0,0,0,6.84993,6.02953,0,0,0,0,0,0,0,0,0,3.60214,0,0,0,102.246,824165,461280,352229,284405,229223,188896,158647,132072,114730,100546,85146.1,76999.8,66204.9,58673,51938.6,47794.3,43480.5,37296.2,35748.1,31805.7,27987,26204.5,23873.8,22422.8,20654.9
 61.5,0,6.69517,5.92529,0,5.87258,0,5.84901,0,0,0,0,0,0,0,0,0,0,6.69517,0,0,6.4419,0,3.17441,0,0,0,13.3903,835884,481892,370959,299797,245091,204374,172165,148301,127264,109015,94200.9,84330.2,74332.4,67590.2,58667.6,55144.2,49162.2,44471.7,40300.4,36701.9,32838.5,30214.3,26727,25486.9,23907.6
 63.8,0,6.54942,0,6.44907,0,6.54942,0,0,0,5.7237,0,0,0,0,0,0,0,0,0,0,0,13.0988,0,0,0,0,0,871145,503509,385024,319750,266085,214868,188457,160420,138372,120016,103835,91035.8,82951.2,73630.8,65179.3,60021.1,54048,50066.3,46636.9,40399,37296.8,35336.8,31505.7,29170.8,29012.7
 66.1,2.53959,6.41701,4.90521,5.77133,0,6.41701,0,0,0,0,0,0,0,3.91671,0,6.41701,0,0,0,2.9664,0,0,6.41701,0,0,0,38.355,946732,523110,413201,339276,280648,235671,203697,173753,151069,133562,116266,103855,89299.3,82681,73811.6,69309.2,61894.9,56656.9,51622.5,46410.8,43758.9,39730.8,36019.6,34014.7,32736
 68.5,7.91174,0,5.88661,0,5.68514,4.14758,0,0,6.19711,0,12.6442,0,3.52399,0,0,4.92974,0,5.70768,5.78897,3.39958,0,0,6.32211,0,0,0,63.2211,961392,545006,438338,359364,302188,253348,219680,190179,168387,145590,129871,115931,102285,92117.2,85754,76014.8,69898,64980.7,58117.1,53738.3,50038.4,45233,41032.8,37770.1,36600.2
 71.0,5.98359,0,3.99337,6.11322,0,5.90704,1.73475,12.0325,6.1988,4.19915,0,0,5.6614,0,6.04817,0,0,0,12.2199,0,0,0,0,0,5.54179,0,5.9714,937269,562642,447123,373873,304303,261778,227525,190572,171849,150105,134915,119307,106863,98385.3,87877.4,80746.1,72723.4,67119.3,59460.9,57297.7,50865.3,47927.8,44011.2,39919.6,38010.9
 73.7,5.56888,0,11.1549,0,5.96326,0,2.65125,0,6.0327,0,0,0,5.63715,0,0,0,0,6.097,0,0,0,0,5.40891,5.97499,0,6.11064,0,955945,575527,460579,383888,320588,272373,237982,208447,182941,160690,140956,130304,115845,103367,95318.1,88185.4,77235.3,72700.3,63941,59795.2,54698.4,49048.5,47238.1,43360,41482.1
 76.4,5.88707,3.34298,0,5.62921,5.68998,0,0,11.4627,0,0,5.99278,0,5.64009,0,4.95548,5.85098,0,0,0,0,0,5.8269,0.590155,5.9758,3.97937,0,5.37961,1.03775e+006,611302,483163,399940,338413,285914,250287,218970,194254,166975,150828,140935,127295,113652,103766,95632.1,87896.4,78520.4,73100,67342.9,62697.5,56866.6,52520.1,47853.9,44608.6
 79.1,0,0,0,0,5.73632,2.90553,0,11.4614,5.50273,0,0,0,0,0,5.16987,4.58799,0,0,0,0,0,0,0,5.59644,2.87721,0,16.4086,1.10516e+006,624815,504904,419504,358129,308024,269864,233768,209225,186245,166218,147664,134901,124401,112413,103961,95496.8,86532.5,79005.9,73078.5,68536.8,63406.5,59155.9,54102.9,50437.1
 82.0,0,0,0,0,3.92028,0.586494,5.53333,5.53969,0,0,4.30106,0,0,0,0,0,0,0,0,4.40935,0,0,0,0,2.38534,0,0,1.17798e+006,638023,523780,434955,372861,328676,284948,253350,227077,198305,175106,162539,146783,133388,121638,113934,103280,94937.6,88364.6,80819.2,73739.3,69802.6,64659.6,61181.5,56702.5
 85.1,0,0,3.31778,4.62026,0,0,0,0,5.55204,0,0,0,0,0,0,0,3.78818,5.54681,5.52467,11.0459,0,0,0,0,0,5.66221,11.0388,1.20617e+006,662040,539815,449940,393069,344663,302331,266848,241080,216084,188324,175022,157435,143877,133395,122828,109942,105101,96575.2,86702.4,82031.2,77216.2,71940.2,66055,62401.6
 88.2,0,0,10.0217,0,5.0143,5.02511,11.0471,0,0,10.9505,0,0,8.02119,0,0,3.69227,11.2358,0,11.0236,0,0,0,0,0,4.29517,0,0,1.25525e+006,679894,561215,478405,410902,364636,316026,278712,253438,228580,201738,187153,172266,155513,143325,133158,120049,114656,103207,95478.7,91320.5,82567.9,77261.9,72073.9,69264.4
 91.4,0,0,3.07705,2.71162,5.3653,0,3.37003,5.5972,5.06369,4.57914,4.02676,3.56269,0,0,10.2157,5.63498,0,0,0,0,2.21531,0,0,0,0,0,0,1.26367e+006,692348,586444,502575,428189,378449,330914,294100,267006,241806,219059,194887,184345,166190,156199,143368,131271,118886,110822,105598,97479.6,92001.9,84270.9,80099.7,75647.6
 94.7,0,0,0,0,0,0,1.95469,0,5.25694,5.16482,0,0,11.2168,9.19018,5.23483,0,0,0,0,0,0,0,0,0,0,5.58074,4.68061,1.22202e+006,719818,603730,517253,441181,394156,343696,307858,282041,251411,228950,210730,193762,175896,166242,150878,141083,130113,118502,113046,106416,96746.1,91397.7,85781.9,78396
 98.2,3.02445,0,10.7129,4.57544,0,0,4.70194,1.12584,4.99282,0,0,0,0,15.6714,0,0,13.1709,0,0,0,4.68528,0,0,0,0,0,0,1.24501e+006,744069,625732,534941,458327,406128,359820,318987,298577,264466,238272,222543,206716,186612,177773,162433,150480,137273,130806,121270,112355,104080,97927.2,90660.7,87236.5
101.8,11.0765,0,1.06845,0,4.06834,13.8888,15.2882,0,0,4.95566,0,5.52532,17.8716,0,7.84037,8.89307,6.42832,3.92439,3.4052,0,4.9429,4.97861,0,0,7.79544,5.38,0,1.30847e+006,762878,635667,541842,476539,419886,371260,336367,306477,274435,252808,231130,216395,200044,182545,172985,159154,146539,137340,129319,119585,110363,104179,100411,94277.3
105.5,0,0,11.4447,0.205293,4.91056,0.140705,5.30627,1.86755,0,10.6694,0,0,1.30476,6.12152,0,4.4449,4.89323,0,0,0,0,5.02646,0,0,2.4037,0,0,1.27343e+006,766386,642935,553122,493617,434050,387321,346553,319792,284466,259494,242919,226516,200049,192959,181354,169873,156027,147272,135879,128337,118990,111624,105764,99120.4
109.4,2.77503,3.67119,0,0,0,0,0,1.53798,0,0,9.68053,0,2.15057,3.75186,0,0,0,0,0,0,0,2.99929,0,0,0,0,0,1.21519e+006,776872,654164,562701,502268,446421,389893,359874,326788,296438,273028,252101,238480,216967,201309,191567,175708,163940,152839,142908,135006,125901,119161,109269,104759
113.4,0,12.9943,14.505,0,0,8.4004,4.74908,0,9.69304,2.7315,0,3.9709,1.61218,0,4.75214,0,3.88597,5.287,15.3488,0,0,0,0,0,9.47396,0,2.64412,1.17026e+006,778395,672258,578502,507551,457133,398851,368690,337199,305131,283478,258468,246858,226128,210581,198157,184403,172689,158959,148754,138883,133033,122596,119555,112268
117.6,0,5.90436,1.40794,2.10817,0,0,1.4301,0,0,4.69991,0,0,0,0,1.59181,5.38974,0,0,5.11156,0,0,0,2.61317,0,0,3.79262,7.18703,1.09964e+006,784614,669286,585843,510599,461966,409034,375816,344667,314164,292380,271636,253996,229557,219505,205637,188416,179890,167886,158314,148089,138087,128383,120814,114438
121.9,5.34137,10.0463,0,2.79824,6.14392,7.44321,0,0.747041,10.4223,4.48091,5.14635,5.37351,0,2.50431,0,0,0,0,5.05378,5.22372,0,15.8985,0,0,0,3.17045,0,1.03081e+006,784848,675203,590309,516862,470103,421930,379687,347368,315519,297456,277725,263148,241243,227303,215950,196790,185109,174580,163801,151711,144076,134408,128141,122560
126.3,1.18574,7.21706,10.1142,5.35734,14.4016,17.7146,6.85316,0,0,0,5.28229,0,0,3.27367,3.45451,0,10.7235,0,0,0,0,3.43681,0,4.31728,8.93539,0,1.57863,962682,782890,672539,592261,520530,474484,427546,390756,355741,325907,302107,284250,271921,248662,234445,221857,204908,194371,181747,172333,161042,149529,140012,135312,127807
131.0,6.74962,2.32636,2.4926,0,1.81191,2.94774,0,0,3.62523,0,0,15.1593,15.296,0,2.69093,10.2866,0,0,0,4.48522,0,13.761,0,0,5.34849,2.0929,0,903036,773904,670762,597198,522822,472493,427795,393198,359425,325738,309125,287904,274578,254921,236186,223725,210123,198623,187118,176141,165923,154158,144051,138370,131188
135.8,0,0,9.27586,2.44465,0,0,0,0,0,3.43777,7.39902,8.50151,0,0,0,0,0,0,5.28892,0,8.94429,0,0,0,5.25108,0,11.2746,862699,765006,662543,586674,528184,473138,435283,395281,358339,333296,311140,291278,277681,261390,240276,230217,213734,200300,193505,180730,166570,158981,151662,144333,133548
140.7,0,5.0745,5.30836,22.8649,2.96157,14.9985,19.5289,0,2.60821,0,3.70822,5.04442,0,5.29129,0,0,0,0,0,0,0,4.57508,0,5.15583,0,0,1.02149,827757,748721,650537,579376,522459,474173,432515,390420,362716,334350,314968,294791,280874,262669,246175,233292,216954,205934,196990,183628,171297,162129,155196,146299,139103
145.9,4.33436,0,2.30563,5.80064,9.41271,0,0,18.2083,0,3.03103,0,3.73924,0,0,0,3.00254,0,0,0,0,0,4.26674,2.06013,0,4.72832,0,0,809370,734249,637840,563526,515387,469519,429385,388970,360594,337380,314213,297376,284685,265177,248149,235795,216736,210073,197547,186847,175656,166245,158416,148217,144762
