Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230514_ozonecheck_nodryercomp.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023
Start Time,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Sample Temp (C),22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.4,81.4,81.4,81.4
Relative Humidity (%),8.3,8.7,8.8,8.8,8.7,8.7,8.6,8.5
Mean Free Path (m),8.33270e-008,8.33270e-008,8.32911e-008,8.32911e-008,8.33934e-008,8.33934e-008,8.33934e-008,8.34294e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005
Diameter Midpoint (nm)
241.4,83401.714,77831.039,73815.024,70706.238,65492.089,62579.369,59140.407,56596.078
250.3,76592.396,70726.809,68151.926,63991.595,60319.812,57885.230,54607.215,51868.139
259.5,69402.927,63904.165,63037.842,57620.805,55602.492,53252.736,50021.460,47842.109
269.0,61552.131,57702.606,55421.754,51885.876,49585.905,47514.920,45679.457,42401.703
278.8,53992.147,50684.921,48279.443,46116.052,42843.681,42013.287,39360.545,37403.706
289.0,46529.853,43320.440,41686.996,40333.083,38300.797,36368.414,34282.590,32364.248
299.6,39144.249,36897.531,35112.859,33562.054,32093.522,30719.436,28817.729,27620.588
310.6,32443.954,30859.614,29778.755,27584.778,26948.706,26037.227,24437.702,23619.237
322.0,26629.663,25085.320,23701.351,22855.287,21916.565,21214.602,20042.743,19409.674
333.8,21074.737,19938.590,19501.618,18100.106,17791.134,17501.555,16087.053,15673.593
346.0,16478.421,15518.149,15084.809,14208.621,14004.176,13318.859,12659.402,11968.145
358.7,12665.123,11752.149,11294.439,11038.346,10761.983,10430.837,9761.416,9664.008
371.8,9332.666,8595.832,8332.588,8222.561,8068.123,7589.398,7455.185,7004.599
385.4,6995.782,6401.658,6284.665,5818.200,6018.093,5725.862,5386.738,5238.797
399.5,5010.190,4716.948,4613.934,4077.639,4256.720,4127.875,3736.809,3926.773
414.2,3476.619,3196.210,3112.309,3049.152,3061.245,2948.867,2778.070,2634.396
429.4,2479.557,2153.893,2073.938,2089.395,2078.643,1942.834,1902.256,1957.420
445.1,1434.303,1467.047,1333.129,1399.959,1280.989,1339.966,1298.840,1290.478
461.4,1054.264,995.233,902.913,951.326,872.111,927.498,837.516,745.968
478.3,654.821,623.986,572.146,517.652,606.240,646.386,544.833,578.461
495.8,363.573,398.617,418.681,354.113,346.258,397.916,337.866,354.454
514.0,240.200,243.901,262.403,208.976,217.160,208.039,229.164,234.810
532.8,164.583,143.284,136.580,116.981,119.446,146.301,131.679,128.365
552.3,79.776,60.914,116.587,94.762,103.472,103.034,90.526,93.573
572.5,50.053,68.823,71.457,56.099,42.661,42.564,36.997,30.774
593.5,47.538,15.846,22.183,37.888,29.078,38.456,28.109,34.295
615.3,22.634,29.101,12.933,22.549,22.449,16.006,28.679,19.085
637.8,19.803,0.000,9.901,16.440,16.367,19.605,16.263,12.987
661.2,20.078,13.385,13.384,3.334,9.957,3.313,0.000,13.168
685.4,10.255,6.837,0.000,0.000,10.171,10.153,0.000,3.363
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.10,1.10,1.10,1.10,1.11,1.11,1.11,1.12
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),11.29,11.21,11.21,11.21,11.20,11.20,11.20,11.20
High Voltage (V),9161.04,9225.27,9223.67,9223.67,9220.20,9218.73,9218.15,9218.29
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51
tf (s),6.06,6.06,6.06,6.05,6.04,6.04,6.03,6.03
D50 (nm),687.4,687.4,687.3,685.9,684.0,683.3,681.6,681.0
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),172.328,172.828,173.659,173.938,174.499,174.720,175.076,175.516
Mean (nm),178.974,179.278,180.102,180.419,181.105,181.713,181.804,182.306
Geo. Mean (nm),165.137,165.441,166.203,166.596,167.205,167.824,167.919,168.440
Mode (nm),187.688,187.688,187.688,187.688,187.688,187.688,194.564,187.688
Geo. Std. Dev.,1.516,1.517,1.517,1.514,1.515,1.514,1.513,1.511
Total Conc. (#/cm³),4.607170e+004,4.310674e+004,4.049199e+004,3.818786e+004,3.602479e+004,3.411038e+004,3.211369e+004,3.046111e+004
Title,,,,,,,,
User Name,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB,VANCELAB
Sample ID,,,,,,,,
Instrument ID,,,,,,,,
Lab ID,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,
