Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01
Sample Temp (C),22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.0,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.6
Relative Humidity (%),16.9,16.4,16.1,15.8,15.6,15.4,15.2,15.1,15.0,14.9,14.8,14.8,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.6
Mean Free Path (m),8.39906e-008,8.39906e-008,8.39906e-008,8.39906e-008,8.39545e-008,8.39545e-008,8.39545e-008,8.39184e-008,8.39184e-008,8.39184e-008,8.40220e-008,8.40220e-008,8.39859e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.43301e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005
Diameter Midpoint (nm)
 38.5,3.396,3.443,0.000,3.551,0.000,115887.833,77914.689,52057.722,37228.632,25366.694,18211.397,14341.521,11259.659,8466.220,6239.837,5539.604,3965.223,3459.451,2602.426,2399.089,1943.443,1749.921,1212.265,1097.065
 40.0,0.000,0.000,0.000,0.000,0.000,122143.968,83789.383,56463.028,39789.124,28588.995,20682.585,16202.486,12057.680,10142.050,7543.309,6010.733,5235.650,4112.654,3519.833,2815.503,2333.740,1993.624,1713.178,1591.660
 41.4,3.191,0.000,0.000,0.000,0.000,128982.270,88876.389,60887.271,44953.004,32781.531,23414.109,18168.311,13913.031,11488.749,9053.500,7410.404,5831.624,5105.632,4150.078,3333.240,2909.492,2503.093,2053.602,1795.025
 42.9,0.000,0.000,6.474,0.000,0.000,133981.783,95654.573,65762.147,48012.882,36339.176,26334.762,21246.957,16519.524,12721.855,10494.240,8559.217,6797.020,5855.870,4812.019,3953.464,3480.383,2902.762,2483.846,2200.639
 44.5,2.494,2.989,0.000,2.815,0.000,141518.207,100478.115,72754.839,52096.247,39629.759,29398.776,23503.556,19106.945,15250.111,11906.258,9763.341,8376.901,6381.355,6138.380,4506.050,4163.046,3536.697,3144.470,2440.761
 46.1,0.000,0.000,0.000,3.072,0.000,149616.017,107112.268,78248.544,58296.741,45185.534,33696.187,26038.782,20574.337,17862.902,13868.141,11287.499,9555.806,7893.764,6521.286,5393.757,4782.225,4439.854,3577.227,3081.226
 47.8,0.000,0.000,0.000,5.853,59594.578,158005.968,114300.107,83658.772,63602.738,48700.427,38536.019,29760.186,23110.062,20441.190,16181.124,13614.460,11157.362,9076.629,7454.843,6841.190,6164.199,5121.166,4627.051,3695.785
 49.6,0.000,0.000,0.000,0.000,163218.405,169092.430,119942.276,93304.109,72063.494,55514.777,43661.392,34573.583,27280.952,23482.075,19099.063,15926.119,13450.096,11434.401,9232.517,8217.283,7584.481,6203.783,5583.689,5053.929
 51.4,0.000,0.000,0.000,0.000,286014.319,179741.501,131517.402,100771.664,79454.593,62303.595,48963.129,39496.022,31437.637,26826.208,22882.115,18651.567,16039.236,13635.751,11594.724,10090.358,9121.056,7676.256,6743.856,6001.404
 53.3,0.000,0.000,0.000,0.000,403120.044,192700.824,139987.321,110812.932,87899.491,69119.061,54665.495,45046.468,35739.887,30585.929,25082.473,22237.234,19032.737,15463.623,13729.230,11961.868,10586.518,9356.684,8152.708,7092.749
 55.2,2.512,0.000,0.000,0.000,551330.302,205169.679,153656.918,122310.586,97110.510,75853.953,60659.817,51075.268,40825.791,34457.383,29671.848,24669.489,21293.318,18423.895,15936.092,13957.245,13391.739,10884.727,10173.489,8717.987
 57.3,0.000,5.320,0.000,0.000,647302.266,214074.228,165953.293,130420.869,105996.967,85811.565,66802.539,55434.711,45875.675,40343.244,32175.649,27763.009,24494.878,20393.841,18836.696,15933.620,14780.209,12764.355,11655.204,9902.041
 59.4,2.357,0.000,2.607,0.000,641440.292,230487.481,178367.932,142413.816,114823.884,92193.350,75021.825,64111.169,52920.026,43819.473,36884.798,32725.071,28519.158,23526.597,21182.674,18335.696,17154.992,15162.696,13852.486,12033.660
 61.5,0.000,0.000,0.000,2.561,567849.994,242803.436,194626.069,153721.157,125215.132,100393.047,83188.821,70845.243,58874.659,50917.346,42163.885,36601.029,33084.972,27149.413,23639.851,21545.762,18589.962,17291.417,15946.932,13905.147
 63.8,7.105,2.289,0.000,5.025,420036.255,260794.020,206663.594,166219.297,135670.965,111588.010,92275.758,78057.754,66095.141,55860.633,48117.583,41850.511,35917.972,31456.217,27374.826,24965.767,22192.271,20035.469,18517.114,16479.785
 66.1,4.745,0.000,0.000,0.000,277089.953,278460.532,222255.479,183120.700,146707.329,122034.491,102829.574,87161.729,74587.667,63328.356,54674.380,48016.906,41040.214,36269.777,31920.159,28084.358,25510.270,23102.697,21013.086,19058.879
 68.5,2.194,0.000,2.416,0.000,162826.845,292476.238,234962.841,192502.902,158095.027,132835.614,109585.314,96142.061,82359.457,69503.846,60221.262,53632.597,46343.695,40979.930,35541.246,31456.106,29170.825,26504.546,23440.092,21527.219
 71.0,4.412,2.381,1.934,2.300,59101.282,297030.910,234800.898,197062.584,159202.819,131919.810,110806.289,95777.622,83464.402,69334.033,61505.186,54649.121,45320.887,41997.487,36615.122,32017.201,29428.293,26584.842,23990.939,21930.384
 73.7,4.255,3.841,0.000,2.250,13088.566,295054.364,241557.087,196435.632,161356.877,132920.502,111538.999,98753.175,86850.563,72865.812,64593.612,56045.938,45289.080,42631.399,37475.039,32708.998,28838.286,26986.289,24893.189,21957.449
 76.4,6.367,1.355,0.000,0.000,53811.699,311912.011,251806.831,207511.519,170133.780,139790.175,120936.957,104362.339,93106.773,79650.375,69115.070,58670.574,50072.254,46673.771,40874.418,35521.757,31546.740,28903.512,27348.366,25127.423
 79.1,1.408,0.000,0.000,0.000,147852.501,329350.097,264373.798,219101.270,179492.644,150236.930,129226.758,111342.434,95553.080,84826.697,76023.953,65594.919,54582.062,51244.275,45019.481,38939.679,35215.443,32674.746,29791.056,26365.225
 82.0,1.299,0.000,0.000,2.159,270876.689,345471.603,275518.164,231519.097,194147.688,161539.999,142203.467,124329.650,105261.273,93094.939,84680.808,70510.283,58814.019,56339.664,48763.736,41203.941,38640.789,34792.780,32580.663,28455.543
