Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230530_2.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Date,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23
Start Time,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00
Diameter Midpoint
 53.3,0,0,0,137226,272691,218627,183410,154482,134380,115698,100207,86578.5,76528,69208.5,62529.4,55159.7,50357.9,46480.3,41293.8,37755,36509,33018.7,32317.8,29403.9,26937.3,25014.3,23437,21432.8,20949.1,20059.5,18851.6,17340.8,16013.3,16644.5,15117.4,14568.7,12854.8,12942.5,12415.5,11498.9,10658.6,10423.7
 55.2,0,0,0,169891,271392,223922,188929,160029,140971,119408,103786,93328.5,82789.5,73135.3,65791.4,59046.1,52088.2,48527.2,44486.6,43195.3,39913.2,35948.3,34697.1,32512.3,29135.3,28527.3,26716.8,24685.1,23154.9,22609.5,19446.9,19609.1,18485,17591.2,16630.2,16282,14956.4,14754.8,13223.1,12700.5,12760.1,11953.9
 57.3,0,0,0,190109,264861,225154,191530,163952,146506,125479,108874,97490.4,87005.4,78417.6,70261.4,63119.4,56519.2,52086,49389,45738.3,43598.8,39621.1,37981.3,35626,32153.9,30767.1,28923.3,26611.4,26411.9,24265.9,23038.3,21554,20153.6,18701.2,18644.8,18600.8,16362.7,16563.5,15687,14619.5,13899.3,13951.5
 59.4,0,0,0,228130,271827,230334,197284,170980,147932,133015,113699,104993,93544.9,82546.4,74746.5,67710.8,63000.1,57236.2,53099.2,49044,46170.2,42315.2,41914.8,38999.1,34681.3,32049.2,31790.6,29508.1,28850.3,27100.6,26055,23953.1,22206.3,21390.6,20636.7,19651.8,18797,19026.4,17721.7,16566.5,15705.6,15717.7
 61.5,0,0,0,260205,269834,232164,199449,176651,155862,137585,121829,109616,96939.8,87448.9,79030.4,73388.3,68780.7,61113.3,56398.7,55363.5,50835.6,47053.9,45676.2,42046.5,40181.1,37430.7,34992.1,32707.2,31494.5,30766.1,27923.5,27465.6,25569.6,23960,22829.1,22647.2,20992,20996.5,19640.7,18965.8,18278.4,17515.4
 63.8,0,0,0,289246,270905,237846,204103,181067,160094,144627,129372,115419,104240,93827.8,85184.3,78122.8,72259.2,67083,62785.9,58934.5,56352.4,51940.5,48180.5,45742.8,43142.2,40342.8,38657.3,36881.1,35224.6,32256.1,30680.8,30099.9,28684.4,27630.5,26080.2,25049.3,23950.8,22942,22003.3,20852.9,19862.3,18362.5
 66.1,0,0,0,315661,273848,240564,210892,187215,163988,149264,130493,119879,110975,99013.9,90866.2,84376.6,78666.5,71793.9,67130.6,63267,57715.9,55694.1,53147.7,50736.2,46912.1,43573,41992,39365.9,38455.3,37102.6,35356.7,33516.9,31400.4,30265.2,29179.9,27440.1,25410.5,26046.8,23664.2,22411.9,22243,21493.4
 68.5,0,0,0,360673,276262,244011,218320,191674,173247,159355,139947,127831,115890,106199,96978.7,88756,85061.8,78355.1,72924.6,67280,66272.5,61460.9,57689.6,56268.3,53060.5,47525.7,45936.5,45324.4,42013.3,40024.8,38394,35831.8,35516.7,32922.7,32278.8,30482.7,29677.6,29145.5,27270.8,26455.4,24672.9,23040.8
 71.0,0,0,0,413320,272800,242068,213300,193213,174117,159487,141221,130335,117308,107595,98203.3,91600.3,83825.2,80108.5,74675.7,70127.1,66930.1,62955.6,60640.3,56348.7,54425.3,51285.9,48658.6,46132.9,42603.3,42113.3,39920.2,38701.2,34986.8,33951.5,33711.4,32117,30759.9,29917.6,28596,26840,26394.3,25719.6
 73.7,0,0,0,456077,267993,244776,216835,196087,172667,160412,145465,134269,121871,109762,102941,94253.3,88919.5,81803.5,76813.6,73290.8,69061.5,65961.2,62154.1,60609.8,55270.8,53836,50311.2,47352,45385.9,44491.1,43009.9,40267.6,37177.6,36225.6,36025.4,34820.1,32237.4,31526.8,29676.7,28566.6,27618.3,27308.1
 76.4,0,0,0,478572,274043,245854,222931,199042,179626,163713,152852,138469,128480,115794,106927,101589,93466.6,87151.2,82396.3,81048.1,74587.7,69921.4,68394,64451,60299.3,57954.8,55327.1,52500.4,49460.9,48256.7,46206.4,41890.1,39840.6,40176.4,38820.5,37858.9,34493.3,33268.3,32334.2,32739.6,31332.6,28326.2
