Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230417.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Date,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23
Start Time,11:50:00,11:53:01,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00
Diameter Midpoint
105.5,6.06935,0,1.61785,14.1005,1.13735e+006,915201,798268,693263,622827,544450,476951,420956,378221,335891,302858,274837,251532,223338
109.4,0,21.1781,7.16106,3.06266,1.19221e+006,941650,825852,723794,644045,563090,504434,448985,402381,358276,327090,290002,263800,242455
113.4,0,14.9345,3.12225,1.08549,1.24495e+006,980433,858422,757974,673894,586807,521524,468783,421567,376397,343595,313730,282902,257777
117.6,0,0,8.57557,9.32513,1.26282e+006,1.00296e+006,876667,781122,706025,613156,551786,494993,439943,394791,362586,329126,295880,273619
121.9,0,0,10.7921,10.5617,1.26348e+006,1.02966e+006,900046,799847,715111,628244,571701,515437,467687,415568,375114,344651,311088,285851
126.3,3.31033,14.5685,1.04209,8.7221,1.27184e+006,1.04707e+006,935419,822690,734046,656503,586480,531155,479225,430679,392406,358604,325696,297621
131.0,0,3.2182,8.51959,9.15337,1.28191e+006,1.05835e+006,940964,838901,736578,677676,601459,549863,490930,449758,407273,371925,339114,312461
135.8,0,0,4.23745,22.0787,1.28556e+006,1.06081e+006,939836,854889,766406,687175,617002,562156,510234,462731,421062,384536,349371,320030
140.7,0,4.01099,15.7457,5.47267,1.27953e+006,1.06081e+006,945755,859516,778004,693806,630166,571090,520425,473165,432186,398300,363775,329429
145.9,0,2.65331,1.99093,3.60258,1.26569e+006,1.05814e+006,951322,858457,776722,698619,637377,582075,528872,479117,437675,404816,370306,341642
151.2,0,3.90641,3.32406,0,1.23477e+006,1.02103e+006,938123,848750,774843,705574,633582,579936,530789,482737,444113,407622,377092,343229
156.8,4.69075,5.55305,10.2437,10.8871,1.19926e+006,1.01467e+006,920327,841745,767443,697820,635763,579783,527505,484375,442727,405010,373960,346082
162.5,22.0592,9.11558,0,8.42421,1.15523e+006,981253,893491,823001,752913,684903,625300,574290,523058,481171,438907,407133,374134,345794
168.5,0,0,3.11915,5.13781,1.08761e+006,946611,871579,792104,729668,670646,610524,560582,514094,474296,435003,401506,372441,342368
174.7,5.6219,2.9973,5.47238,13.7309,1.02785e+006,906328,820641,765529,706360,654358,586395,552967,501955,466149,428162,395139,366142,337361
181.1,5.63723,5.63718,5.13424,0.54043,962868,845538,787204,728228,671287,618762,566097,528294,485501,449334,412349,383130,352180,330835
187.7,11.3608,0,0.506774,0,898730,787125,741946,685520,638295,591193,544050,501195,461855,429086,396878,366768,341700,314837
194.6,5.69702,3.58974,11.3939,5.69707,822578,733609,691112,641469,593449,548958,510976,471885,433532,403139,374478,345390,322372,300143
201.7,9.98122,5.74211,4.23902,0,746068,669898,633891,588882,553156,506327,475941,440939,408101,381605,353498,324700,304214,284380
209.1,4.24607,5.7885,4.24602,0,665908,605890,577111,532745,498129,465444,440391,406493,374882,353119,324581,303168,284419,264364
216.7,0,5.12573,0,5.83624,588765,540151,514584,484537,450167,422929,400931,370398,344548,319598,297088,277593,261626,245134
224.7,5.88515,3.37003,5.8851,5.88519,516364,478804,456275,429572,401207,381482,359022,334621,308863,289867,271871,253138,233861,221928
232.9,0,5.93538,11.8707,0,443593,412423,398486,371512,352667,331289,314931,296506,275320,260302,240654,224700,210188,199466
241.4,0,0,0,6.01811,382583,351917,342598,324878,307749,289203,275635,259558,240902,226902,212890,197565,186083,177209
250.3,0,0,0,0,314899,297614,291349,278405,262064,248494,233951,221685,210911,193393,184815,170947,162541,154622
259.5,0,6.1267,7.22123,6.12676,257566,248417,241193,231574,220274,208865,199842,187767,178498,165268,159177,144772,138008,130793
269.0,0,0,5.10587,0,209785,200859,199777,191824,180208,173138,163948,157672,148992,140568,133130,124154,116205,110604
278.8,0,6.27516,0,6.49136,166997,160922,162226,155996,148086,140998,136876,129450,122041,114270,110163,101600,96881.3,91779.6
289.0,0,0,0,25.2118,130076,127107,127812,121597,117821,115591,109596,102238,98646.1,92668.3,87544.9,82889,77366.3,75452.6
299.6,0,0,0,6.4609,101757,99564.2,98588.5,95592.3,92575.8,87877.7,85667,82373.7,77695,72611.2,71383,66312.5,62446.6,60412.1
310.6,0,6.53041,0,0,76672.5,73776.1,75857,72039.5,70566.4,67617.4,65907.9,63309.6,61566.5,56504.4,54794,51867.2,48930.8,46795.9
322.0,0,0,0,0,56221.8,56127.6,56806.9,54123.3,52415.7,51932.2,50558.7,48096.1,45888.9,42951.5,41877.4,38348.3,36726.8,35233.6
333.8,6.75324,0,6.75323,0,40711.9,40360.4,41877.2,40592.5,39326.9,38242.4,37464.1,34592.3,34941.4,31660.7,31678.7,29867.1,28128.7,26809.5
346.0,0,0,0,0,29512.9,28951.7,28750.6,28875.7,28428.3,26427.7,27320.5,26088.8,25741.8,23235.4,23349,21915.3,20117.1,19486.3
