Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_dryeronwaterSMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00
Diameter Midpoint
145.9,105139,99217.2,95822.6,89774.9,87140.6,82435,79124.8,74826.3,72478.3,69757.2,65889.1,62665.5,60711.3,57917.9
151.2,103135,98104.8,94437.9,90009,86444.6,83692.3,78872.6,74711,71606.8,68346.8,64608.6,62259.4,59255.9,57246.5
156.8,102601,99028.5,93574.9,88698.3,86137.7,82151.4,78090.2,73199.7,70978.4,68287.2,63367,62620.3,59811.3,57135.6
162.5,101633,97302.5,93581.5,88251.5,85808.1,80719.1,76310.6,72654.8,70035,66880.1,64821.3,61614.8,59543.3,56314.5
168.5,101052,96993.9,89467.9,87293,83278.8,78849.5,75501.3,71953.8,68709.3,66061.2,64629,59214.5,59665.7,55528.3
174.7,96531.5,93281.3,88304,84009.8,81225.2,78410.9,74551.3,70541.4,67625.3,65061,61633,59907.5,58278,54422.7
181.1,94710.4,89837,84831.4,81720.9,77332.6,74835.2,71530.5,68786.2,65531.1,63232.7,61463.7,57513.6,54474,51829.8
187.7,89496.9,87891.2,82944.2,77297.3,74552.3,72098.4,68528.1,65815.3,61607.9,60976,58313.6,54986.7,53988.9,50307.4
194.6,84786.7,82110.7,77368.5,72887.1,70933.3,67826.8,65734.2,60422.1,59640.8,57521.3,54620.1,53800.6,50013.1,48125.6
201.7,80228.7,77432.5,72328,70773.1,66841.5,63512.7,61966.5,58099.9,55378.6,54253.6,51655,49344.1,47764.1,45058.4
209.1,74300.3,70757.8,68412.5,65565.3,62122.7,60112,57800,55071.5,51885.4,50379,48889,47015.7,44810.3,42581.4
