Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023
Start Time,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00
Sample Temp (C),22.8,22.8,22.8,22.8,22.8,22.7,22.7,22.6,22.6,22.6,22.5,22.5,22.4,22.4,22.3,22.3,22.3,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.2
Sample Pressure (kPa),79.3,79.3,79.3,79.3,79.3,79.4,79.3,79.3,79.2,79.2,79.2,79.1,79.0,78.9,78.8,78.8,78.6,78.6,78.5,78.4,78.4,78.3,78.2,78.2,78.2,78.2,78.2,78.1
Relative Humidity (%),9.2,9.0,8.9,8.9,8.8,8.7,8.7,8.6,8.6,8.5,8.5,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.1
Mean Free Path (m),8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.57520e-008,8.58601e-008,8.58232e-008,8.59316e-008,8.59316e-008,8.58946e-008,8.60032e-008,8.60751e-008,8.61842e-008,8.62564e-008,8.62564e-008,8.64759e-008,8.64386e-008,8.65487e-008,8.66218e-008,8.66218e-008,8.67324e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68808e-008,8.69920e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 37.2,5.676,17.874,2353352.978,207113.726,124127.142,82352.367,58025.561,41454.291,28406.219,21489.914,17312.300,13427.739,10532.764,8698.205,6506.735,5429.457,4494.468,3789.310,3078.156,2634.500,2149.934,1819.382,1806.900,1572.588,1343.386,1244.937,1060.319,877.746
 38.5,14.457,4.762,2150279.538,221424.716,135869.709,88411.354,62843.946,46093.825,33881.122,25634.379,20645.006,15512.270,12265.512,9514.127,8236.979,6680.243,5301.425,4732.601,3782.620,3195.290,2787.417,2367.388,1988.564,1780.284,1418.516,1571.524,1318.640,1036.223
 40.0,16.752,12.556,1872831.850,230665.629,145847.873,99464.988,69938.016,51427.814,36942.058,29153.731,23915.462,18566.761,13793.469,12063.230,9447.685,7414.737,6341.590,5305.284,4497.351,3924.928,3453.426,2839.871,2406.393,2274.904,2016.242,1876.507,1582.380,1331.551
 41.4,0.000,13.045,1639344.644,252239.405,156310.263,110050.046,74545.787,57137.952,43702.196,33319.550,26958.969,21111.506,16355.867,13109.243,11085.594,9111.777,7867.138,6277.585,5547.265,4799.690,4135.031,3561.351,3326.253,2849.172,2362.078,2140.184,1876.080,1807.888
 42.9,7.440,12.860,1379064.392,265689.104,167866.454,118420.268,85306.214,63765.276,49848.265,38208.194,31521.425,24045.473,18965.672,16526.335,12991.042,10021.155,9215.650,7686.044,6579.335,5539.602,4917.638,4356.752,3787.679,3321.392,2727.589,2695.534,2346.707,2133.934
 44.5,1.006,3.848,1143077.100,284828.783,181955.167,131458.224,95345.689,70260.683,55671.182,42898.238,34778.423,28073.716,22736.835,18506.477,14782.246,12797.367,10954.874,9150.861,7820.950,6763.877,6163.763,5372.357,4937.357,4123.745,3533.639,3134.280,3111.778,2447.780
 46.1,0.664,6.142,925904.033,300106.373,194072.827,144580.087,105621.534,80786.990,62576.519,48635.541,40869.618,31041.872,26686.302,21207.936,17424.000,14938.312,13072.045,10821.818,9304.626,8091.114,7374.976,6413.447,5347.275,5170.755,4729.897,3979.657,3754.336,3155.013
 47.8,7.490,5.520,730945.434,315207.301,211313.177,154547.536,118360.763,88179.303,69026.694,55549.790,45989.766,36854.192,29820.803,25667.448,21180.260,18193.220,14873.633,13050.335,11210.138,9370.321,8520.953,8067.484,6872.198,5893.899,5153.177,4970.163,4534.043,3963.164
 49.6,18.212,17.912,588061.445,348751.164,229882.971,168438.530,131970.803,99813.422,77901.271,65183.132,54323.256,42851.176,34325.883,28157.659,24613.082,21335.749,18168.490,16175.256,13665.541,12062.822,10950.739,9720.475,7817.282,7720.191,6966.048,6321.661,5976.205,5174.591
 51.4,13.506,8.559,488300.687,364707.863,243449.518,183663.698,143529.727,109222.372,87830.816,74560.162,61890.892,49914.840,41395.973,34230.611,29425.227,25406.830,21973.199,18661.686,16712.089,14335.703,13238.489,11317.763,10172.556,8816.943,8378.035,7866.995,7151.072,6114.868
