Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:01
Sample Temp (C),22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.4,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2
Sample Pressure (kPa),80.4,80.4,80.4,80.4,80.4,80.4,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.0,80.1,80.1,80.0,80.1,80.0,80.0,79.9,79.7,79.7,79.9,79.8,79.8,79.8,79.8
Relative Humidity (%),14.2,15.9,17.2,18.3,19.2,19.9,20.5,21.1,21.5,21.8,22.1,22.4,22.6,22.8,22.9,23.1,23.2,23.3,23.4,23.5,23.5,23.6,23.7,23.7,23.8,23.8,23.9,23.9
Mean Free Path (m),8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.47180e-008,8.47872e-008,8.50357e-008,8.48930e-008,8.48930e-008,8.49991e-008,8.48930e-008,8.49991e-008,8.49991e-008,8.50689e-008,8.52823e-008,8.52823e-008,8.50689e-008,8.51755e-008,8.51755e-008,8.51388e-008,8.51388e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 40.0,0.000,0.000,558927.886,743797.664,333514.544,171757.763,101091.126,63506.065,42534.293,30342.433,20748.485,15501.491,10806.980,7642.110,6138.025,4799.923,3501.964,2942.798,2110.606,1899.094,1453.501,1189.805,854.520,626.634,802.109,500.679,400.543,371.085
 41.4,0.000,0.000,490405.387,775891.641,359680.547,194211.242,112997.130,73038.754,49952.387,35422.479,24008.837,17926.638,13130.981,9447.256,7860.950,5983.994,4560.166,3942.341,2868.136,2324.605,1929.409,1571.876,1270.459,1081.847,739.654,681.433,659.278,507.933
 42.9,0.000,0.000,483728.929,784553.509,383591.761,210190.710,125375.921,81906.658,57385.491,40730.207,29153.931,21870.323,16058.773,11258.826,9499.802,7402.299,5647.653,4680.454,3722.600,2968.422,2496.161,2058.416,1741.010,1292.063,1145.799,842.634,836.396,730.113
 44.5,0.000,0.000,565268.202,805412.087,406681.957,225940.186,140206.073,91481.187,66055.825,44860.807,34254.142,25759.314,18456.061,13429.321,11459.116,9140.504,7247.131,6173.057,4508.932,4045.852,2873.573,2396.719,2205.947,1873.293,1338.956,1405.416,1066.944,905.465
 46.1,0.000,0.000,733301.221,820542.317,421259.492,242798.768,155430.665,102637.010,74397.774,51477.876,40738.174,30056.058,23307.259,16606.046,13437.515,11425.383,8183.616,7539.882,6237.209,5219.516,3668.488,3266.457,2654.636,2539.635,2225.098,1585.445,1304.430,1132.338
 47.8,0.000,0.000,917679.150,819741.840,442474.190,262535.918,172213.240,115285.013,83054.374,61781.323,48433.319,35138.396,26937.436,21016.341,16889.467,13712.650,10650.867,9593.883,7816.397,6325.832,5034.388,3758.400,3651.680,3566.786,2695.969,2350.479,2174.074,1610.939
 49.6,0.000,0.000,1062838.407,846010.254,466059.557,281897.758,187794.847,130025.136,96688.265,70575.544,55944.024,42002.339,32703.638,26996.540,21110.860,17651.642,14099.656,12960.879,10737.334,9170.262,7482.928,6208.916,5087.772,4968.642,4207.913,3907.554,2985.127,2902.349
 51.4,0.000,0.000,1194989.921,848238.740,498395.212,304205.238,205381.897,146063.019,108146.775,82364.166,64709.833,49858.862,38718.691,31443.566,25535.151,21815.232,17570.595,15348.555,13463.078,11484.008,9494.669,7577.827,7009.886,6699.288,5579.727,5561.366,4243.768,3885.303
 53.3,0.000,0.000,1320522.996,847096.526,507487.534,327976.314,219859.497,161539.610,120563.023,93064.181,73727.820,58463.769,45378.123,36507.568,30883.591,25326.690,21515.497,19790.907,15936.577,14238.506,12724.945,9761.457,8508.105,8523.750,6799.094,6131.896,5282.251,5282.748
 55.2,0.000,0.000,1440418.922,847459.503,529819.832,350223.496,240128.272,178084.047,131251.181,100540.389,83308.086,67159.425,51933.135,42810.105,35305.709,29565.629,25171.690,23149.245,19402.884,17360.353,15302.603,12689.065,10705.841,10375.842,9382.143,7998.944,7452.503,6620.115
