Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230531_comparison_nodryer_2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,15:54:00,15:57:00,16:00:00,16:03:00,16:06:00,16:09:00,16:12:00,16:15:00
Sample Temp (C),22.9,23.0,22.9,22.9,22.9,22.8,22.8,22.8
Sample Pressure (kPa),79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.4
Relative Humidity (%),6.9,6.8,6.8,6.7,6.6,6.6,6.5,6.5
Mean Free Path (m),8.58257e-008,8.58626e-008,8.58257e-008,8.58257e-008,8.58257e-008,8.58971e-008,8.58971e-008,8.57889e-008
Gas Viscosity (Pa*s),1.83197e-005,1.83245e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83149e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
259.5,22380.792,21530.169,19770.104,19774.181,19114.820,18130.740,17271.881,16651.518
269.0,19415.043,18494.376,17901.275,17256.483,17010.553,15869.547,15638.476,14723.153
278.8,16959.434,16507.879,15722.753,15536.697,14680.841,14445.724,13845.452,12827.419
289.0,14550.855,14065.152,13686.504,13198.443,12503.288,12455.169,12116.745,11438.011
299.6,12414.924,12055.802,11609.423,11248.488,10831.424,10671.022,10208.910,9351.703
310.6,10084.967,10141.020,9562.660,9272.117,8992.569,8976.885,8408.931,8306.005
322.0,8677.880,8235.167,7738.203,7497.764,7532.122,7037.189,6941.480,6633.692
333.8,6842.195,6685.686,6496.085,6086.440,5854.182,5841.650,5604.492,5395.599
346.0,5330.001,5301.546,5063.885,4809.417,4597.792,4758.054,4431.738,4157.489
358.7,4204.265,4117.818,4064.943,3820.803,3681.540,3599.866,3646.982,3248.531
371.8,3260.533,3211.142,2934.904,2898.738,2908.839,2759.613,2694.891,2596.462
385.4,2402.661,2343.381,2251.935,2135.754,2212.766,2077.845,1989.796,1933.494
399.5,1635.252,1665.669,1564.228,1584.187,1606.685,1402.195,1493.569,1456.678
414.2,1202.415,1195.632,1180.561,1159.361,1231.281,1101.610,1085.086,1067.022
429.4,930.710,819.162,799.719,811.727,771.424,853.235,870.491,664.734
445.1,560.050,624.902,547.773,554.077,608.453,473.382,562.140,508.745
461.4,447.794,420.749,408.550,385.361,346.233,388.575,425.919,360.656
478.3,284.706,352.610,247.154,246.457,292.556,257.775,247.909,243.322
495.8,142.557,161.350,142.704,130.327,135.588,167.922,156.138,160.236
514.0,91.748,121.972,133.252,93.642,94.830,83.584,93.197,97.549
532.8,65.460,62.480,76.178,77.043,52.706,67.837,75.446,56.350
552.3,32.165,32.598,58.897,51.290,34.916,56.454,27.266,40.610
572.5,27.061,21.655,21.836,30.073,27.150,24.668,21.945,32.648
593.5,5.513,16.552,16.592,22.158,14.108,13.884,8.337,27.786
