Relative Humidity (%),70.4,71.3,72.2,72.9,73.7,74.3,74.9,75.5,76.0,76.5,77.0,77.4,77.8,78.1,78.5,78.8,79.1,79.4,79.6,79.8,80.1,80.3,80.5,80.6,80.8,81.0,81.2
Mean Free Path (m),8.60729e-008,8.60729e-008,8.60729e-008,8.60729e-008,8.60010e-008,8.61100e-008,8.61100e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 41.4,51.634,495068.124,140170.037,110345.475,87202.732,70186.556,55321.726,44499.129,35606.671,30845.474,25643.112,22015.135,18804.514,15936.732,13675.460,12437.871,10380.375,9458.936,7945.010,6804.363,6312.952,5549.327,5035.279,4729.674,4407.756,3852.198,3421.117
 42.9,100.820,409394.087,146822.590,117499.197,91036.696,75483.144,60424.972,49732.996,40673.634,34201.920,29088.919,24966.832,20788.676,18370.709,16366.521,13928.794,12332.218,10738.878,9877.274,8646.212,7489.936,6959.224,6273.337,5784.939,4851.541,4642.199,4293.896
 44.5,111.595,289805.022,156094.777,124401.241,101414.039,81212.227,67435.250,55158.641,45650.017,38850.592,32555.794,27939.843,23862.363,20391.572,18518.501,16359.974,14220.995,12072.552,11168.642,9711.506,8833.102,7832.564,6838.641,6277.052,5796.244,5389.496,4838.843
 46.1,93.004,182932.520,165083.252,134583.136,109108.979,90371.980,72801.107,62496.642,50607.123,43555.676,36504.180,30548.743,27341.391,23617.698,20727.506,18712.210,16254.140,14180.235,12770.962,11397.415,9985.840,9383.633,8222.892,7663.052,6920.299,6494.788,5861.258
 47.8,128.306,106966.041,178634.671,143691.247,120174.310,98960.530,79249.479,68378.507,57864.017,48168.570,42220.529,35554.319,31596.843,26930.483,24266.506,21290.955,19348.869,16692.227,15285.876,13466.356,11922.692,11270.986,10014.841,8595.587,7957.062,7759.932,6570.395
 49.6,106.376,51907.668,193177.381,157831.658,131443.932,108819.823,91023.676,79109.218,64011.856,56063.786,47631.300,42056.756,36252.301,31635.403,27987.607,25989.246,22609.500,19526.246,17291.692,16173.685,14002.768,13264.531,11582.502,11095.426,10323.654,8911.864,8585.069
 51.4,141.775,27437.838,209749.077,172519.961,141875.377,119749.897,100750.030,87014.572,71829.252,63117.081,54333.334,46342.220,41339.685,36369.424,33124.055,28930.789,25666.714,22911.368,21347.801,19467.807,17059.642,15725.081,13664.407,13009.454,12545.959,11237.066,10473.988
 53.3,121.146,21395.258,222567.579,184711.368,156106.375,129730.043,109253.801,95961.420,79928.588,70203.793,59672.634,51564.744,46231.611,40909.720,37450.667,32767.811,29706.872,26224.815,23681.439,21939.783,19593.815,18068.015,16580.776,14569.460,14408.485,12723.395,11957.949
 55.2,145.941,32698.647,242263.530,201310.939,168191.426,144197.028,121565.586,105863.798,89006.405,78315.082,64912.234,59629.066,52748.389,47953.423,42072.838,37811.039,34565.898,30158.872,26134.781,25082.750,24129.982,20836.245,19348.452,17264.756,15869.053,14688.246,13458.279
 57.3,135.594,62279.078,260855.183,220447.791,183301.762,153360.886,134375.323,115116.821,98730.558,87690.019,75088.210,66932.228,59636.635,53100.625,46883.777,43042.030,38566.802,35395.024,31786.541,29320.306,27242.087,23838.876,22524.510,20429.944,18969.762,17511.685,16019.183
 59.4,128.765,91139.951,277759.936,239811.452,200549.831,171322.448,145733.243,125731.905,110878.695,95149.593,83976.369,75629.329,66883.095,60761.350,52091.940,47941.965,44744.647,40552.984,35324.503,33019.387,31192.197,27333.781,26214.222,23481.096,21946.419,18956.322,18398.339
 61.5,162.848,129166.668,305371.015,257159.546,214182.952,185405.826,161907.062,133857.441,122176.540,106705.751,93455.464,84921.492,73913.839,67629.022,59578.080,54716.528,50192.760,45174.672,41243.957,37353.983,35504.477,31124.043,29344.624,26528.227,25193.387,22914.792,20733.108
 63.8,150.444,203380.046,326948.511,276110.798,233640.471,202635.668,176117.542,151643.581,135987.558,118573.352,106192.403,94298.491,82817.969,75855.947,65529.323,60307.847,56330.552,52467.622,45930.812,42309.799,39282.985,34556.918,33192.256,30938.383,28412.992,25597.338,24410.044
 66.1,147.650,315686.698,347068.760,299901.347,255224.211,214885.945,193497.992,167383.771,150004.813,131200.984,115282.604,105912.670,91818.804,84788.525,73879.473,66632.782,62570.374,58302.261,52696.983,48176.149,45023.233,40534.720,38016.485,34602.032,31068.895,29680.037,26697.648
 68.5,166.655,442066.517,378926.457,320924.974,271338.769,236179.877,210745.711,182327.030,162598.663,144619.290,127768.320,117064.469,103679.281,92948.199,84558.892,74187.813,70388.930,64357.804,56898.681,53886.779,49393.673,45595.575,42941.788,39249.534,35481.109,33735.714,31195.984
 71.0,149.498,518357.998,385990.456,325412.055,278925.798,241573.565,214137.634,184990.221,166863.354,146635.781,130371.563,119699.372,105804.986,96728.781,86065.765,74452.628,70002.155,65780.737,58529.897,54286.027,49799.122,46338.014,44643.653,40762.332,35786.606,33744.157,31569.336
 73.7,186.475,560418.945,390383.576,336040.392,288392.489,242022.974,221918.992,190867.531,173313.501,149473.035,135833.410,122330.465,110074.712,99036.119,88827.685,79278.260,72688.319,68095.754,59671.546,57118.672,50753.232,48995.552,45137.631,41640.272,36347.618,35932.967,31938.069
 76.4,221.865,586004.315,428647.836,361887.753,302472.823,261997.506,237745.518,211168.963,187822.664,164135.592,151019.018,133770.852,119733.032,108871.294,96811.708,90413.480,81576.876,71200.853,68862.086,62535.414,57864.569,53966.785,50480.864,46166.736,40679.375,39325.926,36131.088
 79.1,174.946,594346.318,447238.715,383319.232,326085.514,286252.150,260051.420,222305.425,203223.514,179770.547,163146.310,144225.931,130002.150,120223.464,109532.017,98819.543,90237.003,82438.930,74971.885,68074.621,63250.348,58622.058,55222.095,51037.054,47139.446,43154.744,39200.902
 82.0,171.166,616946.054,478412.345,401293.282,352273.205,304679.592,276269.648,242169.351,216753.545,192900.859,179408.573,156701.208,140986.845,131950.924,119803.469,108122.923,99630.025,90056.942,83841.568,76439.593,68966.721,65844.623,60086.936,56939.428,51215.864,47237.526,44120.059
 85.1,163.926,679605.009,508423.155,434826.665,381079.194,331884.704,300771.285,266794.097,237604.919,215143.451,193315.247,170457.583,153252.336,144496.144,130710.343,118317.426,107858.714,96889.854,90427.465,84696.233,76598.227,71342.025,66406.928,61737.673,56417.011,53585.541,49571.204
 88.2,200.295,731827.160,540681.460,467422.571,411658.106,362910.298,322987.201,279054.273,257162.007,234308.712,208296.161,186399.997,168367.031,157186.243,142917.418,131017.698,118266.152,109308.019,101947.523,94124.386,82790.868,78779.561,73738.740,70431.050,63476.835,60974.701,54887.842
 91.4,167.506,753497.932,565996.280,493609.782,442594.197,389836.271,345182.114,302680.511,271919.142,255479.885,223815.247,202775.610,185711.546,171920.836,158227.203,143384.975,129772.446,120930.668,109073.088,102783.745,92893.407,85871.136,82368.035,76088.252,69334.032,66799.086,59546.360
 94.7,193.982,778344.205,595039.084,513648.222,470441.174,416892.922,369581.870,327288.316,296490.077,271166.322,240913.052,220485.516,201846.612,186796.713,173024.134,155471.288,137061.330,129906.949,119737.584,111649.112,103026.443,93304.919,90304.093,84755.801,75798.540,72334.693,66970.829
 98.2,209.043,778630.769,631983.925,551695.993,499135.779,443328.166,395959.772,349833.669,318312.671,293724.233,263257.169,237546.407,219239.462,201976.047,185614.450,171189.802,152772.531,139768.956,131588.885,123032.312,110047.937,104263.385,96786.455,92495.164,82836.983,79907.341,72510.416
101.8,187.802,796059.117,661949.339,582786.824,529368.355,470831.402,421613.061,377948.198,341622.125,313825.424,278100.337,260445.520,234973.499,216779.335,199928.692,185232.064,165997.330,154894.694,143945.597,132429.420,121507.481,113861.060,104912.512,99553.048,92594.873,87741.670,77979.803
105.5,159.051,806897.525,689510.148,607255.712,552597.713,494199.314,452830.550,405607.465,369542.369,330382.411,301170.947,273540.875,249570.201,232836.304,214185.800,197982.014,179445.631,167219.985,154999.008,145923.719,134657.830,125779.145,116252.413,106938.837,101112.309,95122.965,86384.043
109.4,145.209,813575.270,714533.256,644475.256,581070.961,520249.076,477996.809,430848.008,386341.401,354712.620,320914.169,292071.223,267819.136,247787.305,229180.843,211398.043,193989.434,179333.490,166398.215,156282.238,143911.950,134547.269,125279.207,117195.346,107221.870,101944.425,93406.501
113.4,162.246,840327.944,734665.936,667387.073,602270.313,542967.800,498332.303,449304.863,409356.184,372603.453,333581.613,311450.842,284351.983,260663.750,238919.484,224902.265,207202.737,194453.622,178186.419,165244.919,153150.386,142211.338,133987.175,123975.661,117204.176,109478.965,101059.023
117.6,201.489,861329.764,757950.281,685508.616,624205.714,563033.249,522310.431,469819.329,426845.429,390438.406,354611.293,330790.350,302552.579,274817.798,256318.700,238480.368,220181.213,204919.649,191562.702,178572.384,162677.482,152252.144,142391.736,132986.764,124262.903,117539.253,109477.377
121.9,167.643,884708.493,769741.240,697567.939,640990.147,578607.170,535742.431,485905.725,441996.135,406466.390,373547.532,345434.345,313377.791,290548.892,270979.621,250238.497,231480.154,213268.419,200247.789,186871.276,172243.466,160836.892,150815.654,139698.932,131777.455,123362.113,116200.808
126.3,161.542,902797.379,779557.675,713480.888,651620.587,596078.869,550526.194,498914.883,457929.085,420019.097,382715.150,356464.893,326093.350,303613.729,279937.031,261381.831,243617.360,225360.884,208669.733,197360.521,181741.712,168468.665,161340.935,148283.986,138767.818,130334.549,122727.303
131.0,162.173,915700.197,790122.075,716889.655,661136.238,606638.203,557609.412,510090.441,468194.771,433434.389,394616.006,368039.719,337648.086,315711.992,293657.161,271226.191,252651.911,235822.102,217627.011,203585.245,189145.099,178249.603,164791.438,153504.862,145233.736,134957.408,127901.310
135.8,155.579,918945.123,781087.855,713804.616,663025.502,613940.825,564972.284,515532.530,473776.904,438611.332,406800.386,374406.944,344233.636,321347.784,299480.286,279959.231,258558.215,243068.165,226629.642,213638.529,197926.070,184228.074,171258.787,159958.889,151787.816,141164.412,133053.361
140.7,180.275,909323.125,767528.856,707161.653,654683.836,610479.173,563878.856,518769.471,477535.183,439911.974,410665.100,383243.271,347991.203,328311.799,304391.212,285495.099,264268.932,246068.336,232106.764,216820.239,200433.142,188916.967,176549.650,165513.579,156615.036,144308.481,137380.510
145.9,154.334,897377.551,756976.240,699242.459,653373.103,601540.893,559237.534,514822.881,472685.211,443550.278,409918.952,381373.522,352420.108,330823.019,305438.131,287418.973,267861.364,250875.425,233306.485,221038.683,206531.512,192098.618,178779.039,167269.784,157164.181,147892.317,139696.784
151.2,124.143,878477.885,734572.544,687861.750,636904.828,590483.314,552853.420,511033.764,470641.245,440366.548,407065.877,382114.444,354508.179,331446.244,305860.768,287865.017,268702.437,252032.403,234768.944,221921.505,207462.371,193792.962,182003.015,171125.162,159147.281,151332.222,140485.602
156.8,120.349,860972.407,705489.033,661637.897,610052.651,571821.721,534559.867,496866.204,460932.372,431893.611,399317.641,377355.011,351111.920,325088.209,306691.962,288026.780,266963.919,250023.576,233069.227,220774.024,206399.494,189996.630,182763.441,171141.954,159079.019,148000.765,140430.967
162.5,139.199,838095.431,672650.612,626682.092,587254.632,548721.933,515535.901,477832.929,447537.907,420005.959,390991.704,366203.596,343141.201,317775.609,297907.379,281128.876,263590.362,247551.486,230952.699,217269.508,201155.468,188132.393,179791.446,168054.847,158320.576,148289.815,139488.617
168.5,105.907,789271.099,625635.393,586805.789,553801.232,520023.075,490080.947,458212.292,426252.112,401167.787,375594.612,353229.148,329779.980,309101.354,289895.167,270505.785,255753.904,239657.473,225288.728,205491.439,197142.980,186462.695,175255.583,164802.631,153842.419,146637.442,137540.750
