Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230508.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Date,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23
Start Time,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00
Diameter Midpoint
 59.4,0,0,0,0,0,429192,248636,190182,165429,141921,126780,111354,98415.8,88806,96360.7,82570.4,75843.9,70887.1,64768,58880.3,53718,48581.4,43607.3,39510.7,38009.1,40821.9,35886.6,34096.2,30824,28667.4,27417.4,25183.7,22948.5,22208.5,20833.9,19235.6,19214.3,19490.8,18295.5
 61.5,0,0,0,0,0,456943,266594,200876,174247,154074,137370,121453,106876,96437.5,104887,90546.7,82964.3,77047,70982.3,63805.8,59117.3,53342.6,48112.8,45321.9,42946.6,44965.8,41547.1,36815.3,36983.9,32157.3,31438.9,29141.6,27191.6,25105.3,23477.5,21013.7,22437.2,22449.3,20506.8
 63.8,0,0,0,0,0,471576,276165,212691,188291,162501,143225,127705,116731,104693,113990,97661.6,90057,83904,76193.9,70972.2,64817.6,60116.6,54270,49626.4,46103.6,50806.8,45808.6,42686.2,39574.3,36279.5,34651.6,31250.7,29985.7,28190.2,25858.9,23973.7,25791.8,25326.4,24386.7
 66.1,0,0,0,0,0,486522,288819,225658,198394,173967,154903,138644,124842,115314,123072,107842,96416.4,91341.1,83383.1,78816,69218.8,65204,59928,54754.5,52452.5,57377.9,50269,47640.7,45853.4,41451.2,38775.8,35807.9,33575.5,31708.5,28703.6,26982.4,29001.4,28156.9,27191.5
 68.5,0,0,0,0,6.60128,502580,302525,239574,210760,183479,163240,147078,135972,124743,129960,116007,106576,98606.9,93089.6,84885.3,79108.5,71614.5,66688.3,60863.1,57581.2,61190.9,55347,53193.6,50260.1,46935,43525.2,41332.2,37852.3,34854.4,33668.6,30588.5,33344.6,32219.8,30247.7
 71.0,0,0,6.46262,0,0,498906,305369,244602,214281,188572,170836,151186,140696,125593,136373,118027,110011,104789,97853.7,88966.9,80829.1,75596.9,67362.8,62526.5,60021.5,64251.2,57878.1,54664.7,51986.5,48960.1,45854.1,43710.4,40290.2,35829.8,34796.2,31395.6,34635,33133.1,32556.4
 73.7,0,0,0,0,12.7342,518006,310586,250996,225705,196324,165014,157555,143318,132497,143420,126119,117111,108894,101462,92831.7,86565.2,80806.7,72028.3,68935.1,65673.5,69634.2,61045.4,58867.6,56684.2,52348.4,48968.4,45702.4,43210.5,39307.7,38107.3,34104,36669.4,35109.6,33180
 76.4,0,0,0,0,0,546674,313008,261567,232948,210097,188755,168805,154521,136887,153077,134656,124763,116598,107953,102320,90900.1,87244.4,79549.2,74070.5,70018.7,74166.4,66628.5,63765.8,59011,56439.6,52982.4,49547.3,46431.2,44485,40114.2,37864,40334.8,38256.6,37394
 79.1,0,0,0,0,0,559794,324738,273025,242946,220081,197577,176523,163048,148868,163317,144435,133017,124753,117606,108160,98768.3,92684.7,86103.3,78993.1,76280.3,81375,74708.1,69185.6,65453.3,61311.3,58427.1,54108.4,51132.4,47704.7,44216.3,41442.9,45004.6,43387.8,40936.3
 82.0,6.07274,0,0,0,0,555694,332784,283595,250984,218093,207527,187055,173502,156234,172152,152383,142402,133609,123425,116702,107531,100119,92932.7,85916,82133.5,88056.6,81696.9,74595.3,71842.1,67439,64050.2,58311.1,56165.8,51343.5,48726,44671.4,49864.4,46510.5,45683.1
 85.1,0,0,5.71674,0,0,543550,338506,294207,260625,236697,214155,197394,179125,164488,181317,161867,152259,139643,132954,126411,114224,106321,97601.7,92561.4,86590.4,95218.2,86073.6,80972.9,77380.5,71970.6,69844.7,64022.7,61640,55719.6,52583.8,49256.3,52575.4,49464.4,50360.8
 88.2,0,4.99088,5.02989,0,0,524684,351194,304823,270370,244913,220721,206190,186932,173430,190331,167382,161600,150348,137007,130791,120546,114748,106839,100175,95333.1,100274,91463.7,88741.7,81947,79288.6,73740,70338.8,66849.5,60227.8,58216.2,53040.1,58362.3,55080,52409.6
 91.4,0,0,4.76384,0,0,517404,360738,317439,276026,253057,231166,211434,198020,180024,201859,176719,168960,150312,149081,141026,129266,119911,113340,103791,96646.3,106196,99053.1,91922.5,87628.9,84586.2,78844.5,75810.9,69387.4,65019.3,60761.8,57150.9,63218.7,58929.5,58112.4
 94.7,0,0,0,0,0,529508,368984,322449,284165,260382,242666,224628,206428,188458,208656,187935,176052,165805,155785,148451,138081,126782,116960,112642,104878,113843,104740,98999.7,93892.9,90632.9,84405.9,80798.3,73256.3,71717.9,64655.7,60994.7,66561.2,64545.5,62498.7
 98.2,5.69192,0,0,0,0,534118,374393,331652,289879,269151,248980,230817,215096,196421,218069,191572,185328,174106,162578,153117,143250,135763,126469,119096,109742,120497,109857,104836,98271.1,96541.5,90467.6,84333.7,79765.1,75838.9,72380.9,66617.8,72456.9,68039.4,66902.4
101.8,5.73904,5.73948,0,0,0,523317,385048,334806,300104,275679,259983,235889,219001,203714,228338,202124,193439,180871,170974,162625,150866,141714,132920,124322,118453,127106,118142,110195,105189,101397,96429.5,85908.1,86651.3,79746.6,75246.1,71337.2,75361.8,74660.2,72279.4
105.5,0,0,0,0,0,503167,393080,339969,305475,282425,263110,242052,226018,209571,233063,215000,200108,188145,177647,167486,159720,146309,140994,130868,123142,131805,124295,117852,110369,106210,100795,94565.6,90391.3,84293.8,79791.3,74459.1,80990.7,77367.8,73893.8
109.4,0,0,0,0,0,484292,403598,346916,304643,289158,266041,248649,231517,212713,241226,213745,204880,194998,186916,173011,163868,152108,145548,137242,127912,137126,130649,121900,114459,111531,106632,99873,94996.1,89891.7,81725.5,78717.2,85342.1,84038.3,77675.1
113.4,0,5.63111,0,0,0,472193,402831,349039,309521,288868,269105,249818,233246,218767,244304,222109,211571,200341,189511,180467,170306,158230,151063,140276,134004,144777,135750,127460,120200,113367,111188,105349,98948,93216.4,88470.4,80667.5,90461.7,88592.5,82856.2
117.6,0,0,0,0,0,452302,395778,347562,308344,290319,273178,255746,236159,220005,247448,213414,213625,201851,197142,183805,173980,162513,153134,143284,138847,151406,138488,131470,123302,119420,116661,109650,101961,96536.5,91209.8,83114.2,92209.3,91144.1,86953.3
121.9,0,0,0,0,0,425793,387360,345874,314546,290801,272701,258669,238993,227001,249714,231032,215870,207646,200871,186038,175353,165375,157906,147508,140930,154814,142700,135010,127856,123576,118534,112810,106630,98467,95651.4,87518.9,96408.7,94168.6,87742.1
126.3,0,0,0,0,0,416995,389175,342264,307610,290040,275369,254236,243456,225546,249825,229628,218830,211552,202768,190789,179610,171021,158109,150420,143734,155300,146634,138338,132433,126830,120560,115196,108158,102824,96079.4,90970.2,98081.3,95749.3,89249.3
131.0,0,5.54075,5.11544,0,0,411696,384828,336279,301774,282949,269410,251520,240628,225321,249618,231148,217848,211847,201623,191691,182866,171222,161837,152051,145407,157987,149254,141436,132452,127260,122923,118126,109737,105510,98976.9,91397.4,100882,98227.6,94670.5
135.8,0,0,0,0,0,402828,374910,326668,297894,279377,265638,251272,235685,224221,247665,229394,217714,212835,203194,191071,183971,171342,161010,152637,146849,158862,149376,145108,135040,128849,123169,117946,112346,106509,101567,91822.3,103082,100191,97202.8
140.7,5.53712,0,11.0745,4.65926,0,399260,367397,325920,292077,274614,260200,243034,234820,219398,246517,225230,218324,208891,199943,188778,181577,173867,161573,154225,145129,157854,148624,143850,135972,129813,126407,118976,113382,106696,102474,93177.9,104202,101796,97721.2
145.9,0,0,0,4.25451,0,387032,348604,310608,286623,265164,250996,239707,225796,213086,238971,223493,213486,207028,196841,188313,179879,170672,162032,152774,144814,156495,149895,142915,136246,130811,124416,117210,115055,107334,100674,93391.6,104116,101855,99261.6
151.2,0,0,0,0,0,356303,326660,293094,271645,253322,231350,230624,216940,206916,233377,216224,204500,201294,191599,182755,173912,166097,157380,148504,140957,154500,147327,137379,135088,126563,120584,116363,112429,106172,100580,92176,102876,100323,97300.3
156.8,0,0,3.8464,0,0,324524,305599,275805,255763,243161,231359,220842,209694,197806,218854,206374,197219,192166,186980,177503,170060,160532,150285,146489,136139,149792,143387,134211,129684,125264,120318,114456,110403,103439,97651,90238.2,101479,98501.8,95693.4
162.5,5.56223,5.56245,0,0,0,303765,287138,257668,239243,225215,217811,208494,195924,189209,208247,196420,187105,185724,178418,170333,162912,154751,143310,139638,130101,143541,137167,130510,125893,122453,115894,113304,105697,99710.3,94899.3,88863,98774.4,94946.4,92585.4
168.5,0,0,0,0,0,281667,262333,239050,223439,208791,202832,195169,185413,177368,192361,184051,178479,173737,167656,160647,152574,144607,137697,131706,125390,138563,130565,125213,119900,116142,111010,106262,101343,94905.8,90429.7,84730.9,94362.1,90747.9,89615.1
174.7,0,0,0,0,0,257665,239137,221803,202973,193247,188032,180448,171999,165861,183210,170799,165446,162891,157780,152051,143487,136194,129630,123669,117787,128971,123624,119156,112591,108789,104704,99965.3,98016.2,92881.4,87438.6,81811.1,90833.1,87479.8,84401.8
181.1,0,0,0,0,0,229008,214650,200789,185960,175602,170646,163599,156395,149317,166534,155954,151118,150498,143020,140836,132449,126048,120717,115469,109233,119037,116115,111188,105129,100440,98172.4,94080.6,90819.4,87861.5,81264,77155.6,84296.1,81548.6,78114
187.7,0,0,0,0,0,201147,191345,178444,166799,160373,153415,146264,141934,135647,151379,142731,138253,135406,126889,127832,119350,116121,110163,106497,99317.9,110663,104618,101250,98158.1,93785.5,89860.4,86877.7,82338.5,78540.9,74611.4,70744.8,77993,75182,74248.2
194.6,0,0,0,0,0,175782,165949,157949,147055,140226,135322,130010,125205,121632,134681,126161,125396,121323,118752,115558,107441,103447,98252.4,95327.4,91775.2,98546.7,96083.1,93303.4,88061.5,85981.5,81206.8,79607.4,75796,73104.2,68774.2,64589.9,70636.5,68491.6,67111.2
201.7,0,0,0,5.73795,5.73775,154508,142509,136875,128180,124232,119978,114889,109175,106821,117611,110599,108982,107388,105777,101745,94177.4,93408.5,89263.7,84136.1,79983.8,88730.6,85408.2,82763.6,79103.6,76405.7,73452,70863.3,68000.9,64678.4,61317.1,61381,63073.2,62099,61097
209.1,0,0,5.78422,0,0,134502,121313,118482,110312,105397,102885,98150.4,94855.9,93314.9,101392,96870.8,94203,94616.3,90791.6,87675.2,84574.7,81224.4,77492.7,75185.6,70808.2,76050,74136.8,71981.2,69411.7,67328.3,64282.2,62983.5,60432.6,57179.2,53763.3,59836.2,57515.6,55766.7,53720.9
