Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00
Sample Temp (C),22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2
Sample Pressure (kPa),79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.2,79.3,79.3,79.3,79.3
Relative Humidity (%),6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.0
Mean Free Path (m),8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57494e-008,8.57494e-008,8.57494e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.58207e-008,8.57125e-008,8.57125e-008,8.56756e-008,8.56756e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 41.4,1.862,4.900,4.717,285805.060,103358.989,68687.231,48729.509,35110.874,25596.596,19641.615,16080.974,11911.296,9839.052,7367.066,6756.759,5578.534,4479.439,3860.791,3173.527,2634.079,2214.761,1768.760,1592.217,1454.859,1369.778,960.952,1078.555,908.976
 42.9,10.928,4.748,7.826,202785.883,107001.894,74540.480,51970.228,38984.470,29181.391,22627.530,17612.255,13939.809,11522.976,8823.188,7856.022,6470.510,5477.271,4382.234,3966.374,3305.103,2696.285,2411.512,2109.216,1750.454,1671.013,1327.150,1119.858,1129.322
 44.5,7.246,14.337,7.713,144923.925,116713.813,79368.496,57392.818,42774.068,32233.423,25005.114,20321.103,14813.146,12887.317,10085.703,8495.027,7540.137,6285.509,5251.456,4337.350,3812.704,3445.378,2818.559,2463.352,2245.999,1976.750,1525.581,1637.361,1289.975
 46.1,3.911,2.796,4.319,101736.742,122356.930,85160.449,61252.374,47486.359,36782.320,28840.816,23007.628,18035.154,15269.456,12220.001,10251.787,8300.516,7679.719,6362.997,5742.358,4807.295,4033.713,3304.161,3227.978,2637.454,2685.011,1939.693,1987.854,1710.426
 47.8,3.610,1.100,4.184,78953.725,132096.651,92092.503,69751.708,52574.948,42037.803,32933.969,25988.098,21732.580,17331.669,15038.343,11633.556,10085.838,8935.316,7576.181,6703.048,5431.038,5010.577,4353.269,3841.218,3515.549,3298.370,2865.530,2514.834,2257.960
 49.6,3.128,8.592,6.194,70424.543,142135.727,100895.110,75948.512,58131.666,47612.670,38265.353,30831.381,24575.893,21618.564,17576.320,14602.142,12741.526,10748.292,9381.959,8246.790,7487.319,6598.423,5598.291,5262.099,4602.114,4018.065,3518.430,3432.762,3023.264
 51.4,2.302,8.139,11.617,73478.029,151790.522,112927.145,86741.341,66392.620,53541.243,43180.460,33574.887,29216.586,25101.983,20139.846,18097.145,14006.143,13312.534,11149.354,10132.286,9059.929,7676.619,6924.233,6523.781,5552.023,5329.595,4597.167,3888.540,4071.758
 53.3,14.108,6.359,18.428,74117.465,164131.422,121213.976,93634.282,72880.820,58923.136,49158.729,39623.853,33143.155,28839.750,23833.365,20119.948,17884.600,15079.394,13606.420,12069.241,10095.667,9324.824,8318.587,7343.533,6769.640,5956.144,5497.223,5170.725,4500.312
 55.2,16.661,17.754,4.175,77948.450,181556.425,130670.342,100447.747,82746.164,64672.773,55594.728,44578.169,37178.961,31886.402,26936.788,24046.642,21011.805,18463.149,15956.643,14435.189,12724.446,11001.045,10360.663,9069.438,8228.327,7553.738,7022.597,5894.172,5711.989
 57.3,16.619,12.657,12.769,89428.239,198548.325,144231.753,112797.968,91502.386,74189.805,60207.630,50728.540,43927.865,36689.386,30506.003,27447.244,24119.326,22192.427,19023.244,17482.233,14744.029,13878.485,12016.049,11058.457,9498.990,8965.694,8471.194,7087.236,6794.682
