Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230410.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:01,12:13:00,12:16:01,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:01,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00
Diameter Midpoint
 79.1,0,0,0,0,153818,98471.2,77693.5,64786.1,56156.8,48741.4,42030.8,36351.4,32600.5,28803.4,25469.9,23636.8,20168,19739,17768.5,16128,15055.8,13335.2,11912.3,10854.8
 82.0,0,0,0,0,150103,100811,81959.5,68073.3,57055.2,51741.3,45368.3,38736.7,32505.6,31077.8,27299.5,20556.9,23677.1,20709.6,18060.4,17253.1,16608.7,14217.2,12627.1,11708.7
 85.1,0,0,0,0,155814,103427,81609.7,69201.3,60119.4,53016.8,47285.3,41083.6,35473.4,33729,28878.7,27647.3,24484.5,22510.6,20686.7,19132,17479.6,15567,14534.2,13433.8
 88.2,0,0,0,5.76227,159406,107093,86013.1,71908.2,60457.3,56449.6,49463.6,43491.4,39743,35667.5,32024.5,29390.7,26395.6,25854.2,22402,21894.7,19164.3,18654.5,16305,15658
 91.4,0,0,0,0,164662,109128,87914.7,74514.3,63069.8,58976,52366.2,47564.6,41645.8,38320.4,34267.6,30805.8,28772.4,27417.4,24573.9,22933.7,20915.2,20320.6,17507,17631.3
 94.7,0,0,0,5.86022,173768,112523,91370.6,78304,68208.2,61618.9,56091.1,49860.9,44951.4,41969.7,37190.5,34202.5,30116,29620.3,26384.3,25424,24584.8,23484.1,19330.6,19085.8
 98.2,0,0,0,0,187560,116035,97490.1,83656.1,73200.4,67007.9,60056.2,52855.2,46546.3,43400.7,38924.2,37374,33176.7,31898.6,28957.1,26855.4,27473.8,25144.5,21145.5,20896.5
101.8,0,0,0,0,198533,120944,100875,86682.8,76393.2,70129.7,64365.2,57010.2,53753.2,48801.8,42095.8,42727.8,36799.8,35281.3,31783.7,30994.5,27938.8,25886.7,24123.5,22931.3
105.5,0,0,0,0,224779,128896,108265,91818.2,80346.1,75317,65288.4,60222,57464.4,53111.5,45466.2,44131.2,41216.6,39091.7,35387.1,33337.1,31792,29145.1,25824.6,25232.6
109.4,0,5.67221,0,0,239871,138732,113658,99417.6,84309.8,82029.5,71752.2,66621.5,59840.9,56963,50052.8,48365.2,45252.9,43693.9,37636.8,37094.9,36980.1,32327.2,28428.1,27649.9
