Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230323.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Date,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:01,11:48:00,11:51:00,11:54:00,11:57:00,12:00:00,12:03:00,12:06:00,12:09:00,12:12:00,12:15:00,12:18:00,12:21:00,12:24:00,12:27:00,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00
Diameter Midpoint
 40.0,0,889263,92766.8,59434.1,40323.8,27313.1,20167.4,15281.5,12088.5,10910.8,8933.06,6011.56,5143.92,4215.5,3600.24,3109.32,2604.49,1786.87,1779.28,1581.82,1472.44,1335.49,883.167,935.243,945.185,834.724,813.791,517.802,630.83,447.302,405.823,584.256,375.815,492.132,482.327,404.632,430.562,238.209,209.346,313.117,235.497
 41.4,0,554308,97987,63675.2,42826.9,31620.5,21607.4,16522.1,13109.7,12456.5,10216.8,7334.32,6659.61,5334.13,4383.34,3679.23,2888.32,2379.76,2377.63,1731.21,1729.73,1506.52,1193.6,1164.04,1339.86,1101.48,1068.82,768.554,688.369,824.637,697.531,499.871,484.429,557.802,587.482,516.808,512.503,382.305,292.297,364.61,305.558
 42.9,0,350873,102558,67846.6,46911.2,34152.7,25880.2,19102.9,14598.8,14845.2,12108.8,8974.96,7895.82,6279.72,5212.05,4401.26,3636.83,3049.27,2663.81,2437.58,2266.52,2023.66,1595.34,1602.25,1677.17,1546.09,1074.28,996.658,1012.67,951.459,912.089,713.479,642.695,670.899,779.761,551.93,493.565,540.095,369.087,501.333,430.777
 44.5,0,217347,105391,71956.2,50737.4,39031.7,28242.6,21417.6,17186.8,16781.5,13661.7,10591.8,9211.2,7192.81,6043.98,4890.37,4386.59,3906.39,3198.89,2981.95,2516.27,2555.54,2446.2,1780.02,1800.09,1649.99,1407,1262.06,1073.71,1065.04,958.449,882.114,852.162,838.65,832.168,804.667,659.346,793.64,572.769,521.493,563.14
 46.1,0,138411,113491,77889.6,55591.5,41823.5,31144.8,25353.4,20426.4,19118.9,16035.7,11824.1,10434.1,9027.15,8374.26,5835.65,5742.42,4541.43,3914.16,3388.92,3284.59,3116.44,2666.3,2561.23,2403.21,2124.9,1897.08,1757.85,1702.58,1616.04,1308.05,1345.23,1028.48,941.412,1078.17,988.172,848.225,843.201,819.529,700.323,678.513
 47.8,8.42427,90537.7,115323,81220.6,60618.3,45877.3,36206.5,29196.3,22946,22314.2,19018.4,14491.4,12370.3,10266.4,9008.43,7282.46,6914.19,5554,4763.25,4538.95,4143.62,3509.18,3360.06,2910.11,2932.87,2594.75,2339.09,1861.56,1953.79,1895.17,1504.25,1495.48,1603.73,1216.48,1498.89,1235.17,1141.36,1135.88,929.95,930.815,871.302
 49.6,0,62780.9,122502,87757.7,66654.3,50725.4,39264.8,32042.3,25420.3,26380.8,22345.9,16508.9,15276.3,11788.5,10310.6,9053,7518.94,6670.93,6495.72,5340.2,4967.72,4170.35,3964.48,3411.56,3793.75,3511.12,2997.43,2468,2300.81,2595.69,1692.88,1916.62,1692.08,1646.17,1801.77,1661.68,1563.05,1323.92,1343.67,1105.16,954.473
 51.4,0,47717.6,130960,96015.7,72566.6,56963.7,43792.7,36679.7,29338.1,29994.8,25078.8,18590.6,17316.6,15109.1,12704.8,10868.5,9332.52,8263.22,7097.09,6459.56,5790.74,5446.08,4851.01,4416.03,4168.06,4067.58,3547.39,3329.57,3256.21,2747.51,2662.15,2625.85,2216.74,2242.9,2493.68,1929.65,1831.84,1790.72,1529.77,1528.15,1470.07
 53.3,0,38825.4,138248,103055,77759,61384.5,49669.9,40362.7,34247,34086,28740.1,22647,20375.5,16799.5,14259.2,12434.5,10431,9568.76,8646.49,7605.56,6873.87,6348.48,5772.39,5344.11,5701.59,4717.51,4321.82,3975.49,3694.84,3418.12,3060.04,2961.98,2756.17,2502.63,2828.99,2608.77,2289.6,2159.25,1783.22,1817.95,1727.03
 55.2,0,38263.2,143274,108904,85701.5,68048.7,55312.6,45201.9,36806.1,38439.6,32416.3,25754,24039.6,19966.9,16697.9,15079.3,13252.9,11688.1,10217.3,9427.01,8604.16,8025.15,7411.03,6626.34,6812.52,6107.04,5492.83,4808.42,4239.88,4357.1,4098.88,3597.78,3437.35,3217.1,3390.01,2929.08,2988.63,2602.66,2276.11,2428.99,2046.27
