Sample #,1,2,3,4,5,6,7,8,9
Date,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022
Start Time,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:00
Sample Temp (C),24.8,24.9,24.9,24.9,24.9,24.8,25.0,25.0,24.9
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),35.0,35.2,35.3,35.4,35.6,35.6,35.6,35.6,35.6
Mean Free Path (m),8.44005e-008,8.44365e-008,8.44365e-008,8.44365e-008,8.45403e-008,8.45043e-008,8.45763e-008,8.45763e-008,8.45403e-008
Gas Viscosity (Pa*s),1.84103e-005,1.84151e-005,1.84151e-005,1.84151e-005,1.84151e-005,1.84103e-005,1.84198e-005,1.84198e-005,1.84151e-005
Diameter Midpoint (nm)
Low Voltage (V),10.29,10.29,10.29,10.29,10.28,10.28,10.28,10.28,10.28
High Voltage (V),9757.85,9759.55,9759.89,9759.89,9756.83,9754.44,9756.80,9756.11,9753.39
Lower Size (nm), 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4
Upper Size (nm),749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
tf (s),6.32,6.32,6.32,6.32,6.31,6.31,6.30,6.30,6.29
D50 (nm),756.8,757.3,757.3,756.4,755.4,754.0,753.2,751.9,750.4
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),342.488,347.300,338.110,291.557,333.630,329.573,343.388,346.748,355.601
Mean (nm),358.073,362.710,355.575,307.485,348.580,345.226,359.346,362.966,371.172
Geo. Mean (nm),335.729,339.823,335.478,279.286,320.610,320.641,334.074,338.023,347.290
Mode (nm),333.762,358.664,321.968,321.968,321.968,333.762,345.989,345.989,358.664
Geo. Std. Dev.,1.445,1.456,1.420,1.582,1.552,1.491,1.494,1.484,1.465
Total Conc. (#/cm³),6.410730e+005,6.145227e+005,7.937351e+005,1.660001e+006,8.023270e+005,9.957272e+005,7.993745e+005,7.312542e+005,6.879122e+005
Title,,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,,
Instrument ID,,,,,,,,,
Lab ID,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,
