Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\DecayWithRH\SMPS_20221003_FreshSmoke_Wet.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
 24.1,142723.148,156235.128,82110.020,56607.122,39654.895,37569.963,37459.923,30893.831,39721.049,34155.621,35179.704,39050.044,44697.964,41641.698,53468.743,51813.945,42253.040,53187.986,52781.407,56525.149,57182.028,55887.310,58652.228,63457.195,63283.562,67090.652,64183.853,69430.912,72513.407,79224.482,76243.951,76177.481,78855.231,76224.635,80045.501,79846.106,79087.707,84317.453,88834.289,89309.123,94724.648,97407.477,98822.121,99865.142,101734.879,101504.731,101215.473,106659.300,129371.856,142261.481,104062.039,151502.638,134768.255,140074.881,160899.656,153534.189,112611.966,218106.424,163694.653,159047.647,205586.983,142197.311,164491.312,176646.602,171524.719,160716.523,141587.455,154977.694,144609.927,135568.550,169260.584
 25.0,121506.873,163843.311,89660.589,58952.604,42222.369,38498.560,39229.325,33156.417,41459.441,37506.194,37027.881,40206.557,46983.018,42645.243,54796.599,52613.370,43801.446,55206.938,54964.515,58896.265,59489.043,58788.443,61102.988,65561.691,64077.799,68678.797,68174.065,72047.160,74358.148,80439.210,80259.138,78894.238,82556.356,79417.052,81754.796,82596.782,84022.217,86088.831,92809.695,92129.467,98146.379,99048.466,102041.608,102948.411,104901.845,104651.139,104858.671,107121.206,121052.858,147006.386,123995.670,171492.221,140759.747,119150.450,142149.323,159450.933,150748.796,131795.373,168246.397,142246.742,144262.342,169757.055,142606.212,195260.704,208134.401,156534.539,153963.328,144341.616,157073.384,141322.482,160485.898
 25.9,86848.057,169143.255,94343.151,63643.315,46552.862,40110.055,41459.875,34736.441,42211.344,38347.524,37464.582,40111.085,47781.266,44169.791,54478.095,52510.877,46562.781,54953.329,56477.029,58637.216,61417.443,61328.873,63388.822,68682.066,66992.432,70966.977,69297.536,72668.698,77567.525,80730.925,82953.542,79795.244,83234.034,80129.409,83495.211,83688.367,86601.745,89566.956,93691.711,94999.342,98880.765,104505.282,104367.099,107512.370,106126.414,108405.990,107252.178,106998.321,153756.277,139099.319,121975.568,150475.087,133368.607,151440.087,114418.934,162156.646,125612.206,123534.477,202545.909,151439.662,166448.742,178589.860,153881.556,158660.789,148433.882,172912.890,159772.851,251673.781,169617.086,161138.189,151918.879
 26.9,42885.369,176369.659,102959.675,69198.525,49254.887,43174.546,42876.009,37537.383,45182.245,41164.200,39530.773,40307.567,49678.857,45605.558,56825.047,52889.395,48111.902,55146.700,58693.021,60364.304,62770.952,61185.905,64085.361,69669.231,68848.398,72975.935,72670.883,74882.297,79620.181,83180.514,84083.370,82339.259,86447.379,84120.446,86804.448,86810.798,87414.942,90174.826,97484.028,98340.907,98967.150,108257.558,107620.679,108548.770,108725.170,111367.126,112094.082,114320.675,156111.776,113857.062,146227.397,191055.626,143068.197,156712.966,164352.051,143477.457,136660.799,152520.672,150888.921,153531.520,149724.178,187604.763,158522.400,152672.949,137387.392,128620.838,195093.504,187476.162,165724.751,168986.888,157150.442
 27.9,8966.108,183296.660,106420.865,73209.820,53560.134,46552.670,45053.974,39461.415,45485.001,43161.590,40657.573,40135.539,50689.947,45731.144,56343.189,55805.872,51782.786,56456.741,59477.081,61781.831,63794.999,62169.473,67369.198,70672.394,69487.303,74362.004,74089.096,76393.226,79634.252,85599.090,85135.928,84930.220,88360.401,86304.867,88502.238,90911.822,89982.933,92077.703,100192.236,100088.579,102981.268,108926.152,109532.285,113567.346,111069.743,113371.370,117109.488,117183.183,130194.279,111960.650,138173.076,148105.887,160746.626,155095.682,168644.011,145551.630,188220.712,167346.621,124418.222,146762.382,148137.495,151691.619,139752.632,149661.593,185168.134,146682.577,178442.747,141864.886,159032.720,166418.458,172999.567
 28.9,0.000,190969.977,114215.021,76641.224,56977.513,48987.455,48466.646,41246.029,45693.180,44535.798,42403.916,40895.839,51661.373,48025.975,56380.015,57710.270,52638.774,57320.183,60487.944,61888.947,65480.716,63397.692,67985.558,72474.129,71748.453,76133.356,75136.881,78704.773,82563.276,86312.018,87973.843,85813.093,90603.465,87117.455,92033.854,90138.778,92812.365,92654.115,102218.115,101912.247,104223.302,113975.835,110493.730,115214.352,114370.563,116201.209,117578.770,120655.778,151793.031,134646.339,155555.053,133679.742,130139.985,144169.199,189558.616,165589.881,152965.792,151167.736,127042.272,144971.069,169117.630,135027.363,186114.454,140519.710,170715.585,198967.162,157217.097,166359.640,143410.698,175949.316,158480.695
 30.0,0.000,196122.694,120343.467,83241.904,62187.422,51828.120,51788.363,43004.425,47488.502,47615.785,43704.659,42041.131,52386.354,49276.285,57781.653,60482.470,53636.047,58428.777,61980.403,64309.289,67002.542,64786.305,70669.742,74299.061,73862.513,77254.902,79269.225,79809.752,84828.565,89579.046,90860.476,89693.339,92484.787,89598.841,93708.916,97589.319,95731.077,94684.805,103105.975,105743.333,104001.025,114656.354,115054.763,118607.471,117435.758,116668.623,123059.569,122452.592,127657.233,198136.060,123744.580,162481.817,136578.124,138300.494,135938.301,155575.377,118686.791,145955.544,135711.324,164620.233,173902.483,141912.835,161248.359,166014.725,160194.977,173060.398,165116.720,151916.388,159838.432,188342.044,159162.215
 31.1,0.000,202013.312,124737.696,89348.111,65206.050,56203.561,55102.274,45403.620,47948.404,47882.005,45525.667,42563.878,52966.646,49643.250,58512.682,61860.415,56532.335,58861.895,62723.827,63435.831,69167.319,66069.569,72616.176,75030.367,76439.141,78458.046,82046.771,82650.186,87719.680,93254.240,93184.063,91339.515,93990.473,91981.006,96360.820,98417.837,97714.602,96224.399,104017.673,106203.688,107081.717,115235.838,117051.758,123157.128,120647.877,121993.392,122010.438,124834.765,162759.023,127621.006,138231.107,127463.210,161107.169,136236.620,139002.645,152615.355,145338.025,137695.107,142769.763,130339.467,137495.718,161904.170,137618.359,148719.753,164358.758,163347.203,169045.700,147786.928,166254.402,158358.626,177803.801
 32.2,0.000,208129.583,131258.216,92984.005,71762.518,60119.635,58185.973,48253.068,48152.675,49414.838,46000.067,44017.414,53467.324,50574.300,58510.824,62772.556,57381.349,59606.758,64644.199,66046.891,70636.344,68983.162,73963.503,77208.928,75379.266,78616.924,81893.637,84019.303,89685.625,94685.270,94552.420,94399.436,94925.621,96027.999,98027.532,99662.042,101378.185,98350.579,107902.712,109078.854,109236.302,115941.799,115801.594,124073.957,121543.050,122745.584,126854.537,125385.121,128138.680,132595.994,138965.046,153700.278,127533.120,145212.889,134072.430,139914.777,160147.771,132018.807,185655.872,147119.203,165111.625,163583.772,154346.785,164089.263,163517.819,158445.735,172146.475,158522.409,171712.324,156361.774,147562.742
 33.4,0.000,215418.486,138590.131,103156.266,77291.078,63800.971,62082.944,52571.070,51834.130,51257.430,48121.609,47261.103,53780.430,51411.347,58771.300,65233.326,59340.986,60537.385,65888.652,66146.102,71830.498,70211.256,74896.137,77298.832,77863.230,80204.603,83356.716,86650.394,91348.336,97931.535,96216.340,97072.671,96944.214,96730.728,99468.248,101848.285,102313.508,100916.171,110362.851,112586.389,112826.230,116875.007,120235.886,125702.573,125331.577,125479.179,128486.057,139335.135,126131.419,156030.037,135583.097,136721.760,142303.228,188635.670,154792.181,148815.266,155606.447,163660.172,149530.332,144515.819,156652.391,161557.122,162800.149,151844.230,157204.503,179976.970,168829.602,152272.351,155082.210,151738.249,159690.873
