Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\Wall_Losses\SMPS_20221118_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
 24.1,13.757,13.655,872.254,253.711,141.944,95.944,54.606,38.690,21.100,17.325,14.033,8.571,4.821,4.144,4.169,2.206,1.767,1.585,1.610,1.193,0.112,0.819,0.772,0.181,0.094,0.557,0.024,0.581,0.454,0.136,0.118,0.251,0.172,0.358,0.142,0.154,0.244,0.447,0.135,0.249,0.170,0.330,0.256,0.506,0.310,0.582,0.321,0.309,0.314,0.390,0.212,0.073,1.033,0.303,0.139,0.219,0.063,0.541,0.145,0.063,0.063,0.147,0.305,0.384,0.286,0.278,0.138,0.295,0.225,0.147,0.207,0.295,0.222,0.056,0.212,0.362
 25.0,15.081,0.000,903.167,260.087,163.474,105.114,66.970,46.385,23.379,19.291,15.689,9.400,7.094,5.470,3.883,3.292,2.845,2.222,1.181,0.524,1.143,0.968,0.370,0.138,0.353,0.680,0.773,0.098,0.116,0.000,0.518,0.311,0.249,0.424,0.341,0.225,0.484,0.372,0.565,0.070,0.496,0.144,0.412,0.344,0.494,0.222,0.379,0.455,0.541,0.366,0.318,0.152,3.804,0.300,0.142,0.364,0.213,0.594,0.292,0.000,0.222,0.451,0.221,0.295,0.000,0.342,0.437,0.305,0.286,0.314,0.079,0.358,0.432,0.349,0.798,0.111
 25.9,16.588,0.000,937.892,278.251,184.904,128.164,82.016,59.748,37.300,24.422,14.358,14.944,9.544,5.887,5.236,4.376,2.602,2.585,1.465,0.615,1.429,0.616,1.181,0.768,0.255,0.308,0.404,0.597,0.718,0.755,0.342,0.505,0.506,0.391,0.334,0.430,0.053,0.000,0.234,0.379,0.351,0.460,0.538,0.538,0.373,0.206,0.434,0.375,0.289,0.129,0.201,0.357,0.209,0.350,0.116,0.404,0.430,0.509,0.273,0.210,0.195,0.138,0.049,0.339,0.342,0.122,0.271,0.371,0.000,0.249,0.340,0.330,0.206,0.190,0.472,0.391
 26.9,16.171,0.000,1026.374,281.472,217.313,149.406,93.677,67.071,42.318,27.559,21.662,17.131,11.770,9.853,6.859,4.145,4.898,3.436,2.998,1.660,1.350,1.262,1.291,0.856,1.279,0.392,0.753,0.401,0.596,0.762,0.886,0.076,0.483,0.287,0.611,0.561,0.386,0.319,0.424,0.357,0.459,0.604,0.416,0.661,0.493,0.279,0.355,0.566,0.337,0.390,0.256,0.264,0.193,0.117,0.223,0.186,0.116,0.250,0.000,0.259,0.000,0.257,0.331,0.405,0.520,0.242,0.118,0.244,0.124,0.264,0.000,0.115,0.412,0.523,0.305,0.244
 27.9,16.305,0.000,1082.590,303.544,252.739,153.850,107.053,79.223,53.724,31.666,27.324,18.759,15.164,10.870,8.051,6.641,4.093,5.582,4.035,2.843,2.039,1.730,1.890,1.006,0.736,0.678,0.979,1.068,0.962,0.892,0.288,0.592,1.163,0.559,0.090,0.791,0.291,0.305,0.795,0.328,0.415,1.667,0.411,0.508,0.684,0.473,0.324,0.613,0.113,0.157,0.192,0.202,0.244,0.131,0.447,0.227,0.246,0.374,0.453,0.115,0.700,0.254,0.456,0.444,0.491,0.304,0.453,0.302,0.259,0.238,0.461,0.318,0.756,0.960,0.758,1.087
 28.9,18.682,0.000,1153.949,309.341,279.933,184.575,123.201,95.952,58.179,43.146,35.832,24.237,16.154,14.294,12.046,7.713,6.989,7.290,3.919,3.885,3.049,3.427,1.323,2.593,1.772,0.765,1.139,0.854,0.277,0.683,1.147,0.491,0.575,0.537,0.230,0.787,0.368,0.307,0.676,0.273,0.363,0.303,0.632,0.577,0.474,0.330,0.635,0.556,0.283,0.443,0.290,0.238,0.513,0.227,0.509,0.256,0.675,0.256,0.421,0.255,0.247,0.334,0.329,0.484,0.556,0.433,0.487,0.546,0.326,0.435,0.247,0.290,0.293,1.316,0.578,0.770
 30.0,21.965,0.000,1287.832,355.586,322.493,219.606,144.836,113.776,74.561,53.849,41.448,33.682,26.331,18.933,15.299,12.261,11.182,6.930,5.603,3.238,3.453,3.864,2.275,2.022,1.170,1.704,1.101,1.239,1.786,1.308,1.385,1.031,1.080,1.300,0.681,0.624,0.536,0.433,0.581,0.801,0.613,0.533,0.373,0.790,0.205,0.277,0.422,0.236,0.387,0.723,0.560,0.187,0.339,0.113,0.500,0.426,0.248,0.237,0.366,0.369,0.635,0.182,0.419,0.168,0.361,0.263,0.376,0.600,0.389,0.356,0.436,0.448,0.415,0.617,0.865,0.633
 31.1,20.732,0.000,1410.718,381.698,376.643,247.796,170.830,137.522,85.091,69.393,56.332,45.798,28.977,21.876,18.323,15.554,12.450,11.585,9.009,6.262,4.618,4.421,4.969,2.845,3.209,2.274,3.070,1.843,2.688,2.703,1.808,0.994,1.451,0.790,1.396,1.080,0.779,1.026,1.180,0.728,0.763,1.256,0.768,0.814,0.412,0.724,0.883,0.960,0.915,0.605,0.641,0.649,0.782,0.225,0.839,0.654,0.639,0.341,0.502,0.295,0.415,0.419,0.239,0.580,0.326,0.413,0.690,0.518,0.525,0.614,0.539,0.392,0.586,0.686,0.814,0.667
 32.2,19.781,0.000,1537.832,424.448,413.695,288.431,200.828,155.492,102.172,76.947,65.394,52.469,39.688,31.682,24.146,19.277,16.765,11.956,11.430,7.497,7.319,6.799,5.575,4.412,4.130,2.708,2.656,3.147,2.940,2.308,1.942,1.728,1.359,1.376,1.671,1.665,1.342,1.154,1.459,0.692,1.243,0.959,0.647,1.187,0.794,0.636,0.651,0.569,0.360,0.814,0.662,0.856,0.287,0.389,0.686,0.561,0.447,0.452,0.405,0.565,0.852,0.455,0.581,0.570,0.523,0.486,0.832,0.890,0.558,0.715,0.627,0.330,0.460,0.656,1.045,0.828
 33.4,21.813,0.000,1720.363,475.811,476.682,331.096,227.968,176.891,128.265,95.505,78.889,64.903,45.016,37.213,30.263,19.694,20.812,17.946,11.388,9.760,9.092,7.680,7.472,5.167,4.510,3.530,3.902,2.423,2.733,1.844,2.233,1.823,1.890,1.772,1.522,1.477,1.114,1.415,0.925,0.797,1.360,0.844,1.006,0.815,0.527,0.926,1.298,1.000,1.083,1.046,0.841,0.950,0.658,1.232,0.357,0.852,0.477,1.241,0.783,0.857,0.757,0.377,0.909,0.840,0.802,0.721,0.368,1.001,0.500,0.815,0.365,0.565,0.888,1.035,1.066,0.579
